	Title	Address1	Latitude	Longitude
0	Bán nhà Nguyễn Khoái, tương lai thành mặt phố, 2 mặt thoáng, có sân riêng	đại lộ Nguyễn Khoái	20.9717502	105.8847875
1	Bán gấp nhà Hà Đông - Ô TÔ + KINH DOANH, chợ Hà Đông 300m, giá nhỉnh 4 tỷ	Quận Hà Đông, Hà Nội	20.955835	105.7563658
2	Bán nhà riêng Quốc lộ 1A, Tân Thới Hiệp, Quận 12, Hồ Chí Minh, 210m2 Giá 10 tỷ 500 (50tr/m	Quốc lộ 1A, Tân Thới Hiệp, Quận 12	10.857391	106.6409892
3	bán nhà Nguyễn Văn Cừ 92m x6 tầng, gara, thang máy, tặng full nội thất	đường Nguyễn Văn Cừ	21.0464835	105.8773208
4	TRUNG TÂM THANH KHÊ SÁT MẶT TIỀN ĐIỆN BIÊN PHỦ.	Đà Nẵng	16.0544068	108.2021667
5	Chỉ 7.3 tỷ sở hữu ngay nhà mới đẹp cạnh phố Hồ Tùng Mậu, Cầu Giấy. 45m2*6T thang máy	Đường Hồ Tùng Mậu, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội	21.0379862	105.7737345
6	BÁN NHÀ VÕ VĂN KIỆT, KHU NAM LONG BÌNH TÂN, 3 TẦNG 63M2 - TẶNG NỘI THẤT, HẺM 6M, NHỈNH 6 TỶ	Võ Văn Kiệt, Khu Nam Long Bình Tân	10.9012444	106.8526661
7	Nhà Cấp 4 Ngang 5m Sổ hồng Hẻm nhựa dưới 3ty TT Nhà Bè	Huỳnh Tấn Phát Nhà Bè	10.6968055	106.7394637
8	nhà đẹp Ngọc Lâm 76m x 5T, gara, full nội thất, thoáng trước sau	Ngọc Lâm	21.0448412	105.8686635
9	Bán nhà 5 tầng 71m2 mặt đường Hồ Sen, Lê Chân, Hải Phòng	Hồ Sen, Lê Chân, Hải Phòng	20.8432426	106.6821165
10	Bán nhà Trung tâm Gò Vấp Quang Trung Phường 11, 39m2 2 tầng chỉ 4.2 tỷ	Quang Trung		
11	Cần bán Nhà đẹp 1Tệt 2Lầu. P. Linh Đông, Thủ Đức, Diện tích 90.5m², Giá 7 Tỷ	Đường Số 32, Phường Linh Đông, Quận Thủ Đức, TP HCM	10.842045	106.7415662
12	Bán nhà đường Nguyễn Phúc Chu, P.15, Tân Bình	Hẻm 90 đường Nguyễn Phúc Chu, Phường 15, Quận Tân Bình	10.8220519	106.6332401
13	Bán nhà phố Bình Dương đã có sổ giá tốt	Đường DT 743b, Phường Tân Phước Khánh, Bình Dương	10.9113192	106.753856
14	Bán nhà Lâm Du 37m2 x5 tầng, mới xây, thang máy, ô tô đỗ, vài bước ra phố	Phố Lâm Du, Bồ Đề	21.0365843	105.8783278
15	Gia đình cần bán nhà Hoàng Cầu 47m2x4 tầng, mặt tiền 4.2m mới đẹp, vào ở ngay chỉ 12 tỷ	ngõ Hoàng Cầu, Quận Đống Đa	21.0208875	105.8238966
16	♨ Nhà phố Compound an ninh - Tân Uyên - (5x12)m - Đã có SHR.	Đường DT 747B, phường Tân Phước Khánh, cách Vincom Plaza Dĩ An 4km	10.9084122	106.7414746
17	"""Nhà bán giá ngộp - cạnh Phan Huy Ích - Đường 6m - Gò Vấp - 51m2 - Giá 3x Tỷ"""	Hồ Chí Minh		
18	BÁN GẤP! ÔNG ÍCH KHIÊM, P14, Q11, 40M2, 4 TẦNG, CHỈ 5.8 TỶ, 0354095924.	ÔNG ÍCH KHIÊM, PHƯỜNG 14, QUẬN 11	10.7681957	106.6460006
19	Cho thuê nhà Phố Nguyến Khang, Cầu Giấy 5 tầng. Giá: 13tr/ tháng	Hà Nội	21.0277644	105.8341598
20	Nhà mặt phố Nguyễn Văn Cừ-Long Biên 90m x 4tầng, thông sàn, cách cầu Chương Dương 200m	đường Nguyễn Văn Cừ, phường Long Biên	21.0464835	105.8773208
21	bán nhà mặt phố Ngọc Lâm-Long Biên, 60m x 7tầng, thang máy, thông sàn, full thổ cư	Ngọc Lâm, Long Biên	21.0448412	105.8686635
22	Nhà lô góc mặt phố Nguyễn Văn Cừ-Long Biên, 55m x 4tầng, thông sàn, vỉa hè 8m, đắc địa kinh doanh	Nguyễn Văn Cừ, Long Biên	21.0464835	105.8773208
23	Chính chủ bán nhà mới, 4 tầng, đế chung cư,dân cư đông đúc, giá hợp lý	Khu đô thị Vsip Từ Sơn, Bắc Ninh	21.0785932	105.9684556
