	Address2	Latitude	Longitude
0	đại lộ Nguyễn Khoái	20.9717502	105.8847875
1	Hà Đông	20.955835	105.7563658
2	Quốc lộ 1A, Tân Thới Hiệp, Quận 12	10.857391	106.6409892
3	đường Nguyễn Văn Cừ	21.0464835	105.8773208
4	đường Điện Biên Phủ, Quận Thanh Khê	16.065761	108.1924117
5	phố Hồ Tùng Mậu, Cầu Giấy	21.0381696	105.7721129
6	Võ Văn Kiệt, Khu Nam Long Bình Tân	10.9012444	106.8526661
7	Nhà Cấp 4, Ngang 5m, Sổ hồng, Hẻm nhựa, dưới 3ty, TT, Nhà Bè	10.6943704	106.7411559
8	Ngọc Lâm	21.0448412	105.8686635
9	đường Hồ Sen, Lê Chân, Hải Phòng	20.8432426	106.6821165
10	đường Quang Trung, Phường 11, Quận Gò Vấp	10.8358112	106.6608026
11	đường số 32, Phường Linh Đông, Thủ Đức	10.842045	106.7415662
12	Hẻm 90 đường Nguyễn Phúc Chu, Phường 15, Quận Tân Bình	10.8220519	106.6332401
13	Đường DT 743b, Phường Tân Phước Khánh, Bình Dương	10.9113192	106.753856
14	Lâm Du	21.0355899	105.8745359
15	ngõ Hoàng Cầu, Quận Đống Đa	21.0208875	105.8238966
16	Đường DT 747B, phường Tân Phước Khánh, cách Vincom Plaza Dĩ An 4km	10.9084122	106.7414746
17	Đường Phan Huy Ích, Phường Gò Vấp	10.8358359	106.6355599
18	Ống Ích Khiêm, Phường 14, Quận 11	10.7681957	106.6460006
19	Phố Nguyễn Khang, Cầu Giấy	21.0218708	105.799875
20	đường Nguyễn Văn Cừ, phường Long Biên	21.0464835	105.8773208
21	Ngọc Lâm, Long Biên	21.0448412	105.8686635
22	Nguyễn Văn Cừ, Long Biên	21.0464835	105.8773208
23	na		
24	sát khu dân cư đông đúc		
25	đường Hưng Phú, Phường 8, Quận 8	10.750095	106.6788926
26	Số 14, Phường 8, Quận Gò Vấp	10.8395194	106.6512361
27	phố Sài Đồng, Long Biên	21.0368776	105.911551
28	phố Giảng Võ, Đống Đa	21.0278358	105.8247636
29	Xô Viết Nghệ Tĩnh, Phường 21, Quận 1	10.7981379	106.710916
30	đường Cộng Hoà, Phường 4, Quận Tân Bình	10.8011413	106.6560568
31	Phố Trung Liệt, Quận Đống Đa	21.0116971	105.8208098
32	trung tâm Phú Nhuận, trên trục đường Lê Văn Sỹ	10.7927597	106.6703291
33	ngõ 1D Trần Quang Diệu, phường Ô Chợ Dừa, quận Đống Đa, Hà Nội	21.0169948	105.8266333
34	ngõ 1D Trần Quang Diệu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội	21.0169948	105.8266333
35			
36	MINH PHỤNG, Quận 11	10.758419	106.6439023
37	Minh Phượng, Quận 11	10.758419	106.6439023
38	Hậu Giang, Quận 6	10.7483849	106.6365682
39	Hậu Giang, Quận 6	10.7483849	106.6365682
40	Khuông Việt, Quận Tân Phú	10.7760186	106.6393366
41	Khuông Việt, Quận Tân Phú	10.7760186	106.6393366
42	Quận 8, Quận 5	10.7240878	106.6286259
43	Quận 8	10.7240878	106.6286259
44	đường Âu Cơ, Phường 9, Quận Tân Bình	10.7725992	106.6494858
45	đường Âu Cơ, Phường ?, Quận Tân Bình	10.7849578	106.6420539
46	đường Mạc Đĩnh Chi, Quận Đakao, Quận 1	10.7848591	106.6991176
47	đường Mạc Đĩnh Chi, Đakao, Quận 1	10.7854945	106.6986609
48	Mặt Tiên Hoàng, Phường Đa Kao, Quận 1	10.7884855	106.6995645
49	Đinh Tiên Hoàng, Phường Đakao, Quận 1	10.7884855	106.6995645
50	đường Dương Đức Hiền, Hồ Bơi Tây Thạnh, Trung tâm TDTT Tây Thạnh	10.8105817	106.6268115
51	phố Trần Quốc Hoàn	21.0416528	105.7859318
52	DT 179, Ninh Hiệp, Gia Lâm	21.0746661	105.9274369
53	Trần Quốc Hoàn, Cầu Giấy, Quận	21.0416528	105.7859318
54	đường Lê Văn Thọ, Phường 11, Quận Gò Vấp	10.8420297	106.6571573
55	Phố Thái Hà, Đống Đa	21.0129882	105.820014
56	Lê Đình Cẩn	10.7595799	106.5990101
57	đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình	10.8194362	106.6347737
58	đường Otto, phường ?		
59	Phương Mai, Quận Đống Đa	21.0012748	105.8393044
60	chợ Tân Trụ, Phường 15, Quận Tân Bình	10.8189771	106.6347193
61	Lạch Tray, Ngô Quyền, Hải Phòng	20.8467101	106.6917692
62	Nguyễn Đình Chiểu, Phường 5, Quận 3	10.7728965	106.6848042
63	Nguyễn Xí, Bình Thạnh	10.8171055	106.7060228
64	An Hải Bắc	16.0769838	108.2347863
65	đường Điện Biên Phủ, phường 17, quận Bình Thạnh	10.7978161	106.7049832
66	Điện Biên Phủ, Phường 21, Bình Thạnh	10.8012665	106.7128801
67	QL22, Trung Mỹ Tây	10.8495332	106.6109967
68	đường số 2, Phường 3, Quận Gò Vấp	10.8211941	106.676741
69	đường Điện Biên Phủ, Quận Bình Thạnh	10.7965858	106.7038033
70	đường Hoàng Hoa Thám, Phường 1, Quận Bình Thạnh	10.8099947	106.6838921
71	đường Tân Phước Khánh 32, Phường Tân Phước Khánh, TP. Tân Uyên, Bình Dương	11.0028099	106.7385562
72	đường Tân Phước Khánh 32, phường Tân Phước Khánh, Thành Phố Tân Uyên, tỉnh Bình Dương	11.0028099	106.7385562
73	Tân Phước Khánh 32, Tân Uyên	11.0028099	106.7385562
74	đường Tân Phước Khánh, TP. Tân Uyên, Bình Dương	11.0058551	106.7218823
75	đường Tân Phước Khánh 32, Phường Tân Phước Khánh, Tân Uyên, Bình Dương	11.0028099	106.7385562
76	phường Tân Phước Khánh, Tân Uyên	11.0027074	106.7323097
77	đường Hoàng Diệu 2, Linh Chiểu	10.8564547	106.7660949
78	Lê Văn Quới, Bình Long Hòa Bình	11.7096516	106.5911643
79	thị trấn Bần Yên Nhân, Mỹ Hào	20.9455817	106.0434449
80	phường Tân Phước Khánh, Tân Uyên	11.0027074	106.7323097
81	Nhạc Lộc, Văn Lâm	20.9575663	105.9953774
82	Tân Thới Nhất 05, Phan Văn Hớn	10.8312096	106.6137354
83	số 1, Hẻm 5m, Nguyễn Trọng Tuyển, Phường 15, Quận Phú Nhuận	10.7970481	106.6809503
84	Phố Chùa Bộc, Quận Đống Đa	21.0078608	105.8276966
85	Mặt tiền đường		
86	đường 37 Phùng Khắc Khoan, Phường Đa Kao, Quận 1	10.7865752	106.6955235
87	đường Nguyễn Thị Minh Khai, Phường Dakao, Quận 1	10.7866357	106.7015422
88	KĐT Đô Nghĩa, đường Vành đai 4	20.9570705	105.7373505
89	Thôn Thuận Tốn		
90	Ngõ trước nhà gần hồ Lai Xá, Nguyễn Du, P.Xuân La, Q.Hoài Đức	21.0651094	105.7160469
91	ngõ 139, Quận Hoàng Mai	20.9860686	105.8579101
92	Ngã Tư Sở, Thanh Xuân	21.004722	105.8220581
93	Ngõ 376, Hồ Tây	21.0467433	105.8123928
94	Lâm Hạ, Long Biên	21.0387648	105.8823721
95	Khu Trương Quốc Dung, phường 10, Phường Phú Nhuận	10.796578	106.6725669
96	Tân Hưng, Quận Tân Phú	10.7900517	106.6281901
97	Trần Hưng Đạo, Luỹ Bán Bích, Phường Tân Sơn Nhì, Quận Tân Phú	10.7950801	106.6380956
98	Trần Văn Đang, Quận 3	10.7834344	106.6753117
99	Giáp Nhất, Thanh Xuân	21.005389	105.8162083
100	Phổ Quang	14.8461146	108.9799387
101	đường Lăng Chả Cả, Phường Tân Bình	10.8004455	106.6608111
102	Vĩnh Viễn, Quận 10	10.7635376	106.6669007
103	đường Lê Lợi, Khu vực Tân Thới Nhì, Quận Hóc Môn	10.8960346	106.5828258
104	Hậu Giang, Phường 12, Quận 6	10.7474838	106.6328609
105	Vĩnh Viên, Quận 10	10.7635376	106.6669007
106	Đường Quận 10, Kubernetes Trí	10.7745965	106.6679542
107	đường số, Phường 4, Quận 8	10.7427393	106.677766
108	đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	10.7759904	106.6134613
109	Số 2 Gò Xoài, Phường Bình Trị Đông, Quận Bình Tân, TP. Hồ Chí Minh	10.7766269	106.6024452
110	đường Gò Xoài, bình trị đông, bình tân, thành phố hồ chí minh	10.783504	106.6036111
111	Lê Trọng Tấn, Hà Động	20.977862	105.7465724
112	đường Nguyễn Trọng Tuyển, Phường 1, Quận Phú Nhuận	10.7971649	106.6806263
113	đường Lê Văn Sỹ, Phường 1, Quận Tân Bình	10.7948964	106.6674424
114	Tân Chánh Hiệp, Quận 12	10.866797	106.6261831
115	Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh	10.7933763	106.7182627
116	hẻm Lạc Long Quân, Phường 10, Quận Tân Bình	10.7828645	106.6514296
117	đường Số 14, Phường 8, Quận Gò Vấp	10.8416801	106.6474927
118	đường Trần Văn Mười, Phan Văn Hớn	10.8496795	106.5879052
119	Nguyễn Văn Khối, Phường 9, Gò Vấp	10.8434536	106.6511637
120	Ngõ 229 Miếu Hai, Lê Chân, Hải Phòng	20.8467546	106.6873716
121	đường Bình Trị Đông	10.7668701	106.6096908
122	Ngõ 5 Hoàng Quốc Việt, Nguyễn Đình Hoàn	21.0416517	105.8052068
123	đường P.Trung Dũng	10.954627	106.8179171
124	P. Quyết Thắng	21.3277804	103.9289005
125	phố Lĩnh Nam	20.9770005	105.896559
126	Phố Vạn Phúc, Hà Đông	20.9797665	105.778691
127	đường Trần Văn Giàu, Bình Chánh	10.7682085	106.5563476
128	Thích Quảng Đức, Phú Nhuận	10.8058626	106.6815662
129	Thích Quảng Đức, Phú Nhuận	10.8058626	106.6815662
130	phố Nguyễn Thị Định, P. Trung Hòa, Q. Cầu Giấy, TP. Hà Nội	21.0099792	105.8046459
131	51 Lương Thế Vinh, Võ Văn Kiệt, Đà Nẵng	16.0544563	108.0717219
132	Lương Thế Vinh, Phường Võ Văn Kiệt, Đà Nẵng	16.0635298	108.2372993
133	Nguyễn Văn Quá, Đông Hưng Thuận, Quận 12	10.8413003	106.630303
134	Đường Số 9, Phường 9, Quận Gò Vấp	10.8453985	106.6534684
135	đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú	10.8079431	106.6201184
136	đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú	10.8079431	106.6201184
137	đường nhánh Dương Đình Nghệ		
138	hẻm Nhựa 8m, Trung tâm Tân Bình	10.8014659	106.6525974
139	Đường số 12, KP5, Phường Hiệp Bình Chánh, TP Thủ Đức	10.8308089	106.7298993
140	Phường Quang Trung, Quận Hà Đông	20.9652675	105.7681278
141	Lê Văn Sỹ, Quận 3	10.7893532	106.6751898
142	Quận 11	10.7629739	106.650084
143	Bành Văn Trân, Quận 10	10.7883479	106.6588837
144	Hồng Bàng, Quận 11	10.7537762	106.6480201
145	đường Bành Văn Trân, Quận 10	10.7745965	106.6679542
146	Hẻm Nhựa 8m, Quận Tân Bình	10.8014659	106.6525974
147	DT 179, Từ Sơn	21.1188332	105.9597843
148	hẻm 1 sẹc, đường Số 9, phường 9, Quận Gò Vấp	10.8453985	106.6534684
149	đường DT741, Phường Chánh Phú Hòa, Thành phố Bến Cát	11.148719	106.6708195
150	Đường B, Phường Hiệp Bình Chánh, TP Thủ Đức	10.8412188	106.7258618
151	Mê Linh	21.1601408	105.7380511
152	úp Từ Sơn	21.1188332	105.9597843
153	Điện Biên Phủ, Đaokao, Quận 1	10.7889925	106.6962119
154	Mạc Đỉnh Chi, Đaokáo, Quận 1	10.7854945	106.6986609
155	Huỳnh Khương An, Phường 05, Quận Gò Vấp	10.8234812	106.6890354
156	đường số 8, Tân Thông Hội, Củ Chi	10.9458255	106.5245528
157	ngõ phố Trần Quang Diệu, phường Ô Chợ Dừa, quận Đống Đa	21.015565	105.8244843
158	ngõ thái hà, trung tâm đống đa	21.014938	105.8154333
159	Hẻm rộng, Thống Nhất, Phường 15	10.8498131	106.664969
160	đường ô tô, Phường Quang Vinh,arently missing city	10.9561302	106.8139787
161	đường Trần Văn Mười, Hóc Môn	10.8496795	106.5879052
162	na		
163	Ngõ An Dương, Tây Hồ	21.0557109	105.8409665
164	Tân Thới Nhất, sát cầu Tham Lương, giáp ranh Tân Bình, Gò Vấp, Tân Phú, Hóc Môn	10.824597	106.6279203
165	ngõ 167, phố Tây Sơn, phường Quang Trung, quận Đống Đa, Hà Nội	21.0099851	105.8264836
166	Số 24 Lê Văn Quỗi, Phường Bình Trị Đông, Quận Bình Tân, TP. Hồ Chí Minh	10.7740738	106.6203041
167	Tô Ngọc Vân, Phường 15, Quận Gò Vấp	10.8584168	106.6724996
168	Tô Ngọc Vân, Phường 15, Quận Gò Vấp	10.8584168	106.6724996
169	Hẻm xe hơi, Đường Gò Xoài, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	10.783504	106.6036111
170	Số 20 Gò Xoài, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	10.7774731	106.6027243
171	Trường Sa, Quận 3	10.7871503	106.6741146
172	đường Số 8 Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân	10.7755629	106.6152904
173	Số 4 Gò Xoài, Quận Bình Tân	10.7870962	106.6049086
174	đường Số 8 Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	10.7755629	106.6152904
175	Hùng Vương, Hồng Bàng, Hải Phòng	20.8758973	106.6379724
176	đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	10.7759904	106.6134613
177	Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	10.7639086	106.6143944
178	Hẻm Gò Xoài, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	10.783504	106.6036111
179	Phạm Văn		
180	Ông Ích Khiêm, Hải Châu, Đà Nẵng	16.071702	108.2131407
181	Nguyễn Sơn		
182	Đường Dương Bá Trạc, Phường 2, Quận 8	10.745111	106.6891867
183	đường Minh Khai, Hồng Bàng, Hải Phòng	20.8615884	106.6851329
184	Sát Vườn Lài, Quận Tân Phú	10.7881471	106.6297747
185	Đường số 9, Phường 9, Quận Gò Vấp	10.8453985	106.6534684
186	Chùa Bộc, Đống Đa	21.0078608	105.8276966
187	đường Nguyễn Trãi, Quận 5	10.7545982	106.6695314
188	đường Thuận An Hòa, Phường An Phú, TP Thuận An, Bình Dương	10.9577074	106.7258271
189	Cổ Linh-Thạch Bàn	21.0217542	105.9087059
190	Phố Thái Thịnh	21.0104261	105.8184682
191	đường QL 1k, Linh Xuân, Thủ Đức	10.8739166	106.7652306
192	đƯỜNG LÊ VĂN THỌ, TUYỆT HOÀI	10.8455819	106.6570168
193	đường Bà Lê Chân, Phường Tân Định, Quận 1	10.7906478	106.6895173
194	Hưng Phú, Phường 9, Quận 8	10.7466371	106.670767
195	Ngọc Thụy, Quận Long Biên	21.0588582	105.8583873
196	đường Trần Não	10.7876914	106.7298625
197	đường Trần Não	10.7876914	106.7298625
198	Hẻm Xe Hơi, Tần Phú	10.7900517	106.6281901
199	not available		
200			
201	Trần Phú		
202	đường 14, Khang Điền, xã Phong Phú, Bình Chánh	10.745434	106.6165485
