Title	Price	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description	Chỗ để xe hơi	Đang cho thuê	CSVC xung quanh	ExtractedTitle	Address1	Address2	lat1	lon1	lat2	lon2
Bán nhà Nguyễn Khoái, tương lai thành mặt phố, 2 mặt thoáng, có sân riêng	5.6					"DT sổ 37m2, 6 tầng
Nằm ngay mặt chợ, kinh doanh sầm uất, thuận tiện đi lại, 5p ra time City
Nhà có sân riêng tha hồ để xe, mặt ngõ kinh doanh
Dân trí cao, tiện ích đỉnh
SDCC, sẵn sàng giao dịch
Giá 5.75 tỷ"	False	False	True	đại lộ Nguyễn Khoái	đại lộ Nguyễn Khoái	đại lộ Nguyễn Khoái	20.9717502	105.8847875	20.9717502	105.8847875
Bán gấp nhà Hà Đông - Ô TÔ + KINH DOANH, chợ Hà Đông 300m, giá nhỉnh 4 tỷ	8.3	35.0			Quận Hà Đông, Hà Nội	"Bán gấp nhà Hà Đông - Ô TÔ + KINH DOANH, chợ Hà Đông 300m, giá nhỉnh 4 tỷ

- Diện tích 35m2.
- Nhà dân xây kiên cố chắc chắn, thiết kế hiện đại.
- Tầng 1 hiện đang cho thuê kinh doanh.
- Nằm trong lõi quận Hà Đông, khu phố ẩm thực, kinh doanh.
- Sổ đỏ công chứng ngay, pháp lý chuẩn.

☎️☎️Liên hệ em Dương để xem nhà: 0914450004"	False	True	True	Hà Đông	Quận Hà Đông, Hà Nội	Hà Đông	20.955835	105.7563658	20.955835	105.7563658
Bán nhà riêng Quốc lộ 1A, Tân Thới Hiệp, Quận 12, Hồ Chí Minh, 210m2 Giá 10 tỷ 500 (50tr/m	4.65	210.0				"Cần bán gấp - Cô em khóc quá trời đất vì phải bán nhà trả nợ cho đứa con nhận nó nói ngon ngọt rồi vay sao lên tới gần hết căn nhà giờ nặn mất tiêu không thấy bóng dáng đứa con nhận bất nhân đó đâu nữa, không biết kêu cứu ở đâu đành phải bán nhà đó anh chị ạ. Cô em đang tự làm xưởng may thu nhỏ tại nhà, khu dân cư đông đúc, tiện ích xung quanh không thiếu thứ gì, hẻm hơi - xe tải vào nhà chỉ cách Quốc lộ 1A 12 căn nhà (khoảng 50m), thông ra Nguyễn Văn Quá, Tân Thới Kiệp, Quận 12.
+ Hiện trạng nhà cấp 4 có gác, 3 phòng ngủ, ngang 7 mét nở hậu. tiện xây mới hoặc chưa xây sơn phết sửa chữa theo ý là ở nhiều năm.
+ Diện tích: 210m2 diện tích lý tưởng để xây mới biệt thự, khách sạn – CHDV hoặc kho nhà xưởng.
+ Sổ hồng chính chủ đang để ngân hàng giữ, không tranh chấp, không quy hoạch.
+ Liên hệ Nguyễn Hương xem nhà - hỗ trợ pháp lý hoàn toàn miễn phí."	False	False	True	Quốc lộ 1A, Tân Thới Hiệp, Quận 12	Quốc lộ 1A, Tân Thới Hiệp, Quận 12	Quốc lộ 1A, Tân Thới Hiệp, Quận 12	10.857391	106.6409892	10.857391	106.6409892
bán nhà Nguyễn Văn Cừ 92m x6 tầng, gara, thang máy, tặng full nội thất	10.5	92.0	5.0	6.0		"bán nhà Nguyễn Văn Cừ 92m x6 tầng, gara, thang máy, tặng full nội thất
-Vị trí cách cầu Chương Dương 300m, 5 phút sang phố cổ Hoàn Kiếm, tiện ich xung quanh đầy đủ, vài bước chân ra trung tâm thương mại Mipec - Aeon
-Nhà xây 6 tầng 5 ngủ khép kín, gara, thang máy nhập khẩu, thiết kế hiện đại, tặng bể cá Koi phong thuỷ, tặng full nội thất
Sổ đỏ, pháp lý đầy đủ
Giá : 13.8 tỷ ( có thương lượng )
Liên hệ xem nhà miễn phí và tư vấn : Trần Hải"	False	False	True	đường Nguyễn Văn Cừ	đường Nguyễn Văn Cừ	đường Nguyễn Văn Cừ	21.0464835	105.8773208	21.0464835	105.8773208
TRUNG TÂM THANH KHÊ SÁT MẶT TIỀN ĐIỆN BIÊN PHỦ.	13.8	55.0	5.0	5.0	Đà Nẵng	"+ Vị trí đắc địa, trung tâm Quận Thanh Khê. Lô đất cách đường Điện Biên Phủ chỉ vài bước chân. Ngay gần sân bay. Gần các trục đường chính Lê Duẩn, Nguyễn Tri Phương, Nguyễn Văn Linh, Nguyễn Hữu Thọ,... Gần Cầu Rồng, Cầu Sông Hàn.
+ Nhà ở ngay, đẹp, mua đầu tư, cho thuê... đều phù hợp.."	False	False	True	đường Điện Biên Phủ, Quận Thanh Khê	Đà Nẵng	đường Điện Biên Phủ, Quận Thanh Khê	16.0544068	108.2021667	16.065761	108.1924117
Chỉ 7.3 tỷ sở hữu ngay nhà mới đẹp cạnh phố Hồ Tùng Mậu, Cầu Giấy. 45m2*6T thang máy	2.4	45.0	6.0	4.0	Đường Hồ Tùng Mậu, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội	"Bán 1 căn xây mới độc lập, thang máy phố Hồ Tùng Mậu, Cầu Giấy. Nhà gần các khu trung tâm tiện đi lại và sinh hoạt. Diện tích nhà 45m² x 6 tầng.
Thiết kế, công năng:
- Tầng 1, 2, 3, 4: Thiết kế thông sàn , vệ sinh.
- Tầng 5: Phòng bếp, vệ sinh
- Tầng 6: Phòng thờ, sân phơi
* Vị trí:
- Nhà có 1 căn nên vị trí rất đẹp, mặt ngõ thông thoáng, cách mặt phố hồ tùng mậu khoảng 50m - Giao thông thuận tiện, gần cầu vượt Mai Dịch, Phạm Văn Đồng, Xuân Thủy, gần các trường Đại Học, Học Viện, UBND phường, Ngân hàng, Bệnh Viện,
- Vị trí an ninh tốt, khu dân trí rất cao.
* Giá chỉ: 7,3 tỷ (có thương lượng, bao sang tên).
* Liên hệ xem nhà trực tiếp Hải Anh – 0941704285 ( miễn TG, MG )
Bán 1 căn xây mới độc lập, thang máy phố Hồ Tùng Mậu, Cầu Giấy. Nhà gần các khu trung tâm tiện đi lại và sinh hoạt. Diện tích nhà 45m² x 6 tầng.
Thiết kế, công năng:
- Tầng 1, 2, 3, 4: Thiết kế thông sàn , vệ sinh.
- Tầng 5: Phòng bếp, vệ sinh
- Tầng 6: Phòng thờ, sân phơi
* Vị trí:
- Nhà có 1 căn nên vị trí rất đẹp, mặt ngõ thông thoáng, cách mặt phố hồ tùng mậu khoảng 50m - Giao thông thuận tiện, gần cầu vượt Mai Dịch, Phạm Văn Đồng, Xuân Thủy, gần các trường Đại Học, Học Viện, UBND phường, Ngân hàng, Bệnh Viện,
- Vị trí an ninh tốt, khu dân trí rất cao.
* Giá chỉ: 7,3 tỷ (có thương lượng, bao sang tên).
* Liên hệ xem nhà trực tiếp Hải Anh – 0941704285 ( miễn TG, MG )"	False	False	True	phố Hồ Tùng Mậu, Cầu Giấy	Đường Hồ Tùng Mậu, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội	phố Hồ Tùng Mậu, Cầu Giấy	21.0379862	105.7737345	21.0381696	105.7721129
BÁN NHÀ VÕ VĂN KIỆT, KHU NAM LONG BÌNH TÂN, 3 TẦNG 63M2 - TẶNG NỘI THẤT, HẺM 6M, NHỈNH 6 TỶ	7.3	63.0	4.0			"BÁN NHÀ VÕ VĂN KIỆT, KHU NAM LONG BÌNH TÂN, 3 TẦNG 63M2, HẺM 6M, NHỈNH 6 TỶ
✅ Kết cấu: 3 tầng, 4 phòng ngủ, 3WC Nhà đẹp, TẶNG NỘI THẤT ĐẸP XỊN SÒ
✅ Diện tích ngang gần 5m, dài 13, khu phân lô không lộ giới
✅ Tiện ích: nhà gần chợ, trường mẫu giáo , Uỷ Ban , Công An , siêu thị ... xung quanh không thiếu bất cứ gì
✅ Gần ngay đường Võ Văn Kiệt , Hồ Học Lãm , Kinh Dương Vương , sát vách Tên Lửa, giáp quận 6, quận 8, Bình Chánh, quận 5, thuận tiện vào trung tâm thành phố.
???? ???? Thông tin xem nhà, liên hệ Thư qua zalo/ALO 0904 55 2026"	False	True	True	Võ Văn Kiệt, Khu Nam Long Bình Tân	Võ Văn Kiệt, Khu Nam Long Bình Tân	Võ Văn Kiệt, Khu Nam Long Bình Tân	10.9012444	106.8526661	10.9012444	106.8526661
Nhà Cấp 4 Ngang 5m Sổ hồng Hẻm nhựa dưới 3ty TT Nhà Bè	6800000000.0	54.0	3.0	2.0	Huỳnh Tấn Phát Nhà Bè	"- Diện tích:5x10.72.DTS:54m2
- Giá:2ty970 thương lượng chính chủ
Mô tả:
- Hướng Nam
- Nhà Trệt ,Lửng gồm 3PN( có phòng dưới trệt cho người lớn tuổi), 2WC, Phòng khách, Bếp, Sân để xe, Ban công.
- Nhà ngang bề thế 5m, hẻm 3 gác tới nhà.
- Chỉ 5 phút tới khu Nam Phú mỹ Hưng, trường Quốc tế Đài Loan, Hàn Quốc, Sân vận động Quận 7.Tiện ích xung quanh đầy đủ:Chợ Phú Xuân 3p,Ngân hàng,Ủy ban,Công an,Trạm y tế,Trường học,Điện máy xanh,Siêu thị...
- Trung tâm Thị trấn thuân tiện đi lại:khu Chiết xuất,Cầu Phú Mỹ,Nguyễn Văn Linh....Khu dân cư chỉnh trang,Không ngập.Hẻm cụt an ninh tuyệt đối.Phù hợp Ở lâu dài
- Sổ hồng riêng,Công chứng ngay."	False	False	True	Nhà Cấp 4, Ngang 5m, Sổ hồng, Hẻm nhựa, dưới 3ty, TT, Nhà Bè	Huỳnh Tấn Phát Nhà Bè	Nhà Cấp 4, Ngang 5m, Sổ hồng, Hẻm nhựa, dưới 3ty, TT, Nhà Bè	10.6968055	106.7394637	10.6943704	106.7411559
nhà đẹp Ngọc Lâm 76m x 5T, gara, full nội thất, thoáng trước sau	2980000000.0	76.0	5.0	4.0		"nhà đẹp Ngọc Lâm 76m x 5T, gara, full nội thất, thoáng trước sau
-Vị trí cách cầu Chương Dương-Long Biên 200m, 5 phút sang phố cổ Hoàn Kiếm, hưởng trọn tiện ích Mipec Long Biên
-Nhà xây 5 tầng 5 ngủ, đủ công năng, thoáng trước sau, thiết kế hiện đại, tặng nội thất
Sổ đỏ nở hậu, pháp lý rõ ràng
Giá bán : 8.5 tỷ ( có thương lượng )
Liên hệ xem nhà miễn phí và tư vấn : Trần Hải"	False	False	True	Ngọc Lâm	Ngọc Lâm	Ngọc Lâm	21.0448412	105.8686635	21.0448412	105.8686635
Bán nhà 5 tầng 71m2 mặt đường Hồ Sen, Lê Chân, Hải Phòng	8.5	71.0	5.0	5.0	Hồ Sen, Lê Chân, Hải Phòng	"???? Nhà Mặt đường khu vực Hồ Sen, Lê Chân, Hải Phòng - Giá công khai: 15 tỷ ( CÓ THOẢ THUẬN )
???? LH Mrs Tâm: 0796-336-866

???? Diện tích 71m2 x 5 tầng.
Thiết kế cực tâm huyết và chất lượng.
???? 5p ngủ khép kín. Có sẵn thang máy và hệ thống điều hoà âm trần.
Hồ sơ thiết kế, giấy phép xây dựng, sổ đỏ đầy đủ.
???? Tự tin khẳng định là lựa chọn an cư tốt nhất thời điểm này.

???? Liên hệ Mrs Tâm: 0796-336-866 Công ty Bán Nhà Hải Phòng chuyên sản phẩm đẹp."	False	False	True	đường Hồ Sen, Lê Chân, Hải Phòng	Hồ Sen, Lê Chân, Hải Phòng	đường Hồ Sen, Lê Chân, Hải Phòng	20.8432426	106.6821165	20.8432426	106.6821165
Bán nhà Trung tâm Gò Vấp Quang Trung Phường 11, 39m2 2 tầng chỉ 4.2 tỷ	15.0	39.0	2.0	2.0	Quang Trung	"MS 17522
* Vị trí: đường Quang Trung Phường 11 Gò Vấp, hẻm thông, gần chợ, trường, siêu thị, dịch vụ tiện ích không thiếu thứ gì.
* Diện tích 39m2, 2 tầng BTCT, 2 phòng ngủ.
* Đường trước nhà 3.7m, sạch sẽ.
* Sổ hồng, nở hậu, hoàn công đủ."	False	False	True	đường Quang Trung, Phường 11, Quận Gò Vấp	Quang Trung	đường Quang Trung, Phường 11, Quận Gò Vấp			10.8358112	106.6608026
Cần bán Nhà đẹp 1Tệt 2Lầu. P. Linh Đông, Thủ Đức, Diện tích 90.5m², Giá 7 Tỷ	4.2	90.0	4.0	5.0	Đường Số 32, Phường Linh Đông, Quận Thủ Đức, TP HCM	"Cần bán Nhà đẹp 1Tệt 2Lầu. P. Linh Đông, Thủ Đức, Diện tích 90.5m², Giá 7 Tỷ
- Đường số 32 Ngay chung cư 4s Linh Đông
- Hẻm xe hơi 6m ra vào thoải mái , ra đường Phạm Văn Đồng 300m, Gần Vòng Xoay Phạm Văn Đồng - Linh Đông.
- Cách Ngã Tư Bình Triệu 4km - Cách Sân Bay TSN 9km theo đường Phạm Văn Đồng.
- DT 4m x 22.5m TC 100% - CN 90,5 m².
- DT Sàn : 174,4 m².
- Cấu trúc: 1 trệt + 2 lầu + sân thượng.
- Nhà Gồm có : 4 phòng ngủ, 5WC, P thờ, sân trước xe hơi + sân sau + tủ + giường + bàn ăn.
* Ra Phạm Văn Đồng là A/c có thể di chuyển mọi hướng như đi trung tâm thương Mại Gigamall - Quận Bình Thạnh - sân bay TSN - Quận 1.......
- Giá bán : 7 tỷ thương lượng cho khách thiện chí - có hỗ trợ ngân hàng.
Liên hệ : 0898 408 677 xem nhà, làm việc chính chủ"	False	True	True	đường số 32, Phường Linh Đông, Thủ Đức	Đường Số 32, Phường Linh Đông, Quận Thủ Đức, TP HCM	đường số 32, Phường Linh Đông, Thủ Đức	10.842045	106.7415662	10.842045	106.7415662
Bán nhà đường Nguyễn Phúc Chu, P.15, Tân Bình	7.0	104.0	3.0	3.0		"Tôi chính chủ cần bán gấp nhà Hẻm 3m. Địa chỉ: Hẻm 90 đường Nguyễn Phúc Chu, Phường 15, Quận Tân Bình. Gần trường học Tân Trụ, chợ Tân Trụ. Nhà cách Mặt Tiền chỉ 50m, Cách Hẻm xe tải 30m. Hẻm trước nhà 3m, Lộ giới tương lai 5m. Hiện trạng nhà cấp 4 được xây mới đẹp. Gần khu công nghiệp Tân Bình, Ga Metro Tham Lương. Mong gặp khách thiện chí.
CÓ HOA HỒNG MÔI GIỚI 1%

Diện tích: 4.15 x 25m Vuông vức, ko lỗi phong thủy.
+ Hướng nhà: Tây Bắc
+ Giá: 7,1 tỷ TL.
+ Pháp lý: Sổ Hồng Chính Chủ - Sang Tên Công Chứng Trong Ngày
+ Liên hệ: 0988363442 Anh Trác"	False	False	True	Hẻm 90 đường Nguyễn Phúc Chu, Phường 15, Quận Tân Bình	Hẻm 90 đường Nguyễn Phúc Chu, Phường 15, Quận Tân Bình	Hẻm 90 đường Nguyễn Phúc Chu, Phường 15, Quận Tân Bình	10.8220519	106.6332401	10.8220519	106.6332401
Bán nhà phố Bình Dương đã có sổ giá tốt	6.85	62.0				"♨ Nhà phố Compound an ninh - Tân Uyên - (5x12)m - Đã có SHR.

• Hỗ trợ vay được tối đa 80%.
- Khách vay chiết khấu 2%, lãi suất ưu đãi 9 - 9.5%.
• Khách thanh toán nhanh 30% đến 95% chiết khấu từ 3% đến 6%.
• CDT cam kết cho thuê 12 tháng.
- 1 trệt 1 lầu 10 triệu/tháng (120tr/năm), hỗ trợ làm hiện thiện 300 triệu full nội thất.
- 1 trệt 2 lầu 15 triệu/tháng (180tr/năm), hỗ trợ làm hoàn thiện 450 triệu full nội thất.

⛩ Nhà liền thổ - An tâm tiện lợi. - Đầu tư sinh lời - Giá trị thực, nhu cầu thực ♨ Decor - 1 trệt - 2 lầu - thang lệch tầng.

Vị trí: Đường DT 743b - phường Tân Phước Khánh cách Vincom Plaza Dĩ An 4km di chuyển."	True	False	True	Đường DT 743b, Phường Tân Phước Khánh, Bình Dương	Đường DT 743b, Phường Tân Phước Khánh, Bình Dương	Đường DT 743b, Phường Tân Phước Khánh, Bình Dương	10.9113192	106.753856	10.9113192	106.753856
Bán nhà Lâm Du 37m2 x5 tầng, mới xây, thang máy, ô tô đỗ, vài bước ra phố	2350000000.0	37.0	5.0	4.0	Phố Lâm Du, Bồ Đề	"Bán nhà Lâm Du 37m2 x5 tầng, mới xây, thang máy, ô tô đỗ, vài bước ra phố
Nhà mới xây, nội thất xịn, thang máy, thiết kế hiện đại.
Gần các trường cấp 1,2, quốc tế Well Spring, BV Tâm Anh, BV Đức Giang.
Các tuyến phố như Hồng Tiến, Lâm Du, Lâm Hạ, Bồ Đề, Nguyễn Văn Cừ ....
Gần bờ đê, thoáng mát và trong lành.
Sổ đỏ chính chủ, sẵn sàng giao dịch.
Gía bán : 4,3 tỷ
Liên hệ : Anh Hoàng : 0904.979.521"	False	True	True	Lâm Du	Phố Lâm Du, Bồ Đề	Lâm Du	21.0365843	105.8783278	21.0355899	105.8745359
Gia đình cần bán nhà Hoàng Cầu 47m2x4 tầng, mặt tiền 4.2m mới đẹp, vào ở ngay chỉ 12 tỷ	4.3	47.0				"Gia đình cần bán nhà Hoàng Cầu 47m2x4 tầng, mặt tiền 4.2m mới đẹp, vào ở ngay chỉ 12 tỷ
- Nhà nằm ngay đầu ngõ, oto qua nhà, cách mặt phố oto tránh chỉ 10m.
- Vài bước chân ra hồ Hoàng Cầu, vườn hoa Trần Quang Diệu, quận ủy Đống Đa, ga tàu điện trên cao…
- Diện tích 47m2 xây 4 tầng chắc chắn. Nhà rất mới đẹp. Thiết kế: Mỗi tầng chia 2 ngủ và 1 WC
- Sổ đẹp sẵn sàng giao dịch
- Gia đình thiện chí bán nhanh
=== Giá chỉ 12 tỷ có thương lượng
==== Khách xem nhà liên hệ: Thu Hương 098.7274.966 (Miễn trung gian)"	True	False	True	ngõ Hoàng Cầu, Quận Đống Đa	ngõ Hoàng Cầu, Quận Đống Đa	ngõ Hoàng Cầu, Quận Đống Đa	21.0208875	105.8238966	21.0208875	105.8238966
♨ Nhà phố Compound an ninh - Tân Uyên - (5x12)m - Đã có SHR.	12.0	61.0	2.0	3.0		"♨ Nhà phố Compound an ninh - Tân Uyên - (5x12)m - Đã có SHR.

1. Hỗ trợ vay được tối đa 80%.
- Khách vay chiết khấu 2%, lãi suất ưu đãi 9 - 9.5%.
2. Khách thanh toán nhanh 30% đến 95% chiết khấu từ 3% đến 6%.
3. CDT cam kết cho thuê 12 tháng.
- 1 trệt 1 lầu 10 triệu/tháng (120tr/năm), hỗ trợ làm hiện thiện 300 triệu full nội thất.
- 1 trệt 2 lầu 15 triệu/tháng (180tr/năm), hỗ trợ làm hoàn thiện 450 triệu full nội thất.

- Nhà liền thổ - An tâm tiện lợi. - Đầu tư sinh lời - Giá trị thực, nhu cầu thực
- Decor - 1 trệt - 2 lầu - thang lệch tầng.

Vị trí: Đường DT 747B - phường Tân Phước Khánh cách Vincom Plaza Dĩ An 4km di chuyển.
Liên hệ: 0947464497 được hỗ trợ xem nhà trực tiếp"	False	False	True	Đường DT 747B, phường Tân Phước Khánh, cách Vincom Plaza Dĩ An 4km	Đường DT 747B, phường Tân Phước Khánh, cách Vincom Plaza Dĩ An 4km	Đường DT 747B, phường Tân Phước Khánh, cách Vincom Plaza Dĩ An 4km	10.9084122	106.7414746	10.9084122	106.7414746
"""Nhà bán giá ngộp - cạnh Phan Huy Ích - Đường 6m - Gò Vấp - 51m2 - Giá 3x Tỷ"""	2.35	51.0		4.0	Hồ Chí Minh	""" - Kết cấu 1 trệt + 1 lầu, phòng khách bếp, 2 phòng ngủ, 4 wc, phòng thờ sân thượng.
- Đường rộng rãi 6m + vỉa hẻ 1.5m
- Diện tích ngang 5,7m, dài 9m, diện tích 51.3m2
- Pháp lý - sổ hồng riêng
- Nội thất : full option"""	False	False	True	Đường Phan Huy Ích, Phường Gò Vấp	Hồ Chí Minh	Đường Phan Huy Ích, Phường Gò Vấp			10.8358359	106.6355599
BÁN GẤP! ÔNG ÍCH KHIÊM, P14, Q11, 40M2, 4 TẦNG, CHỈ 5.8 TỶ, 0354095924.	34.0	40.0			ÔNG ÍCH KHIÊM, PHƯỜNG 14, QUẬN 11	"Chủ nhà cần bán gấp cho ai thiện chí mua
LH: 0354095924

- DT: 40m2, lô góc cực thoáng, hẻm thông thoáng, thông tứ tung.

- Kết cấu: 1 trệt 2 lầu, sân thượng.

- Sân để xe rộng bao gồm tiểu cảnh cây xanh quanh nhà, kèm theo hồ cá phong thủy rất đẹp.

- Pháp lý rõ ràng, sổ đẹp có thể xem nhà công chứng ngay.

- Giá chỉ: 5.8 TỶ thương lượng.

GỌI NGAY: 0354095924(Quỳnh Nhi) nghe máy 24/24."	False	False	False	Ống Ích Khiêm, Phường 14, Quận 11	ÔNG ÍCH KHIÊM, PHƯỜNG 14, QUẬN 11	Ống Ích Khiêm, Phường 14, Quận 11	10.7681957	106.6460006	10.7681957	106.6460006
Cho thuê nhà Phố Nguyến Khang, Cầu Giấy 5 tầng. Giá: 13tr/ tháng	5.8	35.0	5.0		Hà Nội	"""Cho thuê nhà Phố Nguyến Khang, Cầu Giấy 5 tầng. Giá: 13tr/ tháng
Nhà nguyên căn phố Nguyễn Khang, diện tích 32m, 5 tầng
Gần nhiều trường đại học, gần công viên Cầu Giấy, công viên Thủ Lệ. Ngõ nông, sạch sẽ, oto qua thoải mái
Tầng 1: để xe, phòng khách, có thể buôn bán online
Tầng 2: bếp + phòng ngủ, wc. Tầng 3: phòng ngủ, wc
Tầng 4: phòng ngủ, wc
Tầng 5: có thêm 1 phòng nhỏ, hiện có bếp + phơi quần áo
Đồ trong nhà có: 3 điều hoà, 2 tủ gỗ 4 cánh đựng quần áo, 2 giường gỗ, nhà sàn gỗ, cầu thang gỗ. Phòng thoáng, cửa sổ to nhiều ánh nắng
Ưu tiên cho hộ gia đình, nhóm nữ thuê
Giá thuê: 13tr/ tháng
Liên hệ trực tiếp hoặc zalo: 0937.158.386"	True	True	True	Phố Nguyễn Khang, Cầu Giấy	Hà Nội	Phố Nguyễn Khang, Cầu Giấy	21.0277644	105.8341598	21.0218708	105.799875
Nhà mặt phố Nguyễn Văn Cừ-Long Biên 90m x 4tầng, thông sàn, cách cầu Chương Dương 200m	5.0	90.0	4.0	4.0		"Nhà mặt phố Nguyễn Văn Cừ-Long Biên 90m x 4tầng, thông sàn, cách cầu Chương Dương 200m
+Vị trí cách cầu Chương Dương 200m, nhà xây 4 tầng chắc chắn, nâng tầng thoải mái, vỉa hè 8m, mặt tiền 5m, nở hậu, phù hợp nhiều hình thúc kinh doanh
+Sổ đỏ nở hậu, pháp lý rõ ràng
Giá : 22.5 tỷ ( có thương lượng, làm việc trực tiếp với chủ nhà )
Liên hệ xem nhà miễn phí và tư vấn : Trần Hải"	False	False	True	đường Nguyễn Văn Cừ, phường Long Biên	đường Nguyễn Văn Cừ, phường Long Biên	đường Nguyễn Văn Cừ, phường Long Biên	21.0464835	105.8773208	21.0464835	105.8773208
bán nhà mặt phố Ngọc Lâm-Long Biên, 60m x 7tầng, thang máy, thông sàn, full thổ cư	22.5	60.0	2.0	4.0		"bán nhà mặt phố Ngọc Lâm-Long Biên, 60m x 7tầng, thang máy, thông sàn, full thổ cư
-Vị trí gần ngã tư đường 40m Hồng Tiến kéo dài, khu vực sầm uất nhất Ngọc Lâm, vỉa hè rộng, ôtô 2 chiều
-Nhà xây 7 tầng, thang máy hiện đại, thông sàn tầng 1+2+3+4, phù hợp nhiều hình thức kinh doanh, vừa cho thuê vừa giữ tiền
Sổ đỏ vuông vắn, pháp lý rõ ràng
Giá : 23 tỷ ( có thương lượng, làm việc trực tiếp với chủ nhà )
Miễn phí xem nhà và tư vấn : Trần Hải"	False	True	True	Ngọc Lâm, Long Biên	Ngọc Lâm, Long Biên	Ngọc Lâm, Long Biên	21.0448412	105.8686635	21.0448412	105.8686635
Nhà lô góc mặt phố Nguyễn Văn Cừ-Long Biên, 55m x 4tầng, thông sàn, vỉa hè 8m, đắc địa kinh doanh	23.0	55.0	4.0	3.0		"Nhà lô góc mặt phố Nguyễn Văn Cừ-Long Biên, 55m x 4tầng, thông sàn, vỉa hè 8m, full thổ cư
-Vị trí gần đèn xanh đỏ Nguyễn Sơn-Nguyễn Văn Cừ, gần bến xe Gia Lâm, cách cầu Chương Dương sang phố cổ Hoàn Kiếm 5 phút lái xe
-Nhà lô góc 1 mặt phố Nguyễn Văn Cừ- 1 mặt ngõ ôtô tải tránh nhau, xung quanh nhiều văn phòng- ngân hàng, 2 vỉa hè rộng, phù hợp nhiều hình thức kinh doanh
Sổ đỏ, pháp lý rõ ràng
Giá bán : 20.5 tỷ ( có thương lượng, làm việc trực tiếp với chủ nhà )
Miễn phí xem nhà và tư vấn : Trần Hải"	False	True	True	Nguyễn Văn Cừ, Long Biên	Nguyễn Văn Cừ, Long Biên	Nguyễn Văn Cừ, Long Biên	21.0464835	105.8773208	21.0464835	105.8773208
