ID	Cluster	Log price (1 billion VND)	Log area (square meters)	Log usable area (square meters)	Rooms	Bedrooms	WC	Number of floors	Parking	For rent	Facade	Infrastructure	Features	Latitude	Longitude	Distance to center	Log usable area cat
1	1	1.6486586255873816	4.382026634673881	5.075173815233827	7.0	4.0	3.0	2.0	0	0	1	0	1	10.8456188	106.6647941	4.527418349164607	3
2	1	1.5040773967762742	3.7376696182833684	4.836281906951478	4.0	2.0	2.0	3.0	0	0	0	0	0	10.8468759	106.6512685	5.408283447792357	2
3	3	1.4586150226995167	3.6635616461296463	5.272999558563747	8.0	4.0	4.0	5.0	1	0	0	0	1	21.0739704	105.790872	6.394043877002271	3
4	3	1.1631508098056809	3.4011973816621555	4.276666119016055	8.0	4.0	4.0	2.0	0	0	0	0	0	21.046133	105.8246266	3.1316650234704504	2
5	1	1.5686159179138452	4.007333185232471	5.393627546352362	7.0	4.0	3.0	4.0	1	0	0	1	2	10.7740578	106.6474783	5.325424755047137	3
6	3	1.9459101490553132	3.970291913552122	5.356586274672012	8.0	4.0	4.0	4.0	0	0	1	1	2	21.0320524	105.8107846	1.331157238265095	3
7	3	2.1972245773362196	4.204692619390966	4.204692619390966	8.0	4.0	4.0	1.0	1	0	1	1	3	21.0353362	105.8238927	2.037381313845947	2
8	1	1.0296194171811581	3.7376696182833684	4.430816798843313	4.0	2.0	2.0	2.0	0	0	0	0	0	10.8484293	106.648556	5.727413707905808	2
9	4	0.9162907318741551	2.833213344056216	3.708682081410116	8.0	4.0	4.0	2.0	0	0	1	1	2	12.2529152	109.1899018	29.91132779735289	1
10	3	1.5040773967762742	3.6888794541139363	5.075173815233827	8.0	4.0	4.0	4.0	0	0	1	1	2	21.0368973	105.8346667	2.931308826067304	3
11	1	1.9315214116032138	4.406719247264253	5.5053315359323625	8.0	4.0	4.0	3.0	1	0	0	1	2	10.8032549	106.7047781	2.604529525806649	3
12	1	1.5151272329628591	4.543294782270004	4.543294782270004	3.0	2.0	1.0	1.0	1	0	1	1	3	10.8825488	106.7211209	9.315325796439314	2
13	1	2.7013612129514133	4.605170185988092	6.214608098422191	8.0	4.0	4.0	5.0	0	0	0	0	0	10.7478829	106.6118492	10.154392891831353	3
14	3	1.2237754316221157	3.58351893845611	4.969813299576001	7.0	3.0	4.0	4.0	0	0	0	1	1	21.0191246	105.8360339	2.416039179542532	2
15	3	1.8870696490323797	3.6888794541139363	5.075173815233827	8.0	4.0	4.0	4.0	1	0	0	1	2	21.0252222	105.8272153	1.597213093973144	3
16	3	1.3987168811184478	3.4339872044851463	5.043425116919247	9.0	4.0	5.0	5.0	1	0	0	1	2	20.9965754	105.8739138	6.868652559694948	3
17	1	2.772588722239781	4.532599493153256	6.142037405587356	10.0	5.0	5.0	5.0	1	0	0	1	2	10.8454196	106.7584063	9.355425911269377	3
18	3	0.8754687373538999	3.1780538303479458	4.564348191467836	8.0	4.0	4.0	4.0	0	0	0	1	1	21.0008143	105.8517814	4.587351700545529	2
19	1	2.39698576841553	3.912023005428146	5.703782474656201	9.0	4.0	5.0	6.0	1	0	0	1	2	10.8394408	106.6653068	3.88274568257043	3
20	1	2.1400661634962708	4.060443010546419	5.44673737166631	11.0	5.0	6.0	4.0	0	0	0	1	1	10.7917429	106.6748587	1.9849839520772676	3
21	1	1.6863989535702288	3.8066624897703196	5.19295685089021	9.0	4.0	5.0	4.0	0	0	0	1	1	10.807912	106.6888124	0.7996764983818181	3
22	1	1.589235205116581	4.02535169073515	5.4116460518550396	7.0	4.0	3.0	4.0	1	0	1	1	3	10.791432	106.6437939	4.528613377394806	3
23	1	2.5649493574615367	5.480638923341991	6.436150368369428	7.0	3.0	4.0	2.0	0	0	0	1	1	10.8572071	106.7478331	9.054239642450764	4
24	1	3.5145260669691587	5.3471075307174685	6.4457198193855785	8.0	4.0	4.0	3.0	0	0	1	1	2	10.7182156	106.7018037	10.265695472231677	4
25	3	2.1162555148025524	4.127134385045092	5.608738925969307	12.0	6.0	6.0	4.0	1	0	1	1	3	21.0702149	105.8262501	5.731223367029963	3
26	1	1.791759469228055	3.8066624897703196	5.19295685089021	9.0	4.0	5.0	4.0	1	0	0	1	2	10.8834303	106.6703963	8.435402772014791	3
27	3	2.803360380906535	4.276666119016055	5.886104031450156	14.0	6.0	8.0	5.0	0	1	1	0	2	21.0391667	105.8754569	6.836844710441175	3
28	1	2.4423470353692043	4.0943445622221	5.429345628954441	8.0	4.0	4.0	3.0	0	0	1	1	2	10.7557614	106.6126331	9.52890213059489	3
29	3	2.3513752571634776	4.605170185988092	6.214608098422191	8.0	4.0	4.0	5.0	1	0	1	0	2	21.0186765	105.884813	7.477992382695312	3
30	4	2.322387720290225	4.174387269895637	5.60947179518496	8.0	5.0	3.0	4.0	0	1	1	1	3	12.2172344	109.2001536	31.35185052716742	3
31	3	1.4816045409242156	3.4011973816621555	5.0106352940962555	8.0	4.0	4.0	5.0	1	0	0	0	1	21.0297668	105.7690511	4.661725027027466	2
32	0	1.5665304114228238	3.58351893845611	4.68213122712422	8.0	4.0	4.0	3.0	0	0	0	1	1	20.34727	106.48092	58.80827130912008	2
