index	Title	Price	Links	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Location	Description
0	Chưa tới 30tr/m2 - Hàng ngộp bank BAO ĐẦU TƯ - HẠ CHÀO 1.1 TỶ	"Giá bán
Dưới 500 triệu
Từ 500 - 800 triệu
Từ 800 triệu - 1 tỷ
Từ 1 - 2 tỷ
Từ 2 - 3 tỷ
Từ 3 - 5 tỷ
Từ 5 - 7 tỷ
Từ 7 - 10 tỷ
Từ 10 - 20 tỷ
Từ 20 - 30 tỷ
Trên 30 tỷ"	https://batdongsan.vn/chua-toi-30trm2-hang-ngop-bank-bao-dau-tu-ha-chao-11-ty-r285164	150	2	1	('10.7763897', '106.7011391')	"Mô tả:
+ Thông số cực đẹp 5 x 30m (150m2)
+ Nhà cấp 4, 2PN, toilet, phòng khách, bếp, sân sau trồng cây.
+ Nhà gần sát Mặt tiền, hẻm nhựa xe hơi tránh.
+ Khu vực tập trung nhiều Khu dân cư, các Dự án lớn, thu hút đông đảo các Nhà Đầu Tư lớn, Huyện Nhà Bè hướng đến mục tiêu trở thành Thành phố trực thuộc TP.Hồ Chí Minh.
+ Giá chưa tới 30tr/m2 bao đầu tư.
+ Sổ đang vay bank 2.2 tỷ, pháp lý chuẩn, chủ cần bán gấp.
☎️ Thiện chí alo em Hiền gặp chính chủ thương lượng, miễn trung gian."
1	Bán nhà HXH Âu Cơ Phường 9 Tân Bình, 51m2 3 Tầng, giá 5 tỷ nhỉnh	3899000000 tỷ	https://batdongsan.vn/ban-nha-hxh-au-co-phuong-9-tan-binh-51m2-3-tang-gia-5-ty-nhinh-r285163	51	na	na		"Bán nhà HXH Âu Cơ Phường 9 Tân Bình, 51m2 3 Tầng, giá 5 tỷ nhỉnh
+ DT 51m2 cực to cứng nhất khu
+ Kết cấu: 3 Tầng đẹp nhứt nách
+ Hẻm xe hơi mát mẻ an ninh
+ Sổ đẹp hoàn công đủ
+ Hẻm Âu Cơ thông Trần Văn Quang tiện di chuyển đường Bàu Cát, đường Ni Sư Huỳnh Liên, đường Hồng Lạc, Đường Lạc Long Quân, 1 phút ra chợ vải Tân Bình, 5 phút đi qua cư xá Lữ Gia, cư xá Bắc Hải, Quận 10, Quận 1."
2	SÁT MẶT TIỀN PHAN ĐĂNG LƯU, PHƯỜNG 7, PHÚ NHUẬN, 2 TẦNG BTCT, 45M2, 4.x TỶ	5.5 tỷ	https://batdongsan.vn/sat-mat-tien-phan-dang-luu-phuong-7-phu-nhuan-2-tang-btct-45m2-4x-ty-r285162	45	2	2		"- Kết cấu: 1 trệt 1 lầu BTCT; 2 PN, 2 WC. Phòng khách, bếp, ban công bao rộng
- Đường đi sạch sẽ, an ninh, yên tĩnh. Khu vực Phan Xích Long, Phan Đăng Lưu
- Gần CoopMart, BV Hoàn Mỹ, phố ẩm thực, công an phường
- Sổ hồng chính chủ, hoàn công đủ, pháp lý chuẩn, công chứng mua bán ngay"
3	CHỦ GẤP BÁN TRƯỚC TẾT LÊ HỒNG PHONG QUẬN 5 RA MẶT TIỀN ĐƯỜNG 15M	4.6 tỷ	https://batdongsan.vn/chu-gap-ban-truoc-tet-le-hong-phong-quan-5-ra-mat-tien-duong-15m-r285161	41	na	na	('10.7559877', '106.6785237')	"Mô tả:
- Diện tích công nhận 41m, thực tế 66m ngang 3.3m.
- Kết cấu 2 tầng thông sàn, đang cho thuê 15tr/tháng.
- Vị trí trung tâm Quận 5, sát Quận 1, Quận 10.
- Pháp lý sạch sẽ sẽ, sổ vuông vức, hoàn công đủ, công chứng ngay."
4	LŨY BÁN BÍCH,TÂN PHÚ-DIỆN TÍCH KHỦNG 96M2 ( 4.3*22.5M)???? CHỈ 5TỶX	7.35 tỷ	https://batdongsan.vn/luy-ban-bichtan-phu-dien-tich-khung-96m2-43225m-chi-5tyx-r285159	96	2	1		"- Diện tích 96m2 ngang 4.3m dài 22.5m .
- sổ vuông vức, thuận tiện xây mới, phù hợp xay dựng căn hộ dịch vụ với doanh thu cao vì gần khu dân cư, trường đại học các cấp...
- Kết cấu nhà 1 trệt, 1 lửng thông suốt , đang làm kho chứa vải
- Vị tri cách mặt tiền chỉ 30m, hẻm rộng sạch sẽ, xe tải nhỏ vào được
- Pháp lý rõ ràng, hoàn công đủ , công chứng ngay .
☎️ Lh: 0898992121 TRANG để xem nhà trực tiếp"
5	Bán nhà trong ngõ Lê Trọng Tấn, TK hiện đại, 40mx4t, giá 3.95 tỷ	Thỏa thuận	https://batdongsan.vn/ban-nha-trong-ngo-le-trong-tan-tk-hien-dai-40mx4t-gia-395-ty-r285158	40	4	3	('20.9638211', '105.7668048')	"- Vị trí khu vực trung tâm phường La Khê- Hà Đông, chỉ hơn 90m là ra phố Lê Trọng Tấn, từ đây có thể kết nối đi lại với tất cả các vùng miền trên cả nước, tiện ích đô thị không thiếu thứ gì.
- Căn nhà mới đẹp, hiện đại, xây dựng tỉ mỉ, khung cột chắc chắn gồm 4 phòng ngủ đẹp, phòng khách-bếp, wc…
- Các bạn có nhu cầu sở hữu căn nhà đẹp, liên hệ SĐT 0945936168"
6	Bán nhà trong ngõ Lê Trọng Tấn, TK hiện đại, 40mx4t, giá 3.95 tỷ	3.95 tỷ	https://batdongsan.vn/ban-nha-trong-ngo-le-trong-tan-tk-hien-dai-40mx4t-gia-395-ty-r285157	40	4	3	('20.9638211', '105.7668048')	"- Vị trí khu vực trung tâm phường La Khê- Hà Đông, chỉ hơn 90m là ra phố Lê Trọng Tấn, từ đây có thể kết nối đi lại với tất cả các vùng miền trên cả nước, tiện ích đô thị không thiếu thứ gì.
- Căn nhà mới đẹp, hiện đại, xây dựng tỉ mỉ, khung cột chắc chắn gồm 4 phòng ngủ đẹp, phòng khách-bếp, wc…
- Các bạn có nhu cầu sở hữu căn nhà đẹp, liên hệ SĐT 0945936168"
7	BÁN NHÀ PHỐ HOÀNG VĂN THÁI 59M - MT 3.6M - NGÕ THÔNG Ô TÔ - 30M Ô TÔ TRÁNH - 4 NGỦ Ở NGAY. LH: 0393838449	3.95 tỷ	https://batdongsan.vn/ban-nha-pho-hoang-van-thai-59m-mt-36m-ngo-thong-o-to-30m-o-to-tranh-4-ngu-o-ngay-lh-0393838449-r285155	59	na	na		"+ Chủ nhà cần bán gấp nhà phố Hoàng Văn Thái -tt quận Thanh Xuân 59m - ô tô ngõ thông - 30 mét ra ô tô tránh - 4 ngủ ở ngay không sửa chữa.

+ Trung tâm quận Thanh Xuân gần các tuyến phố lớn: Trường Chinh, Vương Thừa Vũ, Lê Trọng Tấn, Tôn Thất Tùng, Nguyễn Trãi, Tây Sơn vài bước ra Trung Tâm Royal City.

+ Ngõ ô tô to đẹp, trước nhà rộng rãi, sáng thoáng, an sinh tuyệt vời vài bước ra chợ.

+ Nhà gần Bệnh viện Đại học Y, Bệnh Viện Bạch Mai. Gần ĐH Y HN, Đại học Thủy Lơi, Học Viện Ngân Hàng, ĐH Kinh Tế quốc dân, ĐH Xây Dựng, ĐH Bách Khoa, ĐH Quốc Gia.

+ Nhà chủ xây cẩn thận, khung cột chắc chắn, 03 tầng 04 ngủ đủ công năng ở ngay không sửa chữa.
+ Sổ đỏ chính chủ, sẵn sàng giao dịch.

+ Giá chào: 7 tỷ 95 (có thương lượng).

Liên hệ: Mr. Thái Sơn chuyên nhà đẹp Thanh Xuân-Đống Đa
Để được xem nhà và tư vấn miễn phí 24/7

Gọi ngay: 0393838449 (Zalo)"
8	✅ BÁN NHÀ MỚI ĐẸP 7 X 13, CHỈ 3.5 TỶ, HẺM XE HƠI. CHỐT	7.95 tỷ	https://batdongsan.vn/ban-nha-moi-dep-7-x-13-chi-35-ty-hem-xe-hoi-chot-r285145	na	3	3		"✅ BÁN NHÀ MỚI ĐẸP 7 X 13, CHỈ 3.5 TỶ, HẺM XE HƠI. CHỐT
✅ 7 x 13, 1 trệt 2 lầu, hoàn công đầu đủ, 3 phòng ngủ.
????????Hẻm xe hơi, khu dân yên tĩnh, hàng xóm thân thiện.
????Vị trí khá Vị trí, đường số 9, nằm giữa Ql1k và đường số 11, đi lại khắp nơi.
✅Gần trung tâm thương mại, chợ Linh Xuân.
Sổ ở nhà, mang khách qua là chốt.
☎️ 0338947066"
9	SIÊU PHẨM Chào bán căn Biệt Thự mặt đường Lê Hồng Phong, Hải Phòng. Vị trí đẹp	Thỏa thuận	https://batdongsan.vn/sieu-pham-chao-ban-can-biet-thu-mat-duong-le-hong-phong-hai-phong-vi-tri-dep-r285144	425	6	6	('20.8447084', '106.7087239')	"SIÊU PHẨM Chào bán căn Biệt Thự mặt đường Lê Hồng Phong, Hải Phòng.
LH Mrs Tâm: 0796-336-866
Diện tích: 425m2; MT: 17m
Siêu biệt thự 6 tầng nằm trên tuyến trung tâm gần Lạc Hồng, khu vực đẹp nhất tuyến đường thời điểm hiện tại, đang cho thuê hợp đồng lâu dài dòng tiền 250 triệu/ tháng
⛳️ Đường trước nhà 60m.
Sổ đỏ chói lọi
Giá: 130 tỷ ( Có thỏa thuận )
Chi tiết LH Mrs Tâm: 0796-336-866 CDT Group Sàn Bán Nhà Hải Phòng."
