Title	Price	Links	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description
Bán nhà phố Bùi Xương Trạch 40m2x6T, 2mặt thoáng-Ôtô-KD, giá 4,35 tỷ	4.35 tỷ	https://batdongsan.vn/ban-nha-pho-bui-xuong-trach-40m2x6t-2mat-thoang-oto-kd-gia-435-ty-r260261	40.0	4.0			". Mô tả.
Nhà nằm ở vị trí trung tâm otô đỗ cửa, ngõ rộng thông thoáng,tiện ích không thiếu thứ gì Điện, Đường ,Trường , Trạm ….giao thông cực kỳ thuận tiện.
Nhà chủ tự xây dựng khung cột chắc chắn:
Hiện trạng nhà 5.5 Tầng.
- Tầng 1: Kinh doanh, bếp, vs và tiểu cảnh
- Tầng lửng : Phòng khách rộng
- Tầng 3.4 : Mỗi tầng 2 phòng ngủ,vs cầu thang giữa.
- Tầng 5: Phòng thờ và sân phơi .
- Tầng 6: Hệ thống Tum chống nóng.
+ Nhà 2 mặt thoáng trước sau, phòng nào cũng có cửa sổ, ban công phía trước
Sổ đỏ chính chủ, pháp lí sạch.
-Gía : 4,35 tỷ
Liên hệ : CHỊ Tâm 0985428591 để được xem nhà miễn phí."
chỉ 93tr/m2,5x17m,Bán nhà HXH Bạch Đằng MT1,Bình Thạnh, nhỉnh 7 tỷ	7.95 tỷ	https://batdongsan.vn/chi-93trm25x17mban-nha-hxh-bach-dang-mt1binh-thanh-nhinh-7-ty-r260260	80.0			Thành phố Hồ Chí Minh	"chỉ 93tr/m2,5x17m,Bán nhà HXH Bạch Đằng MT1,Bình Thạnh, nhỉnh 7 tỷ

????Ts: 23VC001_610

????Gọi ngay Vân Nhà To - 0901248068 (Call, Zalo, Viber) - 24/7
—------------------------
+ Vị trí quá đẹp cho khách xây CHDV, mở VĂN PHÒNG ngay vòng xoay HÀNG XANH, gần chợ BÀ CHIỂU, sát Quận 1, Phú Nhuận.VỪA Ở VỪA CHO THUÊ
+ Giao thông thuận lợi đi Điện Biên Phủ, Đinh Bộ Lĩnh, Xô Viết Nghệ Tĩnh, đi đâu cũng được.
+ Khu vực dân trí, yên tĩnh, an ninh, gần cụm trường ĐH Hutech, Hồng Bàng, Ngoại Thương,...
+ Kết cấu: 3 Tầng BTCT, 5PN, ban công, khách+bếp, giếng trời siêu mát.
+ Sổ vuông, pháp lý chuẩn, công chứng ngay, hoàn công đầy đủ.

Bán nhà hẻm 194 Bạch Đằng; Bán nhà 29 Bạch Đằng"
Ngang 7.5M,Bán nhà HXH V1 Điện Biên Phủ, Bình Thạnh, chỉ 12 tỷ 4	12.4 tỷ	https://batdongsan.vn/ngang-75mban-nha-hxh-v1-dien-bien-phu-binh-thanh-chi-12-ty-4-r260259	140.0			Thành phố Hồ Chí Minh	"Ngang 7.5M,Bán nhà HXH V1 Điện Biên Phủ, Bình Thạnh, chỉ 12 tỷ 4

????Ts: 23VC004_1020

????Gọi ngay Vân Nhà To - 0901248068 (Call, Zalo, Viber) - 24/7
—------------------------
-Vị trí ĐẮC ĐỊA phường 15, gần chợ BÀ CHIỀU, cầu Điện Biên Phủ, ngã 4 HÀNG XANH, cạnh Quận 1, Phú Nhuận, Xô Viết Nghệ Tĩnh, Đinh Bộ Lĩnh chỉ 1p.
- Sát cụm tam giác vàng trường ĐH lớn: Hutech, Hồng Bàng, Ngoại Thương, GTVT, Tài CHính-Kinh Tế, khai thác DÒNG TIỀN HIỆU SUẤT TỐI ĐA.
- Nhà cũ tiện xây mới, phù hợp xây CHDV, Biệt Thự…
- Diện tích 140m2(7.5x18.5m)
- Pháp lý sạch sẽ, chỉnh chủ 1 đời, chưa qua đầu tư, công chứng ngay.

Bán nhà hẻm 27 Điện Biên Phủ Quận Bình Thạnh; Bán nhà hẻm Điện Biên Phủ, Phường 17, Bình Thạnh"
Nhà đẹp Ngọc Lâm- Long Biên, 90m x 5 tầng, ôtô, thang máy, kinh doanh	11.5 tỷ	https://batdongsan.vn/nha-dep-ngoc-lam-long-bien-90m-x-5-tang-oto-thang-may-kinh-doanh-r260258	90.0	4.0	5.0		"Nhà đẹp Ngọc Lâm- Long Biên, 90m x 5 tầng, ôtô, thang máy, kinh doanh
-Cách cầu Chương Dương 200m, mặt ngõ ôtô thông Nguyễn Văn Cừ -Ngọc Lâm, 3 phút sang Hoàn Kiếm, vài bước chân ra Mipec Long Biên
-Nhà xây 5 tầng thoáng trước sau, thiết kế hiện đại, thang máy nhập khẩu, nội thất cơ bản, 4 phòng ngủ khép kín.
Sổ đỏ chính chủ, pháp lý chuẩn
Chào bán : 11.5 tỷ ( có thương lượng )
Miễn phí xem nhà và tư vấn : Trần Hải 0906098086"
bán nhà mặt phố Vạn Phúc, Hà Đông kinh doanh 75m2*2T MT 5m giá 22.5 tỷ 0343040888	22.3 tỷ	https://batdongsan.vn/ban-nha-mat-pho-van-phuc-ha-dong-kinh-doanh-75m22t-mt-5m-gia-225-ty-0343040888-r260257	75.0				"- bán nhà mặt phố Vạn Phúc, Hà Đông 75m2*2T MT 5m giá 22.5 tỷ 0343040888
- Nhà nằm vị trí đắc địa mặt phố Vạn Phúc ngã tư Tố Hữu, Lê Văn Lương
- Hiện đang cho thuê kinh doanh
- Vị trí ngã tư đắc địa thích hợp để xây kinh doanh, nhà hàng, Khách Sạn - văn phòng cho thuê.
- Vạn Phúc là một ngôi làng rất nổi tiếng với nghề dệt lụa, khu vực trung tâm gần trường học, trung tâm vui chơi, siêu thị, chợ,....
- Đường Vạn Phúc thông ra Lê Văn Lương, Tố Hữu, Quang Trung, Trần Phú,...
- Sổ đỏ Pháp lý chuẩn.
- Gọi ngay cho tôi Mr Hải 0343040888
- https://bdshhadonghanoi.blogspot.com"
Nhà đẹp ngay ngả 3 Lã Xuân Oai, Tăng Nhơn Phú A, Thủ Đức 50m, 2 tầng, giá 3 tỷ	3 tỷ	https://batdongsan.vn/nha-dep-ngay-nga-3-la-xuan-oai-tang-nhon-phu-a-thu-duc-50m-2-tang-gia-3-ty-r260255	50.0			666 Lã Xuân Oai	"- Kết cấu BTCT 2 tầng 2PN 2WC.
- Vị trí ngay ngã ba Lã Xuân Oai Lê Văn Việt, Chợ Nhỏ.
- Hẻm sạch sẽ an ninh, yên tĩnh.
- Pháp lý sạch sẽ, sổ vuông vức, hoàn công đủ, công chứng ngay.
Liên hệ: Anh Thuận xem nhà.
Uy tín – Tận Tâm - Trách nhiệm – Tốc độ - Giá trị.
Giúp người mua mua được căn nhà ưng ý!
Giúp người bán bán được căn nhà giá trị!"
Nhà đẹp ngay ngả 3 Lã Xuân Oai, Tăng Nhơn Phú A, Thủ Đức 50m, 2 tầng, giá 3 tỷ	3 tỷ	https://batdongsan.vn/nha-dep-ngay-nga-3-la-xuan-oai-tang-nhon-phu-a-thu-duc-50m-2-tang-gia-3-ty-r260254	50.0			666 Lã Xuân Oai	"- Kết cấu BTCT 2 tầng 2PN 2WC.
- Vị trí ngay ngã ba Lã Xuân Oai Lê Văn Việt, Chợ Nhỏ.
- Hẻm sạch sẽ an ninh, yên tĩnh.
- Pháp lý sạch sẽ, sổ vuông vức, hoàn công đủ, công chứng ngay.
Liên hệ: Anh Thuận xem nhà.
Uy tín – Tận Tâm - Trách nhiệm – Tốc độ - Giá trị.
Giúp người mua mua được căn nhà ưng ý!
Giúp người bán bán được căn nhà giá trị!"
CHÍNH CHỦ CẦN BÁN CĂN NHÀ THẠCH BÀN - LONG BIÊN - 35M - 4 TẦNG - Ô TÔ QUA NHÀ - CHỈ NHỈNH 3 TỶ	3.3 tỷ	https://batdongsan.vn/chinh-chu-can-ban-can-nha-thach-ban-long-bien-35m-4-tang-o-to-qua-nha-chi-nhinh-3-ty-r260252	35.0	3.0	3.0	Thạch Bàn Long Biên Hà Nội	"CHÍNH CHỦ CẦN BÁN CĂN NHÀ THẠCH BÀN - LONG BIÊN - 35M - 4 TẦNG - Ô TÔ QUA NHÀ - CHỈ NHỈNH 3 TỶ
Vị trí đỉnh của chóp, cầu Vĩnh Tuy giai đoạn 2 hoàn thành thì đâu còn nhà để bán... tầm tiền chỉ nhỉnh 3 Tỷ nhỏ .
- Ngõ thông 2 đầu, ô tô đỗ cổng 20m ra ô tô tránh
- Nhà xây 4 tầng - 1 tum. Mới tinh.
- Thiết kế:
+ Tầng 1: Phòng khách, Bếp, WC
+ Tầng 2,3: Phòng ngủ + Wc.
+ Tầng 4: Phòng thờ + Sân phơi.

- Nhà hiện tại chỉ có 2 ngủ khép kín, nhưng có thể cải tạo tầng 4 thêm 1 ngủ nữa.

- Sổ đỏ đẹp, vuông vắn đang cất két chờ sang tên chủ mới"
BÁN NHÀ TRƯƠNG ĐINH- GIẢI PHÓNG GẦN Ô TÔ 60M, 4T, GIÁ 4.66 TỶ	4660000 tỷ	https://batdongsan.vn/ban-nha-truong-dinh-giai-phong-gan-o-to-60m-4t-gia-466-ty-r260251	60.0			Tân Mai, Hoàng Mai, Hà Nội	"-Nhà ở vị trí rất đẹp, ngõ thông, ô tô chạy qua cổng, đi bộ vài bước ra ô tô tránh.
-Lô góc, phòng nào cũng có cửa sổ, ánh sáng ngập tràn.
-Sân để xe riêng, không phải cho vào nhà, nhiều phòng ngủ cho gia đình đông người hoặc cho thuê cũng rất phù hợp.
-Sổ đỏ chính chủ, sẵn sàng sang tên chủ mới.
-LH Trọng Kiên 0904537729 để xem nhà miễn phí."
Vị trí siêu đẹp bán Nhà gần hồ Mộ Lao Lô góc 2 thoáng 42m 5 tầng giá 5.35 tỷ	5.35 tỷ	https://batdongsan.vn/vi-tri-sieu-dep-ban-nha-gan-ho-mo-lao-lo-goc-2-thoang-42m-5-tang-gia-535-ty-r260250	42.0	5.0	4.0		"Vị trí siêu đẹp bán Nhà gần hồ Mộ Lao Lô góc 2 thoáng 42m 5 tầng giá 5.35 tỷ

- Nhà bán nằm trong khu dân trí cao, an ninh tốt, hàng xóm thân thiện, gần trường các cấp, chợ Mộ Lao, ngay khu đô thị Mộ Lao, cách Big c, Coopmart, trường đại học Kiến trúc, An ninh, Bưu chính 500m..tiện ích bạt ngàn.
- Ngõ trước nhà 3m, ô tô cách nhà 70m, giao thông thuận tiện.
- Nhà lô góc được thiết kế 5 tầng, phòng nào cũng có cửa sổ rất thoáng mát, chủ để lại cơ bản nội thất gồm 4 điều hòa, giường tủ...
+ Tầng 1: Khách, bếp, vs.
+ Tầng 2: Ngủ, khách, vs.
+ Tầng 3,4: Tổng 4 ngủ, 2 vs.
+ Tầng 5: 2 sân phơi siêu rộng.
- Sổ đổ vuông đẹp, nở hậu nhẹ.
-Liên hệ trực tiếp cho Nguyên Anh:0819508701 để biết thêm chi tiêt."
