Title	Price	Links	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description
Nội thất cao cấp, Bành Văn Trân, 4.3 x 14m, 8.4 tỷ, Tân Bình	8.4 tỷ	https://batdongsan.vn/noi-that-cao-cap-banh-van-tran-43-x-14m-84-ty-tan-binh-r252832	60	4	5	Bành Văn Trân, Phường 7, Quận Tân Bình, Hồ Chí Minh	"Nhà đẹp hẻm thông 3.5m 1 trục Bành Văn Trân, Phường 7, Quận Tân Bình.

DT 4.3 x 14m Kết cấu 1 trệt 2 lầu BTCT. gồm 4 phòng ngủ, 5 toilet. (mỗi phòng có toilet riêng)

Nội thất xịn, cao cấp.

Giá bán 8 tỷ 400 Thương Lượng

Liên hệ 0768688865 Bình Minh - xem nhà."
Nhà đường Nguyễn Thái Sơn, diện tích 52m2, chỉ 4 tỷ	4 tỷ	https://batdongsan.vn/nha-duong-nguyen-thai-son-dien-tich-52m2-chi-4-ty-r252831	52	nan	nan	Hồ Chí Minh	"Nhà Nguyễn Thái Sơn, Phường 5, Gò Vấp.
Mô tả:
- Diện tích: 52m2
Vị trí:
- Gần Phan Văn Trị, Dương Quảng Hàm, Phạm Văn Đồng, Nguyễn Kiệm, Phạm Ngũ Lão, ...
- Thuận tiện di chuyển các Quận như Quận 12, Quận 2, Quận 9, Phú Nhuận, Bình Thạnh, Quận 3,...
Tiện ích:
- Xung quanh tiện ích không thiếu thứ gì.
- Lotte Mart Gò Vấp, Vincom Quang Trung, Công viên Làng hoa Gò Vấp, Bệnh viện Đa khoa Hồng Đức, Trường THPT Nguyễn Công Trứ, Trường THCS Nguyễn Du, chợ Hạnh Thông Tây, …
Mọi chi tiết xin liên hệ : Duyên 0908.638.007"
Bán nhà mới xây 1T1L 70m2 SHR thổ cư đường ô tô cách Bùi Hữu Nghĩa 30m	2800 tỷ	https://batdongsan.vn/ban-nha-moi-xay-1t1l-70m2-shr-tho-cu-duong-o-to-cach-bui-huu-nghia-30m-r252828	70	3	3	ngay gần chợ đồn	"Bán nhà mới xây 1 trệt 1 lầu thiết kế hiện đại cách Bùi Hữu Nghĩa 30m hẻm xe ô tô đi thoải mái thương lượng giá tốt nhất thị trường.
+ Vị trí: Gần ngã tư chợ Đồn,cách đường Bùi Hữu Nghĩa khoảng 30m. Đi về biên hòa gần.
+ Diện tích: 4x16m (70m2)
+ Sổ hồng riêng thổ cư, nhà hoàn công trên sổ.
+ Tiện ích xung quanh đầy đủ, kế bên đường chính bùi huux nghĩa, gần chợ, trường hoc….
+ Nhà thiết kế 1 Trệt 1 lầu theo phong cách mới hiện đại năng động,trẻ trung gồm:1 phòng khách,3 phòng ngủ,2 tolet,nhà bếp và sân để xe.
Giá chỉ: 2,8 tỉ ( còn thương lượng)
Lh (H3): Hải Đăng 0937759337"
Hẻm 4m, Lưu Nhân Chú, 4.2 x 15.2m, 3 lầu, 8.5 tỷ, Tân Bình	8.5 tỷ	https://batdongsan.vn/hem-4m-luu-nhan-chu-42-x-152m-3-lau-85-ty-tan-binh-r252826	63	4	5	Lưu Nhân Chú, Phường 5, Quận Tân Bình, Hồ Chí Minh	"GẤP. GẤP. Nhà xây ở nay cần bán.

Bán nhà 33/ Lưu Nhân Chú, Phường 5, Quận Tân Bình.

Vị trí nhà cách mặt tiền Lưu Nhân Chú 200m , đường bàn cờ 4 mét thông.

+ Dt đất : 4.2m × 15.2m . Sổ hồng riêng.
+ Kết cấu nhà: 1 trệt 3 lầu 4pn , 5wc, phòng thờ, sân thượng trước sau , phòng khách , bếp rộng rãi. Diện tích sàn sử dụng 192m2 .Nhà chủ tự xây để ở nên rất kiên cố. Hướng Đông Nam mát mẻ.

+ Để lại toàn bộ nội thất, chỉ giữ lại một số vật dụng kỷ niệm.

**** Giá bán : 8 tỷ 500tr CÒN THƯƠNG LƯỢNG MẠNH.

Lh xem nhà Call,sms,zalo: 0706026518 Trương Thành"
CHÍNH CHỦ BÁN NHÀ NGUYỄN THỊ THẬP Q7 - DT 51M2 - 4PN 4 LẦU MỚI CỨNG - GẦN LOTTE - 5.25 TỶ TL	5.25 tỷ	https://batdongsan.vn/chinh-chu-ban-nha-nguyen-thi-thap-q7-dt-51m2-4pn-4-lau-moi-cung-gan-lotte-525-ty-tl-r252824	51	4	5	Q7	"CHÍNH CHỦ BÁN NHÀ NGUYỄN THỊ THẬP Q7 - DT 51M2 - 4PN 4 LẦU MỚI CỨNG - GẦN LOTTE - 5.25 TỶ TL
- Cần bán nhà đẹp 4 Tấm cách siêu thị Lotte chỉ có 3 di chuyển. Ngay chợ Tân Mỹ...
- Hiện trạng : 4 Tấm gồm có 4 Phòng Ngủ + 5WC
- Pháp lí : Sổ Hồng Riêng, mua bán sang tên công chứng , Nhà không quy hoạch.
LH e Tiến Anh 0888394178 để được tư vấn và xem nhà"
Chủ Ngộp Bán Giảm giá 100 triệu Căn nhà đẹp 1T1L P. Hóa an	2600 tỷ	https://batdongsan.vn/chu-ngop-ban-giam-gia-100-trieu-can-nha-dep-1t1l-p-hoa-an-r252823	73	3	nan	ngay công ty pouchen	"Chủ Ngợp Cần tiền giảm giá 100 triệu Bán nhà 1 Trệt 1 Lầu 73m2 SHR thổ cư đường ô tô (P. Hoá An). Thiết kế hiện đại rất đẹp thích hợp cho anh chị mua ở hoặc đầu tư.
+ Vị trí: Gần công ty Phouchen ,cách đường Nguyễn Văn Lung khoảng 200m
+ Diện tích : 4x18,4m (73m2)
+ Sổ hồng riêng thổ cư sang tên công chứng trong ngày, hỗ trợ vay ngân hàng thoải mái.
+ Nhà 1 Trệt 1 Lầu thiết kế hiện đại, trẻ trung gồm: 1 phòng khách,3 phòng ngủ,2 tolet,nhà bếp,sân đậu ô tô...Đường 6m hai ô tô đi thông thoáng, tặng full nội thất.
+ GIÁ BÁN : 2,6 tỉ (thương lượng nhẹ)
Lh (H3): Hải Đăng 0937759337
Ngoài ra bên e còn rất nhiều sản phẩm cho a chị lựa chọn ạ."
Nhà 4 tầng BTCT - Hẻm thông - Nhà mới vào ở ngay - Chỉ 4.8 tỷ	4.8 tỷ	https://batdongsan.vn/nha-4-tang-btct-hem-thong-nha-moi-vao-o-ngay-chi-48-ty-r252822	21	3	2	Bà Hạt, Phường 9, Quận 10, TPHCM	"+ Bà Hạt, Phường 9, Quận 10.
+ Diện tích: 21m2 (7 x 3)
+ Kết cấu 4 tầng BTCT gồm 1 trệt, 2 lầu, sân thượng, 3PN, 2WC.
+ Vị trí ngay trung tâm Quận 10, hẻm thông tứ tung, giao thông thuận lợi.
+ Khu vực an ninh, tiện ích đầy đủ, gần nhiều trường học, ngân hàng, bệnh viện.
+ Sổ chính chủ, pháp lý chuẩn.
+ Giá: 4.8 tỷ (thương lượng).
+ Liên hệ Mr Nhân 0779988718 (Zalo) xem nhà trực tiếp.
* Nhận tìm nhà theo nhu cầu khách hàng. Hoàn toàn miễn phí, uy tín, tận tâm."
BÁN GẤP NHÀ PHÂN LÔ KIM ĐỒNG, Ô TÔ, VP, KD 62m, 5 Tầng chỉ 8.6 tỷ, 0963139980	8.6 tỷ	https://batdongsan.vn/ban-gap-nha-phan-lo-kim-dong-o-to-vp-kd-62m-5-tang-chi-86-ty-0963139980-r252814	62	6	7	Đường Kim Đồng phường Giáp Bát quận Hoàng Mai Hà Nội	"Ô TÔ ĐỖ CỬA - CHỈ 1 NHÀ RA MẶT ĐƯỜNG RỘNG 12M
- Nhà ở vị trí VIP nhất Kim Đồng - Hoàng Mai, thuận tiện đi Giải Phóng, Giáp Bát, Trương Định, Tân Mai...
- Nhà sát dự án đường vành đai 2.5, hồ Đền Lừ, khu biệt thự liền kề Louis City, TTTM AEON. Bán kính 3km các trường ĐH top quốc gia: Kinh Tế Quốc Dân, Bách Khoa, Xây Dựng. Tiện thăm khám bệnh viện TW: BV Bạch Mai, Tai Mũi Họng TW...
- Tầng 1: thông sàn, khách, bếp, WC
- Tầng 2, 3, 4: 6 ngủ khép kín.
- Tầng 5: sân phơi, BBQ, Bar Cafe.
- Sổ đỏ chính chủ sẵn sàng.
Xem nhà Miễn Phí, Làm việc Chính Chủ. Ms. Hiền 0963139980
--------
THÔNG TIN CHUẨN, HÌNH ẢNH THẬT
(Miễn MG - Trung Gian)"
Tựu Liệt cần Bán nhà 38m nội thất đẹp long lanh giá chỉ nhỉnh 3 tỷ, LH ngay 097xxx	3.2 tỷ	https://batdongsan.vn/tuu-liet-can-ban-nha-38m-noi-that-dep-long-lanh-gia-chi-nhinh-3-ty-lh-ngay-097xxx-r252812	38	nan	nan	Tựu Liệt, Thanh Trì, Hà Nội	"+ Nằm vị trí trung tâm TT Văn Điển, di chuyển qua các tuyến phố Linh Đàm, Tựu Liệt, Phan Trọng Tuệ, Tứ Hiệp dễ dàng.
+ Xung quanh BV K, BV Thăng Long, chợ, trường học không thiếu thứ gì…
+ Đường vào nhà rộng thoáng, sạch sẽ, oto đỗ cửa.
+ Khu vực dân trí cao, an ninh tốt, hàng xóm thân thiện.
+ Anh chỉ nhà làm ăn có lộc nên muốn bán để mua nhà to hơn, cần tìm khách thiện trí.
+ Nhà 5 tầng, thiết kế 3pn lớn đầy đủ công năng.
+ Sổ đỏ chính chủ, sẵn sàng giao dịch.
+ Giá: 3.2 tỷ
Tư vấn mua bán BĐS: Gọi ngay Hiếu 0975596463."
BÁN GẤP NHÀ PHÂN LÔ LƯƠNG KHÁNH THIỆN Ô TÔ, 63m, 5 Tầng KD, VP chỉ 8.62 tỷ	8.6 tỷ	https://batdongsan.vn/ban-gap-nha-phan-lo-luong-khanh-thien-o-to-63m-5-tang-kd-vp-chi-862-ty-r252811	63	6	7	Đường Lương Khánh Thiện phường Tương Mai quận Hoàng Mai Hà Nội	"Ô TÔ ĐỖ CỬA - CHỈ 1 NHÀ RA MẶT ĐƯỜNG RỘNG 12M
- Nhà ở vị trí VIP nhất phố Lương Khánh Thiện thuận tiện đi tuyến đường Trương Định, Tân Mai, Giải Phóng, Kkm Đồng, Giáp Bát, Nguyễn An Ninh...
- Nhà gần hồ Đền Lừ, khu Phân lô Đền Lừ, gần khu biệt thự liền kề Louis City, TTTM AEON. Bán kính 3km các trường ĐH top quốc gia: Kinh Tế Quốc Dân, Bách Khoa, Xây Dựng. Tiện thăm khám bệnh viện TW: BV Bạch Mai, Tai Mũi Họng TW...
- Tầng 1: thông sàn, khách, bếp, WC
- Tầng 2, 3, 4: 6 ngủ khép kín.
- Tầng 5: sân phơi, BBQ, Bar Cafe.
- Sổ đỏ chính chủ sẵn sàng.
- Xem nhà Miễn Phí, Làm việc Chính Chủ. Ms. Hiền 0963139980"
