	Title	Price	Links	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description
0	Bán nhà 5 tầng xây thô đường 30m khu đô thị Himlam, Hùng Vương, Hồng Bàng, Hải Phòng	4.5 tỷ	https://batdongsan.vn/ban-nha-5-tang-xay-tho-duong-30m-khu-do-thi-himlam-hung-vuong-hong-bang-hai-phong-r266528	62.0	5.0	5.0	Himlam, Hùng Vương, Hồng Bàng, Hải Phòng	"???? Bán nhà xây thô 5 tầng có 2 mặt tiền trước sau Him Lam, Hùng Vương, Hồng Bàng, Hải Phòng.
???? LH Mrs Tâm: 0796-336-866
Địa chỉ: Himlam, Hùng Vương, Hồng Bàng, Hải Phòng

???? Thông số:
- Diện tích: 62,5m2.
- Ngang: 5m.
- Hướng: TN/ĐB
- Đường: 30m

???? Nhà 5 tầng, có cầu thang máy, dân tự xây, móng cọc khoan nhồi, bản vẽ thiết kế, chất lượng tỉ mỉ từng chi tiết, đã trát xong, về chỉ việc sơn và lắp nội thất theo sở thích, cực kì chắc chắn, nằm trên trục đường 30m rộng, đẹp, trung tâm nhất khu phân lô Himlam

???? Mặt tiền lý tưởng 5m, vỉa hè rộng, mặt sau view vườn hoa siêu thoáng.

???? Vị trí cực kì đắc địa để kinh doanh, buôn bán, mở cửa hàng tạp hoá, siêu thị mini, spa, phòng khám văn phòng đại diện công ty.

???? Các đường nhánh đều đã thông, đi về trung tâm phường Hùng Vương, chợ trường học chỉ 5 phút, về Vinhomes chỉ 10 phút.

???? Giá: 4,5 tỷ( TT)

???? Chi tiết LH Mrs Tâm: 0796-336-866 Công ty Bán Nhà Hải Phòng “ UY TÍN- TẬN TÂM- CHUYÊN NGHIỆP”"
1	Cần bán gấp căn nhà mới xây xong đẹp 5x10 mặt tiền đường sổ hồng riêng	1550000 tỷ	https://batdongsan.vn/can-ban-gap-can-nha-moi-xay-xong-dep-5x10-mat-tien-duong-so-hong-rieng-r266527	50.0	4.0	4.0		"Nhà 2 Lầu 5x10 có 4 phòng ngủ, 4phòng vệ sinh, Nhà mới, nội thất cao cấp, chỉ việc dọn vào ở.
Nhà mặt tiền đường bê tông 6m, khu dân cư đông đúc, đường ôtô thông thoáng vivu

Giá 1ty550

Bao công chứng, sang tên nhanh gọn, bao quy hoạch. Bao vay ngân hàng.

Ngay trung tâm, chợ, ubnd xã, trường học, bệnh viện, thế giới di động, điện máy xanh, bách hóa xanh.

Hãy nhanh tay chọn cho mình 1 căn nhà Đẹp - Giá Rẻ - Pháp lý rõ ràng. để an cư lạc nghiệp, bên cạnh đó là tiềm năng phát triển cực cao, tính sinh lời cực tốt.

Cảm ơn anh chị đã xem tin, hân hạnh được phục vụ quí anh chị
Liên hệ 0372870144 để biết thông tin chi tiết"
2	Bán nhà HXH đường LÊ VĂN QUỚI, DT: 6x10m, 1 lửng, giá: 4.5 tỷ TL Liên Hệ Ngay	4.5 tỷ	https://batdongsan.vn/ban-nha-hxh-duong-le-van-quoi-dt-6x10m-1-lung-gia-45-ty-tl-lien-he-ngay-r266525	60.0				"- Bán nhà: Hẻm xe hơi đường Lê Văn Quới, DT: 6x10m.
- Tiện ích: Hẻm trước nhà 4m, vị trí nhà thông ra được đường Đất Mới và Hương Lộ 2. Bán kính tiện ích nằm trong 1km như chợ, siêu thị, cửa hàng công nghệ, dịch vụ ăn uống,v.v...
- Kết cấu: 1 trệt, 1 lửng.
- Vị trí: Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ.
- Giá: 4.5 tỷ TL.

Liên hệ: 0707725457 Phú Cường.
Hỗ Trợ Khách Hàng Đăng Bộ Sang Tên Hoàn Toàn Miễn Phí.
Cam kết những thông tin trên đúng 100% sự thật.
Uy Tín - Chuyên Nghiệp - Tốc Độ - Hiệu Quả.
Sàn giao dịch BĐS TanPhuLand.
Đc: 229 Lê Văn Quới, P. Bình Trị Đông, Q. Bình Tân, TP. HCM."
3	Bán nhà HXH đường LÊ VĂN QUỚI, DT: 4x11m, 3 lầu, giá: 6.5 tỷ TL Liên hệ Ngay	6.5 tỷ	https://batdongsan.vn/ban-nha-hxh-duong-le-van-quoi-dt-4x11m-3-lau-gia-65-ty-tl-lien-he-ngay-r266524	44.0				"- Bán nhà: Hẻm xe hơi thông đường Lê Văn Quới, DT: 4x11m.
- Tiện ích: Hẻm 5m thông, cách mặt tiền đường chưa đến 100 m, cách ngã 3 Lê Văn Quới - Mã Lò chi 300m. Bán kính tiện ích nằm trong 1km như chợ, siêu thị, trường học các cấp, bệnh viện, cửa hàng công nghệ, dịch vụ ăn uống,v.v...
- Kết cấu: 1 trệt, 1 lửng, 2 lầu, sân thượng, 4 phòng ngủ, 4 toilet.
- Vị trí: Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ.
- Giá: 6.5 tỷ TL.

Liên hệ: 0707725457 Phú Cường.
Hỗ Trợ Khách Hàng Đăng Bộ Sang Tên Hoàn Toàn Miễn Phí.
Cam kết những thông tin trên đúng 100% sự thật.
Uy Tín - Chuyên Nghiệp - Tốc Độ - Hiệu Quả.
Sàn giao dịch BĐS TanPhuLand.
Đc: 229 Lê Văn Quới, P. Bình Trị Đông, Q. Bình Tân, TP. HCM."
4	Bán nhà HXH đường SỐ 3 BÌNH LONG, DT: 4x9m, 2 lầu, giá: 4 tỷ TL Liên Hệ Ngay	4 tỷ	https://batdongsan.vn/ban-nha-hxh-duong-so-3-binh-long-dt-4x9m-2-lau-gia-4-ty-tl-lien-he-ngay-r266523	36.0				"- Bán nhà: Hẻm xe hơi thông đường Số 3 Bình Long, DT: 4x9m.
- Tiện ích: Hẻm 4m xe hơi vô đến nhà, vị trí nhà thông ra được đường Bình Long và Nguyễn Sơn, cách đường Bình Long chỉ 400m. Bán kính tiện ích nằm trong 1km như chợ, siêu thị, trường học, cửa hàng công nghệ, dịch vụ ăn uống,v.v...
- Kết cấu: 1 trệt, 2 lầu.
- Vị tri: Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ.
- Giá: 4 tỷ TL.

Liên hệ: 0707725457 Phú Cường.
Hỗ Trợ Khách Hàng Đăng Bộ Sang Tên Hoàn Toàn Miễn Phí.
Cam kết những thông tin trên đúng 100% sự thật.
Uy Tín - Chuyên Nghiệp - Tốc Độ - Hiệu Quả.
Sàn giao dịch BĐS TanPhuLand.
Đc: 229 Lê Văn Quới, P. Bình Trị Đông, Q. Bình Tân, TP. HCM."
5	Nhỉnh 5 tỷ có nhà lô góc 58m Ngọc Thụy, Long Biên, 4 tầng, MT 5m	5.7 tỷ	https://batdongsan.vn/nhinh-5-ty-co-nha-lo-goc-58m-ngoc-thuy-long-bien-4-tang-mt-5m-r266522	58.0	3.0	4.0	Long Biên	"Bán nhà Ngọc Thụy, Long Biên, diện tích 58m x 4 tầng, mặt tiền nhà rộng 5m, lô góc, ô tô qua lại.
+ Nhà năm trong khu vực văn minh của phường Ngọc Thụy, cách đường Ngọc Thụy 50m, ngõ rộng ô tô thông, đi lại sang Hoàn Kiếm hoặc lên sân bay Nội Bài cực thuận tiện.
+ Hạ tầng đẹp, dân trí cao, văn minh, khu vực có đủ các trường học từ mầm non đến trung học của phường Ngọc Thụy đủ cả, hoặc mất 10 phút qua cầu Long Biên để sang phố cổ học tập và làm việc.
+ Nhà thiết kế hiện đại phong cách Âu, gồm 3 phòng ngủ khép kín, tầng 1 có chỗ để xe + phòng khách + bếp. Có khu bể xục + phòng xông hơi.
+ Sổ đỏ vuông đẹp, sẵn sàng sang tên.
LH: 0904.882258"
6	Bán nhà HXH 8M thông đường SỐ 8 LÊ VĂN QUỚI, DT: 8x20m, 2 lầu, giá: 12 tỷ TL Liên Hệ Ngay	12 tỷ	https://batdongsan.vn/ban-nha-hxh-8m-thong-duong-so-8-le-van-quoi-dt-8x20m-2-lau-gia-12-ty-tl-lien-he-ngay-r266520	160.0				"- Bán nhà: Hẻm xe hơi thông đường Số 8 Lê Văn Quới, DT: 8x20m.
- Tiện ích: Hẻm 8m thông, giáp với quận Tân Phú, vị trí nhà thông ra đường Số 1 và Bình Long. Bán kính tiện ích nằm trong 1km như chợ, siêu thị, cửa hàng công nghệ, dịch vụ ăn uống,v.v...
- Kết cấu: 1 trệt, 1 lửng, 2 lầu.
- vị trí: Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ.
- Giá: 12 tỷ TL.

Liên hệ: 0707725457 Phú Cường.
Hỗ Trợ Khách Hàng Đăng Bộ Sang Tên Hoàn Toàn Miễn Phí.
Cam kết những thông tin trên đúng 100% sự thật.
Uy Tín - Chuyên Nghiệp - Tốc Độ - Hiệu Quả.
Sàn giao dịch BĐS TanPhuLand.
Đc: 229 Lê Văn Quới, P. Bình Trị Đông, Q. Bình Tân, TP. HCM."
7	Bán nhà HXH 8M thông đường SỐ 8 LÊ VĂN QUỚI, DT: 8x20m, 2 lầu, giá: 12 tỷ TL Liên Hệ Ngay	12 tỷ	https://batdongsan.vn/ban-nha-hxh-8m-thong-duong-so-8-le-van-quoi-dt-8x20m-2-lau-gia-12-ty-tl-lien-he-ngay-r266519	160.0				"- Bán nhà: Hẻm xe hơi thông đường Số 8 Lê Văn Quới, DT: 8x20m.
- Tiện ích: Hẻm 8m thông, giáp với quận Tân Phú, vị trí nhà thông ra đường Số 1 và Bình Long. Bán kính tiện ích nằm trong 1km như chợ, siêu thị, cửa hàng công nghệ, dịch vụ ăn uống,v.v...
- Kết cấu: 1 trệt, 1 lửng, 2 lầu.
- vị trí: Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ.
- Giá: 12 tỷ TL.

Liên hệ: 0707725457 Phú Cường.
Hỗ Trợ Khách Hàng Đăng Bộ Sang Tên Hoàn Toàn Miễn Phí.
Cam kết những thông tin trên đúng 100% sự thật.
Uy Tín - Chuyên Nghiệp - Tốc Độ - Hiệu Quả.
Sàn giao dịch BĐS TanPhuLand.
Đc: 229 Lê Văn Quới, P. Bình Trị Đông, Q. Bình Tân, TP. HCM."
8	Bán nhà HXH đường MÃ LÒ, DT: 4x15.5m, 1 lầu, giá: 4.5 tỷ TL Liên Hệ ngay	4.5 tỷ	https://batdongsan.vn/ban-nha-hxh-duong-ma-lo-dt-4x155m-1-lau-gia-45-ty-tl-lien-he-ngay-r266518	62.0				"- Bán nhà: Hẻm xe hơi đường Mã Lò, DT: 4x15.5m.
- Tiện ích: Hẻm trước nhà 6m xe hơi vô đến nhà, cách mặt tiền đường chỉ vài chục m, cách đường Tân Kỳ Tân Quý chưa đến 400m. Bán kính tiện ích nằm trong 1km như chợ, siêu thị, trường học, cửa hàng công nghệ, dịch vụ ăn uống,v.v...
- Kết cấu: 1 trệt, 1 lầu.
- Vị trí: Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ.
- Giá: 4.5 tỷ TL.

Liên hệ: 0707725457 Phú Cường.
Hỗ Trợ Khách Hàng Đăng Bộ Sang Tên Hoàn Toàn Miễn Phí.
Cam kết những thông tin trên đúng 100% sự thật.
Uy Tín - Chuyên Nghiệp - Tốc Độ - Hiệu Quả.
Sàn giao dịch BĐS TanPhuLand.
Đc: 229 Lê Văn Quới, P. Bình Trị Đông, Q. Bình Tân, TP. HCM."
9	Bán nhà đẹp Huỳnh Khương An Gò Vấp, 4 tâng BTCT mới giá chỉ 5,7 tỷ.	5.7 tỷ	https://batdongsan.vn/ban-nha-dep-huynh-khuong-an-go-vap-4-tang-btct-moi-gia-chi-57-ty-r266517	36.0	4.0	4.0	Gò Vấp, Thành phố Hồ Chí Minh	"Nhà mới vô ở ngay thiết kế hiện đại 1 trêt 3 lầu,4 pn, 4wc.
+ hẻm 3 gác rất đẹp, thông thoáng, dân trí cao, hẻm thông tứ phía.
+ dt ngang 5m x 7m
???????? Ngay trung tâm sát vách BÌNH THẠNH, TÂN BÌNH,...thuận tiện qua các quận, đối diện trường ĐH Công nghiêp.
????????sổ hồng riêng công chứng ngay

LH HƯƠNG NGUỒN NHÀ RẺ."
