	Title	Price	Links	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description
0	(PHA23) BÁN NHÀ MẶT TIỀN ĐƯỜNG ĐỒNG NAI - PHƯỚC HẢI	6.5 tỷ	https://batdongsan.vn/pha23-ban-nha-mat-tien-duong-dong-nai-phuoc-hai-r285080	83	4	3	ĐÔNG NAI, PHƯỜNG PHƯỚC HẢI, NHA TRANG	"(PHA23) BÁN NHÀ MẶT TIỀN ĐƯỜNG ĐỒNG NAI - PHƯỚC HẢI
- Diện tích sổ 83.3m2 full ODT (thực dùng 93.7m2)
- Ngang 5m. Hướng Tây Bắc
- Pháp Lý sổ hồng hoàn công
- Thiết kế 4pn, 3wc, bếp, p.khách, p.thờ, sân để xe....
- Gần trường học - mầm non, gần chợ Đồng Nai và chợ Phước Hải, gần siêu thị Coopmart, cách biển 10p di chuyển,....
- Thích hợp vừa ở vừa kinh doanh, đầu tư cho thuê,...
=>> Giá bán 6.5 tỷ.
=>> LH 0705017559 - 0935785259"
1	Bán nhà đẹp 4 tầng Bùi Tá Hán, An Phú, Q2 4x20m 15.8 tỷ, không lỗi phong thuỷ	15.8 tỷ	https://batdongsan.vn/ban-nha-dep-4-tang-bui-ta-han-an-phu-q2-4x20m-158-ty-khong-loi-phong-thuy-r285079	80	4	4	Quận 2, Hồ Chí Minh	"- Bán nhà mặt tiền Bùi Tá Hán, An Phú, Q2
- DT 4mx20m
- Giá 15.8 tỷ bớt lộc
- Vị trí gần công viên Cao Đức Lân, tiện di chuyển, thích hợp làm văn phòng hay ở
- Kết cấu 1 trệt, 2 lầu, Sân thượng
- Đường trước nhà 10m có vỉa hè
- LH Tâm 0815813400 để xem nhà. UY TÍN"
2	(VH25) BÁN NHÀ 3 TẦNG MẶT TIỀN ĐƯỜNG 19/5 KHU ĐÔ THỊ VĨNH ĐIỀM TRUNG	9.2 tỷ	https://batdongsan.vn/vh25-ban-nha-3-tang-mat-tien-duong-195-khu-do-thi-vinh-diem-trung-r285078	138	5	6	ĐƯỜNG 19 THÁNG 5, KHU ĐÔ THỊ VĨNH ĐIỀM TRUNG, NHA TRANG	"(VH25) BÁN NHÀ 3 TẦNG MẶT TIỀN ĐƯỜNG 19/5 KHU ĐÔ THỊ VĨNH ĐIỀM TRUNG
- Diện tích 138m2 full ONT
- Ngang 6m. Hướng Tây Nam
- Đường trước nhà rộng 30m
- Pháp Lý sổ hồng hoàn công
- Kết cấu 1 trệt 2 lầu với 5pn, 6wc, bếp, p.khách, tầng trệt decor sẵn kinh doanh cà phê, p.thờ, sân phơi,...
- Trong bán kính 500m có đầy đủ tiện ích như bệnh viện đa khoa - trường Quốc Tế - siêu thị Big C Go - Nhà hàng và quán cà phê,...
- Thích hợp vừa ở vừa kinh doanh, đầu tư cho thuê, làm trung tâm dạy học - Anh Ngữ, làm phòng khám chuyên khoa, làm spa - beauty cao cấp,....
=>> Giá bán 9.2 tỷ. Thuế bên nào bên đó chịu
=>> LH 0935785259 - 0705017559"
3	(VH25) BÁN NHÀ 3 TẦNG MẶT TIỀN ĐƯỜNG 19/5 KHU ĐÔ THỊ VĨNH ĐIỀM TRUNG	9.2 tỷ	https://batdongsan.vn/vh25-ban-nha-3-tang-mat-tien-duong-195-khu-do-thi-vinh-diem-trung-r285077	138	5	6	ĐƯỜNG 19 THÁNG 5, KHU ĐÔ THỊ VĨNH ĐIỀM TRUNG, NHA TRANG	"(VH25) BÁN NHÀ 3 TẦNG MẶT TIỀN ĐƯỜNG 19/5 KHU ĐÔ THỊ VĨNH ĐIỀM TRUNG
- Diện tích 138m2 full ONT
- Ngang 6m. Hướng Tây Nam
- Đường trước nhà rộng 30m
- Pháp Lý sổ hồng hoàn công
- Kết cấu 1 trệt 2 lầu với 5pn, 6wc, bếp, p.khách, tầng trệt decor sẵn kinh doanh cà phê, p.thờ, sân phơi,...
- Trong bán kính 500m có đầy đủ tiện ích như bệnh viện đa khoa - trường Quốc Tế - siêu thị Big C Go - Nhà hàng và quán cà phê,...
- Thích hợp vừa ở vừa kinh doanh, đầu tư cho thuê, làm trung tâm dạy học - Anh Ngữ, làm phòng khám chuyên khoa, làm spa - beauty cao cấp,....
=>> Giá bán 9.2 tỷ. Thuế bên nào bên đó chịu
=>> LH 0935785259 - 0705017559"
4	HXH-NGUYỄN HỮU TIẾN, TÂN PHÚ-57M2 ngang 4.1m- 4 tầng-6.1 tỷ (TL)	6.1 tỷ	https://batdongsan.vn/hxh-nguyen-huu-tien-tan-phu-57m2-ngang-41m-4-tang-61-ty-tl-r285076	57	4	3	na	"- Vị trí trung tâm Tân Phú gần trường Đại học Công Nghệ
- Kết cấu 4 tầng gồm 1 trệt, 2 lầu, sân thượng với 4PN, 3WC, ban công rộng rãi , thiết kế thoáng mát.
- Diện tích 57m2 ( 4.1 *14m)
- Đặc biệt: gia chủ tặng một số nội thất cho khách thiện chí.
- sổ vuông A4 , chủ thiện chí bán.
- giá : 6.1 tỷ ( thương lượng tốt )
☎️ Liên hệ Trang 0899.892121xem nhà trực tiếp!"
5	Bán nhà kế Phạm Văn Hai Phường 6 Tân Bình, 55m2, 3 Tầng, Ô tô gần giá 5 tỷ nhỏ	5.75 tỷ	https://batdongsan.vn/ban-nha-ke-pham-van-hai-phuong-6-tan-binh-55m2-3-tang-o-to-gan-gia-5-ty-nho-r285075	55	na	na	na	"KẾ PHẠM VĂN HAI PHƯỜNG 6 TÂN BÌNH - DT TO 55M2 - KẾT CẤU 3 TẦNG ĐÚC - VÀI BƯỚC RA HẺM Ô TÔ - SỔ ĐẸP GẤP BÁN - CÓ 5 TỶ NHỎ
+ Vị trí giao thông thuận tiện tương lai tuyến Mettro đi qua, chợ vải Tân Bình, Quận 10 Quận 3 Quận 1 kế
bên. Khu vực dân trí cao an ninh, gần công viên Lê Thị Riêng, trường học uỷ ba nhân dân các cấp"
6	Bán nhà gần Hồng Lạc Phường 8 Tân Bình, 35m2, Ô tô đậu, 4 TẦNG, giá rẻ	5.5 tỷ	https://batdongsan.vn/ban-nha-gan-hong-lac-phuong-8-tan-binh-35m2-o-to-dau-4-tang-gia-re-r285074	35	na	na	na	"GẦN HỒNG LẠC TÂN BÌNH - DT VUÔNG VẮN 35M2 - GẦN MẶT TIỀN Ô TÔ ĐẬU - 4 TẦNG ĐẸP NHỨT NÁCH - SỔ ĐẸP VUÔNG 90 ĐỘ - GIÁ RẺ
RẺ
+ Nhà mới kết cấu cứng, DT khủng, gần MẶt tiền ô tô đậu, vuông vắn, di chuyển trung tâm Tân Bình, gần chợ vải Tân Bình, 5 phút đi cư xá Bắc Hải, Lữ Gia, Phú Thọ"
7	TÂN PHÚ-HXH LŨY BÁN BÍCH-NHÀ ĐẸP SMARTHOME-3 TẦNG BTCT- NHỈNH 4 TỶ ☘️	4.69 tỷ	https://batdongsan.vn/tan-phu-hxh-luy-ban-bich-nha-dep-smarthome-3-tang-btct-nhinh-4-ty-r285073	31	4	3	na	"- Vị trí trung tâm gần đường Thoại Ngọc Hầu, Hòa Bình, Nguyễn Sơn... thuận tiện di chuyển qua Q11, TÂN BÌNH...
- Kết cấu 3 tầng gồm 1 trệt, 2 lầu với 4PN, 3WC, ban công rộng rãi , thiết kế thoáng mát, hiện đại , trang thiết bị nội thất đầy đủ
- Diện tích 31m2 ( 3.1 *10.4m)
- Nhà hệ thống smarthome+camera+ tự động điều khiển từ xa.Đặc biệt: gia chủ tặng full nội thất.
- sổ vuông A4 , chủ thiện chí bán.
- giá : 4.69 tỷ ( thương lượng tốt )
☎️ Liên hệ Trang 0899.892121xem nhà trực tiếp!"
8	Bán nhà Hà Đông, khu vực yên tĩnh, phân lô cán bộ, ô tô tránh đỗ, 36m2, 6,5 tỷ	6.5 tỷ	https://batdongsan.vn/ban-nha-ha-dong-khu-vuc-yen-tinh-phan-lo-can-bo-o-to-tranh-do-36m2-65-ty-r285069	36	na	3	Cao Thắng Yết Kiêu Hà Đông	"+ Nhà bán nằm ở gần Vạn Phúc, ngõ thông, rộng rãi 2 ô tô tránh, dừng đỗ ngày đêm.
+ Khu phân lô cán bộ, hàng xóm toàn dân trí hiền lành, con cháu thành đạt giỏi giang.
+ Diện tích 36m2, nhà 4 tầng tự xây chắc chắn, thiết kế hiện đại.
+ Xung quanh gần Bệnh Viện Đa Khoa Hà Đông, Bưu Điện Hà Đông, Tiểu Học Yết Kiêu, hồ Đầm Khê,...
+ Chủ nhà cô Hương cán bộ giáo viên về hưu, nay bán đi ra biệt thự trông cháu.
+ Giá 6,5 tỷ ( có thương lượng với khách thiện chí)
+ Sổ đỏ phân lô, vuông đẹp.
+ Liên hệ E Quân Nhà Đẹp 0934503893 xem nhà ngay."
9	Cần bán gấp nhà 1 trệt 2 lầu 80m2 5x16, đường 30m, sổ hồng hoàn công, giá chỉ 8 tỷ 3 Thương lượng, Lh: 0388668882 gặp Tâm ( zalo )	8.3 tỷ	https://batdongsan.vn/can-ban-gap-nha-1-tret-2-lau-80m2-5x16-duong-30m-so-hong-hoan-cong-gia-chi-8-ty-3-thuong-luong-lh-0388668882-gap-tam-zalo-r285066	80	4	5	Đường Trường Lưu, Phường Long Trường, Q9	"Cần bán gấp, giảm giá mạnh 10 tỷ nay giảm còn 8,3 tỷ TL mạnh
Bán nhà mặt tiền đường 30m
Nằm trong quần thể khu dân cư Centana Điền Phúc Thành, Long Trường, Quận 9. Đối diện Sông là chung cư MT EasmarkCity đang xây dựng.
- Diện tích: 80m2 (5x16) - Hướng Đông.
- Kiến trúc: 1 trệt 2 lầu, 1 tum.
- Công năng: 1 phòng khách, 1 phòng bếp, 4PN, 5WC... Thiết kế hiện đại, sạch sẽ thoáng mát.
Địa chỉ: Đường Trường Lưu, Phường Long TRường, Q9
LH: 0388668882 gặp Tâm ( zalo ) xem nhà"
10	bán nhà ở và kinh doanh thuận tiện	1.9 tỷ	https://batdongsan.vn/ban-nha-o-va-kinh-doanh-thuan-tien-r285064	150	3	3	đường chánh phú hòa tx bến cát bình dương	"Bán nhà 1 trệt 1 lầu và 3 căn phòng trọ ngay trung tâm Mỹ Phước 3, Bến Cát Bình Dương.
- Ngay đường NE4 Phường Chánh Phú Hòa, Bến Cát Tp Bình Dương.
- Vị trí như trên hình, vừa đất, vừa nhà mà giá chỉ từ: 1,9 tỷ/căn, bao gồm:
- Đất full thổ cư: 5x30 + Nhà (1 trệt 1 lầu hoàn thiện) + 3 phòng trọ đúc tấm đẹp, được xây dựng tự do + Gói cho thuê mỗi năm thu về 100 triệu đồng.
- Bao giá tốt nhất toàn thị trường luôn.
- Đường 16m và Quy hoạch 2 mặt tiền.
- Đã có sổ, cọc là công chứng ngay.
- Đất trung tâm phường, đối diện khu công nghiệp Mỹ Phước 3, cách bến xe miền Đông Bình Thạnh chưa tới 40Km.
- Vị trí sầm uất, trung tâm, ngay bên cạnh và đối diện là: Khu nhà phố, biệt thự, tiệm vàng, cafe, cửa hàng xe, chợ, nhà hàng, khu công nghiệp.
- Liên Hệ: 0394054892 ( Đoàn Đầu Đất)"
11	Đất đẹp mặt tiền kinh doanh Bùi Tá Hán Q2, 14.5tỷ, ĐB, sổ vuông, tiện ích đầy đủ	14.5 tỷ	https://batdongsan.vn/dat-dep-mat-tien-kinh-doanh-bui-ta-han-q2-145ty-db-so-vuong-tien-ich-day-du-r285063	71	na	na	Quận 2, Hồ Chí Minh	"Địa chỉ : mặt tiền Bùi Tá Hán, An Phú, Q2
Diện tích: 4x17,8m = 71,5m2 (CN)
Kết cấu: Đất trống tiện xây. Khu vực xây trệt, 2 lầu, Sân thượng
Hướng: ĐB
Pháp lý : SHCC
Giá chào bán: 14,5 tỷ
Thông qua Cao Đức Lân, Nguyễn Hoàng nên thuận tiện di chuyển tất cả các quận
LH Tâm 0815813400 để xem vị trí"
12	BÁN NHÀ PHỐ LÊ TRỌNG TẤN 68M - 04 TẦNG - MT 6.7M - NGÕ THÔNG Ô TÔ - DÒNG TIỀN 360TR. LH: 0393838449	10.5 tỷ	https://batdongsan.vn/ban-nha-pho-le-trong-tan-68m-04-tang-mt-67m-ngo-thong-o-to-dong-tien-360tr-lh-0393838449-r285062	67	na	na	na	"+ Chủ nhà cần bán gấp nhà phố Lê Trọng Tấn -tt quận Thanh Xuân 67m - 04 tầng - mặt tiền 6m -ngõ ô tô thông - dòng tiền 360 triệu.

+ Trung tâm quận Thanh Xuân gần các tuyến phố lớn: Vương Thừa Vũ,Trường Chinh, Tôn Thất Tùng, Hoàng Văn Thái, Giải Phóng vài bước ra mặt phố 6 làn ô tô vỉa hè 5m.

+ Ngõ ô tô to đẹp, ô tô chạy vòng quanh, trước nhà rộng rãi, sáng thoáng, an sinh tuyệt vời vài phút ra chợ.

+ Nhà gần Bệnh viện Đại học Y, Bệnh Viện Bạch Mai. Gần ĐH Y HN, Đại học Thủy Lơi, Học Viện Ngân Hàng, ĐH Kinh Tế quốc dân, ĐH Xây Dựng, ĐH Bách Khoa, ĐH Quốc Gia.

+ Nhà chủ xây cẩn thận, khung cột chắc chắn, chia thành 02 nhà riêng biệt mỗi nhà 35m tầng 04 đang. Mỗi nhà 3 ngủ đủ công năng. Hiện đang cho 02 hộ gia đình thuê lâu dài.
+ Sổ đỏ chính chủ, sẵn sàng giao dịch.

+ Giá chào: 10 tỷ 5 (có thương lượng).

Liên hệ: Mr. Thái Sơn chuyên nhà đẹp Thanh Xuân-Đống Đa
Để được xem nhà và tư vấn miễn phí 24/7

Gọi ngay: 0393838449 (Zalo)"
13	BÁN NHÀ PHỐ CHÙA BỘC 48M - 04 TẦNG - NGÕ Ô TÔ - 04 NGỦ Ở NGAY. LH: 0393838449	6 tỷ	https://batdongsan.vn/ban-nha-pho-chua-boc-48m-04-tang-ngo-o-to-04-ngu-o-ngay-lh-0393838449-r285061	48	na	na	na	"+ Chủ nhà cần bán gấp nhà phố -tt quận Đống Đa 67m - 04 tầng - mặt tiền 6.7m -ngõ ô tô vài bước ra phố.

+ Trung tâm quận Đống Đa gần các tuyến phố lớn: Tây Sơn, Tôn Thất Tùng, Phạm Ngọc Thạch, Thái Hà vài bước ra vành đai 2.

+ Ngõ ô tô to đẹp, trước nhà rộng rãi, sáng thoáng, an sinh tuyệt vời vài phút ra chợ.

+ Nhà gần Bệnh viện Đại học Y, Bệnh Viện Bạch Mai. Gần ĐH Y HN, Đại học Thủy Lơi, Học Viện Ngân Hàng, ĐH Kinh Tế quốc dân, ĐH Xây Dựng, ĐH Bách Khoa, ĐH Quốc Gia.

+ Nhà chủ xây cẩn thận, khung cột chắc chắn, 4 tầng 4 ngủ đủ công năng.
+ Sổ đỏ chính chủ, sẵn sàng giao dịch.

+ Giá chào: 6 tỷ (có thương lượng).

Liên hệ: Mr. Thái Sơn chuyên nhà đẹp Thanh Xuân-Đống Đa
Để được xem nhà và tư vấn miễn phí 24/7

Gọi ngay: 0393838449 (Zalo)"
14	Bán nhà đẹp 3 lầu mặt tiền Đường số gần đường Phạm Hùng P.4 Quận 8	15.2 tỷ	https://batdongsan.vn/ban-nha-dep-3-lau-mat-tien-duong-so-gan-duong-pham-hung-p4-quan-8-r285059	75	na	na	na	"Bán nhà đẹp 3 lầu mặt tiền Đường số gần đường Phạm Hùng P.4 Quận 8
+ Diện tích: 5 x 15m
+ Hiện trạng: Nhà còn mới, xây dựng BTCT kiên cố, gồm 3 lầu, sân thượng trước + sau, 5PN, 6WC, bếp, đầy đủ tiện nghi.
+ Vị trí: Đẹp, đường nhựa trước nhà 12m, vỉa hè 3m, cách mặt tiền đường Phạm Hùng chỉ vài bước chân, gần cầu Chánh Hưng, thông ra khu dân cư Cao Lỗ, xe cộ ra vào nhộn nhịp, tiện lưu thông qua các tuyến đường và các Quận lân cận.
+ Thuận lợi: Dân trí cao, an ninh tốt, xung quanh nơi ở kinh doanh nhộn nhịp, thích hợp vừa ở vừa phát triển đa ngành, đầy đủ các nhu cầu thiết yếu, đáp ứng cho cuộc sống hiện đại.
+ Hướng Đông Nam
+ Sổ hồng hoàn công
+ Giá: 15.2 Tỷ (T/L)
Liên hệ: 0933 862 860 Ms Sương
Tư vấn pháp lý & xem nhà miễn phí
Hỗ trợ vay ngân hàng 80% giá trị nhà
Nhận ký gửi cho thuê nhà đất các Quận TP.HCM"
15	Bán gấp gấp	Thỏa thuận	https://batdongsan.vn/ban-gap-gap-r285058	na	4	4	na	"Do không có nhu cầu ở nữa nên cần bán gấp
Giá cả còn thương lượng cho anh chị nào có thiện chí mua ở"
