Title	Price	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description	Chỗ để xe hơi	Đang cho thuê	CSVC xung quanh	Vấn đề pháp lý, sổ đỏ	ExtractedTitle	Address1	Address2	lat1	lon1	lat2	lon2
Bán nhà đẹp 4 tầng Bùi Tá Hán, An Phú, Q2 4x20m 15.8 tỷ, không lỗi phong thuỷ	6.5	80.0	4.0	4.0	Quận 2, Hồ Chí Minh	"- Bán nhà mặt tiền Bùi Tá Hán, An Phú, Q2
- DT 4mx20m
- Giá 15.8 tỷ bớt lộc
- Vị trí gần công viên Cao Đức Lân, tiện di chuyển, thích hợp làm văn phòng hay ở
- Kết cấu 1 trệt, 2 lầu, Sân thượng
- Đường trước nhà 10m có vỉa hè
- LH Tâm 0815813400 để xem nhà. UY TÍN"	False	False	True	0	Bùi Tá Hán, An Phú, Quận 2	Quận 2, Hồ Chí Minh	Bùi Tá Hán, An Phú, Quận 2	107.935.216	1.067.308.195	107.942.636	1.067.448.532
(VH25) BÁN NHÀ 3 TẦNG MẶT TIỀN ĐƯỜNG 19/5 KHU ĐÔ THỊ VĨNH ĐIỀM TRUNG	15.8	138.0	5.0	6.0	ĐƯỜNG 19 THÁNG 5, KHU ĐÔ THỊ VĨNH ĐIỀM TRUNG, NHA TRANG	"(VH25) BÁN NHÀ 3 TẦNG MẶT TIỀN ĐƯỜNG 19/5 KHU ĐÔ THỊ VĨNH ĐIỀM TRUNG
- Diện tích 138m2 full ONT
- Ngang 6m. Hướng Tây Nam
- Đường trước nhà rộng 30m
- Pháp Lý sổ hồng hoàn công
- Kết cấu 1 trệt 2 lầu với 5pn, 6wc, bếp, p.khách, tầng trệt decor sẵn kinh doanh cà phê, p.thờ, sân phơi,...
- Trong bán kính 500m có đầy đủ tiện ích như bệnh viện đa khoa - trường Quốc Tế - siêu thị Big C Go - Nhà hàng và quán cà phê,...
- Thích hợp vừa ở vừa kinh doanh, đầu tư cho thuê, làm trung tâm dạy học - Anh Ngữ, làm phòng khám chuyên khoa, làm spa - beauty cao cấp,....
=>> Giá bán 9.2 tỷ. Thuế bên nào bên đó chịu
=>> LH 0935785259 - 0705017559"	False	False	True	0	đường 19/5, khu đô thị Vĩnh Điềm Trung	ĐƯỜNG 19 THÁNG 5, KHU ĐÔ THỊ VĨNH ĐIỀM TRUNG, NHA TRANG	đường 19/5, khu đô thị Vĩnh Điềm Trung	122.576.892	1.091.689.382	122.575.391	1.091.668.221
(VH25) BÁN NHÀ 3 TẦNG MẶT TIỀN ĐƯỜNG 19/5 KHU ĐÔ THỊ VĨNH ĐIỀM TRUNG	9.2	138.0	5.0	6.0	ĐƯỜNG 19 THÁNG 5, KHU ĐÔ THỊ VĨNH ĐIỀM TRUNG, NHA TRANG	"(VH25) BÁN NHÀ 3 TẦNG MẶT TIỀN ĐƯỜNG 19/5 KHU ĐÔ THỊ VĨNH ĐIỀM TRUNG
- Diện tích 138m2 full ONT
- Ngang 6m. Hướng Tây Nam
- Đường trước nhà rộng 30m
- Pháp Lý sổ hồng hoàn công
- Kết cấu 1 trệt 2 lầu với 5pn, 6wc, bếp, p.khách, tầng trệt decor sẵn kinh doanh cà phê, p.thờ, sân phơi,...
- Trong bán kính 500m có đầy đủ tiện ích như bệnh viện đa khoa - trường Quốc Tế - siêu thị Big C Go - Nhà hàng và quán cà phê,...
- Thích hợp vừa ở vừa kinh doanh, đầu tư cho thuê, làm trung tâm dạy học - Anh Ngữ, làm phòng khám chuyên khoa, làm spa - beauty cao cấp,....
=>> Giá bán 9.2 tỷ. Thuế bên nào bên đó chịu
=>> LH 0935785259 - 0705017559"	True	False	True	0	đường 19/5, Khu Đô Thị Vĩnh Điềm Trung	ĐƯỜNG 19 THÁNG 5, KHU ĐÔ THỊ VĨNH ĐIỀM TRUNG, NHA TRANG	đường 19/5, Khu Đô Thị Vĩnh Điềm Trung	122.576.892	1.091.689.382	122.575.391	1.091.668.221
HXH-NGUYỄN HỮU TIẾN, TÂN PHÚ-57M2 ngang 4.1m- 4 tầng-6.1 tỷ (TL)	9.2	57.0	4.0	3.0		"- Vị trí trung tâm Tân Phú gần trường Đại học Công Nghệ
- Kết cấu 4 tầng gồm 1 trệt, 2 lầu, sân thượng với 4PN, 3WC, ban công rộng rãi , thiết kế thoáng mát.
- Diện tích 57m2 ( 4.1 *14m)
- Đặc biệt: gia chủ tặng một số nội thất cho khách thiện chí.
- sổ vuông A4 , chủ thiện chí bán.
- giá : 6.1 tỷ ( thương lượng tốt )
☎️ Liên hệ Trang 0899.892121xem nhà trực tiếp!"	False	True	True	0	Nguyễn Hữu Tiến, Quận Tân Phú	Nguyễn Hữu Tiến, Quận Tân Phú	Nguyễn Hữu Tiến, Quận Tân Phú	108.100.714	1.066.256.809	108.100.714	1.066.256.809
Bán nhà kế Phạm Văn Hai Phường 6 Tân Bình, 55m2, 3 Tầng, Ô tô gần giá 5 tỷ nhỏ	6.1	55.0				"KẾ PHẠM VĂN HAI PHƯỜNG 6 TÂN BÌNH - DT TO 55M2 - KẾT CẤU 3 TẦNG ĐÚC - VÀI BƯỚC RA HẺM Ô TÔ - SỔ ĐẸP GẤP BÁN - CÓ 5 TỶ NHỎ
+ Vị trí giao thông thuận tiện tương lai tuyến Mettro đi qua, chợ vải Tân Bình, Quận 10 Quận 3 Quận 1 kế
bên. Khu vực dân trí cao an ninh, gần công viên Lê Thị Riêng, trường học uỷ ba nhân dân các cấp"	False	False	True	0	Phạm Văn Hai, Phường 6, Quận Tân Bình	Phạm Văn Hai, Phường 6, Quận Tân Bình	Phạm Văn Hai, Phường 6, Quận Tân Bình	107.945.549	1.066.632.715	107.945.549	1.066.632.715
Bán nhà gần Hồng Lạc Phường 8 Tân Bình, 35m2, Ô tô đậu, 4 TẦNG, giá rẻ	5.75	35.0				"GẦN HỒNG LẠC TÂN BÌNH - DT VUÔNG VẮN 35M2 - GẦN MẶT TIỀN Ô TÔ ĐẬU - 4 TẦNG ĐẸP NHỨT NÁCH - SỔ ĐẸP VUÔNG 90 ĐỘ - GIÁ RẺ
RẺ
+ Nhà mới kết cấu cứng, DT khủng, gần MẶt tiền ô tô đậu, vuông vắn, di chuyển trung tâm Tân Bình, gần chợ vải Tân Bình, 5 phút đi cư xá Bắc Hải, Lữ Gia, Phú Thọ"	False	False	True	0	Hồng Lạc, Phường 8, Quận Tân Bình	Hồng Lạc, Phường 8, Quận Tân Bình	Hồng Lạc, Phường 8, Quận Tân Bình	10.785.173	1.066.500.895	10.785.173	1.066.500.895
TÂN PHÚ-HXH LŨY BÁN BÍCH-NHÀ ĐẸP SMARTHOME-3 TẦNG BTCT- NHỈNH 4 TỶ ☘️	5.5	31.0	4.0	3.0		"- Vị trí trung tâm gần đường Thoại Ngọc Hầu, Hòa Bình, Nguyễn Sơn... thuận tiện di chuyển qua Q11, TÂN BÌNH...
- Kết cấu 3 tầng gồm 1 trệt, 2 lầu với 4PN, 3WC, ban công rộng rãi , thiết kế thoáng mát, hiện đại , trang thiết bị nội thất đầy đủ
- Diện tích 31m2 ( 3.1 *10.4m)
- Nhà hệ thống smarthome+camera+ tự động điều khiển từ xa.Đặc biệt: gia chủ tặng full nội thất.
- sổ vuông A4 , chủ thiện chí bán.
- giá : 4.69 tỷ ( thương lượng tốt )
☎️ Liên hệ Trang 0899.892121xem nhà trực tiếp!"	False	False	True	0	Vị trí trung tâm, gần đường Thoại Ngọc Hầu, Hòa Bình, Nguyễn Sơn	Vị trí trung tâm, gần đường Thoại Ngọc Hầu, Hòa Bình, Nguyễn Sơn	Vị trí trung tâm, gần đường Thoại Ngọc Hầu, Hòa Bình, Nguyễn Sơn	206.861.265	1.053.131.185	206.861.265	1.053.131.185
Bán nhà Hà Đông, khu vực yên tĩnh, phân lô cán bộ, ô tô tránh đỗ, 36m2, 6,5 tỷ	4.69	36.0		3.0	Cao Thắng Yết Kiêu Hà Đông	"+ Nhà bán nằm ở gần Vạn Phúc, ngõ thông, rộng rãi 2 ô tô tránh, dừng đỗ ngày đêm.
+ Khu phân lô cán bộ, hàng xóm toàn dân trí hiền lành, con cháu thành đạt giỏi giang.
+ Diện tích 36m2, nhà 4 tầng tự xây chắc chắn, thiết kế hiện đại.
+ Xung quanh gần Bệnh Viện Đa Khoa Hà Đông, Bưu Điện Hà Đông, Tiểu Học Yết Kiêu, hồ Đầm Khê,...
+ Chủ nhà cô Hương cán bộ giáo viên về hưu, nay bán đi ra biệt thự trông cháu.
+ Giá 6,5 tỷ ( có thương lượng với khách thiện chí)
+ Sổ đỏ phân lô, vuông đẹp.
+ Liên hệ E Quân Nhà Đẹp 0934503893 xem nhà ngay."	False	False	True	0	Khu vực gần Vạn Phúc, ngõ thông, Quận Hà Đông	Cao Thắng Yết Kiêu Hà Đông	Khu vực gần Vạn Phúc, ngõ thông, Quận Hà Đông	2.097.458	1.057.769.317	209.786.876	105.771.796
Cần bán gấp nhà 1 trệt 2 lầu 80m2 5x16, đường 30m, sổ hồng hoàn công, giá chỉ 8 tỷ 3 Thương lượng, Lh: 0388668882 gặp Tâm ( zalo )	6.5	80.0	4.0	5.0	Đường Trường Lưu, Phường Long Trường, Q9	"Cần bán gấp, giảm giá mạnh 10 tỷ nay giảm còn 8,3 tỷ TL mạnh
Bán nhà mặt tiền đường 30m
Nằm trong quần thể khu dân cư Centana Điền Phúc Thành, Long Trường, Quận 9. Đối diện Sông là chung cư MT EasmarkCity đang xây dựng.
- Diện tích: 80m2 (5x16) - Hướng Đông.
- Kiến trúc: 1 trệt 2 lầu, 1 tum.
- Công năng: 1 phòng khách, 1 phòng bếp, 4PN, 5WC... Thiết kế hiện đại, sạch sẽ thoáng mát.
Địa chỉ: Đường Trường Lưu, Phường Long TRường, Q9
LH: 0388668882 gặp Tâm ( zalo ) xem nhà"	False	True	True	0	đường Trường Lưu, Phường Long Trường, Quận 9	Đường Trường Lưu, Phường Long Trường, Q9	đường Trường Lưu, Phường Long Trường, Quận 9	108.014.423	1.068.218.814	108.014.423	1.068.218.814
bán nhà ở và kinh doanh thuận tiện	8.3	150.0	3.0	3.0	đường chánh phú hòa tx bến cát bình dương	"Bán nhà 1 trệt 1 lầu và 3 căn phòng trọ ngay trung tâm Mỹ Phước 3, Bến Cát Bình Dương.
- Ngay đường NE4 Phường Chánh Phú Hòa, Bến Cát Tp Bình Dương.
- Vị trí như trên hình, vừa đất, vừa nhà mà giá chỉ từ: 1,9 tỷ/căn, bao gồm:
- Đất full thổ cư: 5x30 + Nhà (1 trệt 1 lầu hoàn thiện) + 3 phòng trọ đúc tấm đẹp, được xây dựng tự do + Gói cho thuê mỗi năm thu về 100 triệu đồng.
- Bao giá tốt nhất toàn thị trường luôn.
- Đường 16m và Quy hoạch 2 mặt tiền.
- Đã có sổ, cọc là công chứng ngay.
- Đất trung tâm phường, đối diện khu công nghiệp Mỹ Phước 3, cách bến xe miền Đông Bình Thạnh chưa tới 40Km.
- Vị trí sầm uất, trung tâm, ngay bên cạnh và đối diện là: Khu nhà phố, biệt thự, tiệm vàng, cafe, cửa hàng xe, chợ, nhà hàng, khu công nghiệp.
- Liên Hệ: 0394054892 ( Đoàn Đầu Đất)"	False	False	True	0	NE4, Phường Chánh Phú Hòa, Bến Cát, Tp. Bình Dương	đường chánh phú hòa tx bến cát bình dương	NE4, Phường Chánh Phú Hòa, Bến Cát, Tp. Bình Dương	111.731.896	1.066.645.007	111.358.916	1.066.589.607
