	Address1	Latitude	Longitude
0	Quận 2, Hồ Chí Minh	107.935.216	1.067.308.195
1	ĐƯỜNG 19 THÁNG 5, KHU ĐÔ THỊ VĨNH ĐIỀM TRUNG, NHA TRANG	122.576.892	1.091.689.382
2	ĐƯỜNG 19 THÁNG 5, KHU ĐÔ THỊ VĨNH ĐIỀM TRUNG, NHA TRANG	122.576.892	1.091.689.382
3	Nguyễn Hữu Tiến, Quận Tân Phú	108.100.714	1.066.256.809
4	Phạm Văn Hai, Phường 6, Quận Tân Bình	107.945.549	1.066.632.715
5	Hồng Lạc, Phường 8, Quận Tân Bình	10.785.173	1.066.500.895
6	Vị trí trung tâm, gần đường Thoại Ngọc Hầu, Hòa Bình, Nguyễn Sơn	206.861.265	1.053.131.185
7	Cao Thắng Yết Kiêu Hà Đông	2.097.458	1.057.769.317
8	Đường Trường Lưu, Phường Long Trường, Q9	108.014.423	1.068.218.814
9	đường chánh phú hòa tx bến cát bình dương	111.731.896	1.066.645.007
10	Quận 2, Hồ Chí Minh	107.935.216	1.067.308.195
11	Lê Trọng Tấn, Quận Thanh Xuân	20.993.927	1.058.314.531
12	ô tô, Quận Đống Đa	210.100.908	1.058.264.782
13	Đường số, Phường 4, Quận 8	107.410.286	1.066.689.351
14	na		
15	ĐƯỜNG 2/4 - PHƯỜNG VẠN THẮNG - NHA TRANG	122.563.046	1.091.886.842
16	ĐƯỜNG HƯƠNG LỘ 45 - XÃ DIÊN PHÚ - DIÊN KHÁNH	12.266.857	1.091.231.046
17	Đường Hàn Thuyên, Phường Bình Thọ, Quận Thủ Đức, TP HCM	108.464.343	1.067.696.616
18	đường Tây Sơn, quận Đống Đa	210.082.189	1.058.237.382
19	Trường Chinh, Tây Thạnh, Tân Phú, Hồ Chí Minh, -Dự án-	108.147.398	1.066.322.462
20	Quận Hà Đông, Hà Nội	20.955.835	1.057.563.658
21	Quận Hà Đông, Hà Nội	20.955.835	1.057.563.658
22	Thuận An, Trâu Quỳ, Gia Lâm, Hà Nội	210.166.024	1.059.448.734
23	Mỗ Lao Hà Đông	209.833.749	1.057.835.348
24	Bùi Quang Là	108.351.606	1.066.394.244
