	Address1	Latitude	Longitude
0	Quận 2, Hồ Chí Minh	107935216.0	1067308195.0
1	ĐƯỜNG 19 THÁNG 5, KHU ĐÔ THỊ VĨNH ĐIỀM TRUNG, NHA TRANG	122576892.0	1091689382.0
2	ĐƯỜNG 19 THÁNG 5, KHU ĐÔ THỊ VĨNH ĐIỀM TRUNG, NHA TRANG	122576892.0	1091689382.0
3	Nguyễn Hữu Tiến, Quận Tân Phú	108100714.0	1066256809.0
4	Phạm Văn Hai, Phường 6, Quận Tân Bình	107945549.0	1066632715.0
5	Hồng Lạc, Phường 8, Quận Tân Bình	10785173.0	1066500895.0
6	Vị trí trung tâm, gần đường Thoại Ngọc Hầu, Hòa Bình, Nguyễn Sơn	206861265.0	1053131185.0
7	Cao Thắng Yết Kiêu Hà Đông	2097458.0	1057769317.0
8	Đường Trường Lưu, Phường Long Trường, Q9	108014423.0	1068218814.0
9	đường chánh phú hòa tx bến cát bình dương	111731896.0	1066645007.0
10	Quận 2, Hồ Chí Minh	107935216.0	1067308195.0
11	Lê Trọng Tấn, Quận Thanh Xuân	20993927.0	1058314531.0
12	ô tô, Quận Đống Đa	210100908.0	1058264782.0
13	Đường số, Phường 4, Quận 8	107410286.0	1066689351.0
14	na		
15	ĐƯỜNG 2/4 - PHƯỜNG VẠN THẮNG - NHA TRANG	122563046.0	1091886842.0
16	ĐƯỜNG HƯƠNG LỘ 45 - XÃ DIÊN PHÚ - DIÊN KHÁNH	12266857.0	1091231046.0
17	Đường Hàn Thuyên, Phường Bình Thọ, Quận Thủ Đức, TP HCM	108464343.0	1067696616.0
18	đường Tây Sơn, quận Đống Đa	210082189.0	1058237382.0
19	Trường Chinh, Tây Thạnh, Tân Phú, Hồ Chí Minh, -Dự án-	108147398.0	1066322462.0
20	Quận Hà Đông, Hà Nội	20955835.0	1057563658.0
21	Quận Hà Đông, Hà Nội	20955835.0	1057563658.0
22	Thuận An, Trâu Quỳ, Gia Lâm, Hà Nội	210166024.0	1059448734.0
23	Mỗ Lao Hà Đông	209833749.0	1057835348.0
24	Bùi Quang Là	108351606.0	1066394244.0
25	Đường Thanh Bình, Phường Mỗ Lao, Quận Hà Đông, Hà Nội, -Dự án-	209823818.0	1057780339.0
26	Tô Hiệu, Hà Đông	209675124.0	1057784606.0
27	Đường Hùng Vương A16		
28	Bờ Bao Tân Thắng, Sơn Kỳ, Tân Phú	108011535.0	1066183755.0
29	ngõ 3 phố Nhân Hòa, phường Nhân Chính, quận Thanh Xuân, Hà Nội	210017375.0	1058078058.0
30	Ngõ Trương Định, Quận ???	209937815.0	1058466875.0
31	Trần Phú, Ngô Quyền, Hải Phòng	208589455.0	1066871535.0
32	X. Thạnh Phú	99481665.0	10650538.0
33	ngõ Văn Chương, Quận Đống Đa	210206275.0	1058364076.0
34	Đường Nhựa 6m, Trường Sa, Phường 13, Quận Phú Nhuận	10788921.0	106669058.0
35	Cự Lộc,Thanh Xuân	210012554.0	1058137407.0
36	phường Trúng Dũng, Biên Hòa, Đồng Nai	109540772.0	1068207875.0
37	False		
38	Long Biên	210186765.0	105884813.0
39	VƯỜN LÀI	107881471.0	1066297747.0
40	Thành phố Hồ Chí Minh	108230989.0	1066296638.0
41	Ngõ 103	210003216.0	1058585064.0
42	Trịnh Đình Cửu, Quận Thanh Xuân	209959819.0	1058097244.0
43	Ngõ Tiến Bộ, Khâm Thiên Phố, Đống Đa	210193257.0	1058331018.0
44	Nguyễn Văn Khối	108429616.0	1066529357.0
45	con phố Láng Hạ	210168879.0	1058152669.0
46	đường Tỉnh Lộ 10, Phường Bình Trị Đông, Quận Bình Tân	107578769.0	1066144841.0
47	Quận 2, Hồ Chí Minh	107935216.0	1067308195.0
48	Quận Hà Đông, Hà Nội	20955835.0	1057563658.0
49	Đường số 16 Phường Hiệp Bình Chánh - TP.Thủ Đức	1083059.0	106730518.0
50	Lý Thánh Tông Hiệp Tân Tân Phú	107668763.0	1066274134.0
51	Thành phố Hồ Chí Minh	108230989.0	1066296638.0
52	Quang Trung		
53	Võng Thị, Bưởi, Tây Hồ, Hà Nội	210516835.0	1058112908.0
54	199		
55	Hương Lộ 2, Bình Trị Đông, Bình Tân	107695049.0	10661276.0
56	Đa Sỹ, Kiến Hưng, Hà Đông	209592584.0	1057857359.0
57	Vạn Phúc, Hà Đông	209786876.0	105771796.0
58	đường 19,5m, Phú Mỹ An, Huế	164626113.0	1076153514.0
59	đường Hoàng Như Tiếp, Long Biên	210405377.0	1058776934.0
60	Việt Hưng, Long Biên	210575538.0	1059024322.0
61	Nguyễn Lam, Chu Huy Mân, Mai Phúc, Long Biên	210400626.0	1058986779.0
62	Hồng Lạc, P.10, Tân Bình	107874845.0	1066470684.0
63	Phạm Văn Chiêu	108501221.0	1066524088.0
64	Đường Số 4		
65	Thành phố Hồ Chí Minh	108230989.0	1066296638.0
66	Lũy Bán Bích, Quận Tân Phú	107766943.0	1066341303.0
67	Thái Thịnh - Đống Đa	210104261.0	1058184682.0
68	Nhuệ Giang	209853911.0	1057784907.0
69	Mậu Lương	209584268.0	1057945406.0
70	phường Mễ Trì, Quận Nam Từ Liêm,TP HÀ NỘI	210055267.0	1057791327.0
71	Trung tâm Vạn Phúc, Hà Đông	209786876.0	105771796.0
72	Huyện Hoàng Mai	192683318.0	1057161966.0
73	đường Lê Trọng Tấn	209818482.0	105742568.0
74	Biên Hòa	109574128.0	1068426871.0
75	Tô Hiệu, Lê Chân, Hải Phòng	208508055.0	1066789703.0
76	đường Vườn Lài, Quận Tân Phú	107881471.0	1066297747.0
77	Đường Tôn Đản	107580086.0	1067065435.0
78	thạnh phú	99481665.0	10650538.0
79	thạnh phú	99481665.0	10650538.0
80	Quang Châu, Hòa Châu, quận Hòa Vang, thành phố Đà Nẵng	15977101.0	1081977188.0
81	Nguyễn Thượng Hiền, Phường 1, Gò Vấp	10812763.0	1066852877.0
82	đường Ô Tô, Phường Tân Vạn	109117711.0	1068272458.0
83	Phố Thành Trung, Trâu Quỳ, Gia Lâm, Hà Nội	210082777.0	1059426744.0
84	Phố Thành Trung, Trâu Quỳ, Gia Lâm, Hà Nội	210082777.0	1059426744.0
85	đường Đỗ Văn Thi, Phường Hiệp Hòa	109378305.0	1068383495.0
86	mặt phố an mỹ 4		
87	Đường Số 28, Phường Hiệp Bình Chánh, Quận Thủ Đức, TP HCM	108383233.0	1067325977.0
88	trần văn dư	108077565.0	1066446375.0
89	Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội	209567104.0	1057936155.0
90	Lũy Bán Bích, Huỳnh Thiện Lộc, Quận Tân Phú	107806065.0	1066358081.0
91	Khu đô thị Vsip Từ Sơn, Bắc Ninh	210785932.0	1059684556.0
92	Lũy Bán Bích, Quận Tân Phú	107766943.0	1066341303.0
93	Âu Cơ Phú Trung Tân Phú	107796721.0	1066445135.0
94	Phùng Hưng Hà Đông	209691613.0	1057853182.0
95	27 Yên Bái, Hải Châu 1, Hải Châu, Đà Nẵng.	160692815.0	1082228666.0
96	Tân Cảng , Phường 25, Bình Thạnh	108019447.0	1067220247.0
97	Từ Liêm	210034608.0	1057703287.0
98	Thanh Bình, Mỗ Lao, Hà Đông, Hà Nội, -Dự án-	209823818.0	1057780339.0
99	Chiến Thắng Văn Quán Hà Đông	209791537.0	1057962032.0
100	Đường Số 8	10855732.0	1067718319.0
101	Đường Số 8	10855732.0	1067718319.0
102	Việt Hưng	21140921.0	1058789403.0
103	Thành phố Hồ Chí Minh	108230989.0	1066296638.0
104	tăng nhơn phú , tp. thủ đức	108409534.0	10679719.0
105	Ngõ Nguyễn Chí Thanh, Quận...	210225595.0	1058096452.0
106	Lê Duẩn, Đà Nẵng	160705644.0	1082150839.0
107	Ngõ Nguyễn Chí Thanh	210225595.0	1058096452.0
108	Tân Mai	20983687.0	105848156.0
109	Đường Ngô Thì Hương, Sơn Trà, Đà Nẵng	160967584.0	1082328533.0
110	Thành phố Hồ Chí Minh	108230989.0	1066296638.0
111	Thành phố Hồ Chí Minh	108230989.0	1066296638.0
112	HT 26 - phường Hiệp Thành - quận 12	108759787.0	1066280646.0
113	Đường Số 8	10855732.0	1067718319.0
114	935/20/....		
115	Đường Hoàng SÂM, Cầu Giấy, HÀ NỘI	210432351.0	105799352.0
116	Đường Hoàng SÂM, Cầu Giấy, HÀ NỘI	210432351.0	105799352.0
117	Gò Dầu Tân Quý Tân Phú	107957389.0	1066212329.0
118	Chu Văn An		
119	đường Nguyễn Hữu Cảnh, Tân Uyên, Bình Dương	110696512.0	1067792497.0
120	Dường Dương Quảng Hàm, Phường 5, Quận Gò Vấp	108283702.0	1066897365.0
121	phố Huỳnh Thúc Kháng, Quận Đống Đa	210199666.0	1058081833.0
122	Lê Quang Định, Bạch Đằng, Chu Văn An	108026896.0	1066985516.0
123	Biên Hòa	109574128.0	1068426871.0
124	Nguyễn Hữu Cảnh		
125	Đường Nguyễn Hữu Cảnh Phường Uyên Hưng TP Tân Uyên Bình Dương	110696512.0	1067792497.0
126	Đường Số 24, Phường Linh Đông, Quận Thủ Đức, TP HCM	10850931.0	1067427323.0
127	đường Lê Văn Sỹ, Phường 13, Quận Phú Nhuận	107908574.0	1066728765.0
128	Trần Văn Quang P10 Tân Bình	10779581.0	1066471074.0
129	Trần Duy Hưng, Cầu Giấy	210106758.0	1057995616.0
130	đường Hoàng Hoa Thám, Phường 6, Quận Bình Thạnh	10807912.0	1066888124.0
131	Bàu Cát, Quận Tân Bình	107918013.0	1066439464.0
132	Đường Số 8	10855732.0	1067718319.0
133	Nguyễn Đức Cảnh, Lê Chân, Hải Phòng	208503454.0	1066659534.0
134	Nguyễn Đức Cảnh, Lê Chân, Hải Phòng	208503454.0	1066659534.0
135	đường Bạch Đằng, Hai Bà Trưng	21015357.0	1058652385.0
136	Hồ Sen, Lê Chân, Hải Phòng	208432426.0	1066821165.0
137	Vũng Tàu	104113797.0	107136224.0
138	Trung Tả, Đống Đa	210201416.0	1058344244.0
139	Phan Văn Trị, Phường 10, Quận Gò Vấp	108327364.0	1066724769.0
140	Phan Văn Trị, Phường 11, Quận Bình Thạnh	108159197.0	1066952001.0
141	đường Giáng Hương, dãy nhà phố Dah2, phân khu Dahlia, khu đô thị Ecogarden		
142	Phường Văn Quán, Quận Hà Đông, Hà Nội	209796446.0	1057923394.0
143	Đường bình chiểu.phường bình chiểu.TP thủ đức	108745911.0	1067340561.0
144	Tân Hòa 2, Hiệp Phú , Tp. Thủ Đức	10851896.0	106784689.0
145	Nguyễn Văn Cừ		
146	quận 3	107843695.0	1066844089.0
147	Ngõ vào Định Công Thượng	209826822.0	1058209967.0
148	Bưng Ông Thoàn , tăng nhơn phú , tp. thủ đức	108124272.0	1067974687.0
149	Bùi Hữu Nghĩa, Bình Thạnh, Tp Hồ Chí Minh	107975726.0	1066988153.0
150	Tam Trinh	20980702.0	1058644411.0
151	Ngân - thổ cư Đống Đa hà nội	210180725.0	1058299495.0
152	đàm quang trung long biên	210239608.0	1058947852.0
153	Đàm Quang, Trung Long Biên	210239608.0	1058947852.0
154	đội Cấn, quận Ba Đình	210353362.0	1058238927.0
155	trung tâm Hà Nội	210277644.0	1058341598.0
156	ECOGARDEN		
157	Khuôn Việt, Phú Trung, Tân Phú	107760186.0	1066393366.0
158	98/18		
159	Phùng Chí Kiên		
160	Biên Hòa	109574128.0	1068426871.0
161	Ngân - thổ cư Đống Đa hà nội	210180725.0	1058299495.0
162	Thành phố Hồ Chí Minh	108230989.0	1066296638.0
163	đường Phan Chu Trinh, Phường Quang Vinh	10949032.0	1068157544.0
164	đường P. Tân Phong, Quận ??	107221275.0	1067145038.0
165	Phạm Văn Đồng, Phường 11, Quận Bình Thạnh	108204226.0	1066942397.0
166	đường Nguyễn Sơn, đường Nguyễn Văn Cừ, phường Gia Thuỵ, quận Long Biên	210467846.0	1058782157.0
167	Khu vực Nguyễn Sơn-Gia Thuỵ	210455138.0	1058808854.0
