Unnamed: 0	Address2	Latitude	Longitude
0	Bùi Tá Hán, An Phú, Quận 2	107.942.636	1.067.448.532
1	đường 19/5, khu đô thị Vĩnh Điềm Trung	122.575.391	1.091.668.221
2	đường 19/5, Khu Đô Thị Vĩnh Điềm Trung	122.575.391	1.091.668.221
3	Nguyễn Hữu Tiến, Quận Tân Phú	108.100.714	1.066.256.809
4	Phạm Văn Hai, Phường 6, Quận Tân Bình	107.945.549	1.066.632.715
5	Hồng Lạc, Phường 8, Quận Tân Bình	10.785.173	1.066.500.895
6	Vị trí trung tâm, gần đường Thoại Ngọc Hầu, Hòa Bình, Nguyễn Sơn	206.861.265	1.053.131.185
7	Khu vực gần Vạn Phúc, ngõ thông, Quận Hà Đông	209.786.876	105.771.796
8	đường Trường Lưu, Phường Long Trường, Quận 9	108.014.423	1.068.218.814
9	NE4, Phường Chánh Phú Hòa, Bến Cát, Tp. Bình Dương	111.358.916	1.066.589.607
10	mặt tiền Bùi Tá Hán, An Phú, Quận 2	107.942.636	1.067.448.532
11	Lê Trọng Tấn, Quận Thanh Xuân	20.993.927	1.058.314.531
12	ô tô, Quận Đống Đa	210.100.908	1.058.264.782
13	Đường số, Phường 4, Quận 8	107.410.286	1.066.689.351
14	na		
15	đường 2/4, Vạn Thạnh	122.563.046	1.091.886.842
16	Hương Lộ 45, Xã Diên Phú	12.266.857	1.091.231.046
17	Phường Bình Thọ, Tp. Thủ Đức	108.467.644	1.067.662.221
18	đường Tây Sơn, quận Đống Đa	210.082.189	1.058.237.382
19	trung tâm quận Tân Phú, trên mặt đường Trường Chinh	108.092.835	1.066.342.841
20	Yên Nghia, Hà Đông	209.540.586	1.057.409.852
21	đường Văn Khê, Hà Đông	209.534.707	1.057.756.791
22	Thuận An, Trâu Quỳ, Huyện Gia Lâm, Stadt	210.166.024	1.059.448.734
23	ngõ ô tránh, Mỗ Lao, Hà Đông	209.796.434	1.057.788.154
24	đường Bùi Quang Là, Phường 12, Quận Gò Vấp	108.351.606	1.066.394.244
25	phố Trần Phú, khu vực Mộ Lao, Quận Thanh Bình	210.314.221	1.058.370.899
26	đường Tô Hiệu, phường ?, quận Hà Đông	209.675.124	1.057.784.606
27	TT Phước Bửu, Vũng Tàu	104.113.797	107.136.224
28	đối diện Aeon Tân Phú, Quận ...	107.900.517	1.066.281.901
29	ngõ 3 phố Nhân Hòa, phường Nhân Chính, quận Thanh Xuân, Hà Nội	210.017.375	1.058.078.058
30	Ngõ Trương Định, Quận ???	209.937.815	1.058.466.875
31	đường Trần Phú, Ngô Quyền, Hải Phòng	208.624.964	1.066.899.532
32	X. Thạnh Phú	99.481.665	10.650.538
33	ngõ Văn Chương, Quận Đống Đa	210.206.275	1.058.364.076
34	Đường Nhựa 6m, Trường Sa, Phường 13, Quận Phú Nhuận	10.788.921	106.669.058
35	Nguyễn Trãi, Ngã Tư Sở, Phường	210.018.588	1.058.182.605
36	phường Trúng Dũng, Biên Hòa, Đồng Nai	109.540.772	1.068.207.875
37	False		
38	Tổ 16, Phường Thạch Bàn, Quận Long Biên	210.216.695	1.059.141.793
39	Vườn Lài, Quận Tân Phú	107.881.471	1.066.297.747
