Title	Price	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description	Chỗ để xe hơi	Đang cho thuê	CSVC xung quanh	Vấn đề pháp lý, sổ đỏ	ExtractedTitle	Address1	Address2
Bán nhà THANH XUÂN, PHÂN LÔ, Ô TÔ ĐỖ CỬA, VÀO NHÀ, VÀI BƯỚC RA NGÃ TƯ SỞ, 45m2, Măt tiền 4,7m, giá Nhỉnh 6 tỷ	6	45	4.0	5.0		"""???? Bán nhà THANH XUÂN, PHÂN LÔ, Ô TÔ ĐỖ CỬA, VÀO NHÀ, VÀI BƯỚC RA NGÃ TƯ SỞ, 45m2, Măt tiền 4,7m, giá Nhỉnh 6 tỷ ????

???? Vị trí đẹp giao với các phố lớn Lê Trọng Tấn - Trường Chinh - Nguyễn Ngọc Nại, nhà cách mặt phố 50m, ngõ trải nhựa thẳng tắp Vip, toàn quan chức ở.
???? Nhà 4 tầng còn mới đẹp, thiết kế hợp lý chủ mới về chỉ việc ở.
???? Thiết kế:
-T1: Gara, khách, bếp, vệ sinh.
-T2: 1 phòng lớn, vệ sinh.
-T3: 2 phòng ngủ.
-T4: Sân phơi.
???? Sổ đỏ đẹp sẵn sàng giao dịch.
- LIÊN HỆ NGAY: 0868 388 861 Hải Trần - Nhà Phố Hà Nội
???? HỖ TRỢ TƯ VẤN XEM NHÀ MIỄN PHÍ 24/7 ????"""	False	False	True	False	phố Thanh Xuân, phân lô	phố Thanh Xuân, phân lô	phố Thanh Xuân, phân lô
Bán nhà gần Emart2, Đường Số 44 Phường 14 Gò Vấp, 45m2, 3 tầng, 4.5 tỷ	6	45	3.0	4.0	Đường Số 44	"MS 30123
* Vị trí: gần Emart 2 Gò Vấp. Thuận tiện di chuyển sang Tân Bình, Quận 11, v.v.
* Diện tích 45m2, 3 tầng BTCT gồm trệt lửng lầu với 3 phòng ngủ, 4 WC, phòng khách, bếp,..,
* Hẻm thông, hàng xóm thân thiện.
* Hình sổ vuông vức, hoàn công đủ"	False	True	True	False	đường Số 44, Phường 14, Quận Gò Vấp	Đường Số 44	đường Số 44, Phường 14, Quận Gò Vấp
NHÀ MỚI BÌNH TÂN OTO NGỦ GIÁP TÂN PHÚ 72M2, 4,X TỶ TL 0948362610	4.5	72			Lê Văn Quới, Bình Hưng Hòa A, Bình Tân	"NHÀ MỚI BÌNH TÂN OTO NGỦ CHÍNH CHỦ CHƯA QUA ĐẦU TƯ 72M2, 4,8 TỶ CÒN TL 0948362610
+ Ô tô ngủ nhà nhỉnh 55tr/m2, Khu đồng bộ Bình Hưng Hòa A, Bình Tân.
+ Vị trí gần chợ Lê Văn Quới, khu vực đồng bộ nhà cao tầng.
+ Giáp Tân Phú, Q11, hẻm lớn thuận tiện di chuyển.
+ DT 72m2 vuông vức 1 trệt 1 lầu 2 PN, 2 WC, nhà chủ tự xây trang trí hiện đại.
+ Đường xe hơi vào nhà, hẻm 1 sẹc sát mặt tiền.
+ Hàng xóm thân thiện, khu vực an ninh, tiện ích bao quanh.
+ Sổ hồng pháp lý chuẩn, giao dịch nhanh gọn."	False	False	True	False	đường..., khu vực...	Lê Văn Quới, Bình Hưng Hòa A, Bình Tân	đường..., khu vực...
Bán nhà riêng chính chủ 90m2 khu phố Tây Nha Trang	4.8	90	1.0	1.0	120/73 Nguyễn Thiện Thuật	Nhà hẻm 2 mặt tiền - hẻm ô tô khu phố Tây sầm uất, gần biển, gần các dịch vụ phục vụ khách du lịch. Diện tích trên sổ 90 m2, diện tích thực tế 100m2. Thiện chí bán.	False	False	True	False	khu phố Tây, Nha Trang	120/73 Nguyễn Thiện Thuật	khu phố Tây, Nha Trang
Duy nhất 1 căn hơn75m2 Nguyễn Văn Bảo giá 4tỷ8 gần Trường Đại học Công nghiệp TP.HCM	10.19	75			nguyễn văn bảo gò vấp	"Nhà chủ hẻm Nguyễn Văn Bảo.P4.Gò Vấp , 1 trệt ,2 lầu, 4PN, 2 toilet, 1 phòng quần áo.
DT (5x15m) = 75m2
Hẻm oto 6m, Gần Trường Đại học Công nghiệp TP.HCM
Nhà mới xây sửa lại gần 1tỷ, nhà được thiết kế nhà thông minh, điều khiển trên điện thoại tất cả mọi chức năng.
Nhà ở lâu năm chính chủ, có thể vào ở ngay hoặc cho thuê lại..!
Miễn tiếp môi giới!
Giá 4tỷ8 thương lượng cho khách thiện chí!
Hẹn trước khi đến xem nhà 1 ngày để sắp xếp vì đi làm."	False	False	True	False	Nguyễn Văn Bảo, Phường 4, Quận Gò Vấp	nguyễn văn bảo gò vấp	Nguyễn Văn Bảo, Phường 4, Quận Gò Vấp
Duy nhất 1 căn hơn75m2 Nguyễn Văn Bảo giá 4tỷ8 gần Trường Đại học Công nghiệp TP.HCM	4.8	75			nguyễn văn bảo gò vấp	"Nhà chủ hẻm Nguyễn Văn Bảo.P4.Gò Vấp , 1 trệt ,2 lầu, 4PN, 2 toilet, 1 phòng quần áo.
DT (5x15m) = 75m2
Hẻm oto 6m, Gần Trường Đại học Công nghiệp TP.HCM
Nhà mới xây sửa lại gần 1tỷ, nhà được thiết kế nhà thông minh, điều khiển trên điện thoại tất cả mọi chức năng.
Nhà ở lâu năm chính chủ, có thể vào ở ngay hoặc cho thuê lại..!
Miễn tiếp môi giới!
Giá 4tỷ8 thương lượng cho khách thiện chí!
Hẹn trước khi đến xem nhà 1 ngày để sắp xếp vì đi làm."	False	False	True	False	hẻm Nguyễn Văn Bảo, Phường 4, Quận Gò Vấp	nguyễn văn bảo gò vấp	hẻm Nguyễn Văn Bảo, Phường 4, Quận Gò Vấp
NHÀ MỚI THANH LÂN, GẦN PHỐ, NGÕ RỘNG, 31M2, 5 TẦNG, GIÁ 3,35 TỶ	4.8	31	5.0	4.0		"NHÀ MỚI THANH LÂN, GẦN PHỐ, NGÕ RỘNG, 31M2, 5 TẦNG, GIÁ 3,35 TỶ
TUYẾN CHÍNH KHU VỰC DƯỚI - NHÀ MỚI CỨNG - BA GÁC ĐỖ CỬA- BÃI GỬI OTO GẦN NHÀ
Mô tả:
+ PHỐ Thanh Lân Thông sang phố Nam Dư – Ngũ Nhạc, Thanh Đàm
+ Nhà nằm trong khu vực dân cư đông đúc, di chuyển tiện lợi.
+ Tiện ích xung quanh nhà không thiếu thứ gì, đi bộ đi chợ, gần trường các cấp 1 2 3, trường đại học KTKT, đại học Kinh doanh công nghệ,.
+ Thiết kế:
- Tầng 1: Phòng khách, phòng bếp.
- Tầng 2,3: Phòng ngủ rộng rãi thoáng mát, nhà vệ sinh, thiết kế sẵn cả khu vực làm phòng công năng hoặc làm kho.
- Tầng 4: Phòng ngủ, WC, Phòng thờ.
- Tầng 5: 2 tum phơi thoáng sáng, có sẵn khu vực để máy giặt.
+ Sổ đỏ nở hậu sẵn sàng giao dịch ngay.
Gía 3,35 tỷ có thương lượng
Liên Hệ Xem Nhà ngay : 0377796831 Em Ánh"	False	False	True	False	Phố Thanh Lân, Thanh Đàm	Phố Thanh Lân, Thanh Đàm	Phố Thanh Lân, Thanh Đàm
HẺM 5M THÔNG XE HƠI VÀO NHÀ - NHÀ MỚI ĐẸP Ở NGAY - CHỦ NGỘP KHÁCH VÀO LÀ CHỐT - NHỈNH 4 TỶ	33200000	35	2.0	3.0	Đường Cây Trâm, Phường 8, Quận Gò Vấp, TP. HCM	"+ 3,5x10m nở hậu
+ Nhà mới đẹp ở ngay, trệt lầu gồm 2 PN, 3wc. Tặng hết nội thất có trong nhà.
+ Hẻm 5m thông, khu phân lô toàn nhà cao tầng. Dân trí cao, an ninh.
+ Gần công viên Làng Hoa, trường học các cấp, chợ...
+ Sổ gửi bank 2 tỷ, pháp lý chuẩn, chủ rất ngộp muốn bán nhanh."	False	True	True	False	 unclear	Đường Cây Trâm, Phường 8, Quận Gò Vấp, TP. HCM	 unclear
Bán nhà Nguyễn Văn Cừ, Long Biên, 55m x 5 tầng, MT 4m, 7 tỷ 3	4.6	55	5.0	4.0	Nguyễn Văn Cừ, Long Biên	"- Bán căn nhà tâm huyết trên đường Nguyễn Văn Cừ, phường Bồ Đề, Long Biên. Nhà nằm ngay đầu Nguyễn Văn Cừ - Hồng Tiến, ngõ to ô tô thông, diện tích 55m, xây dựng tỉ mỉ 5 tầng, mặt tiền 4m vuông đẹp.
- Nhà nằm ngay gần ngã tư Nguyễn Văn Cừ, Hồng Tiến, khu vực giao thương buôn bán sầm uất. Ngõ vào nhà ô tô thông thoáng có thể đi các hướng khác nhau vào, nhà nằm cách vài bước chân là ra tới mặt đường Nguyễn Văn Cừ, đi lại thuận tiện các hướng thông thoáng như Hoàng Như Tiếp, Hồng Tiến, Ái Mộ.
- Nhà xây dựng cẩn thận theo không gian nhà phố tận dụng vừa ở vừa kinh doanh, thiết kế 5 tầng:
+ Tầng 1: Thông sàn, WC
+ Tầng 2: phòng khách, bếp, wc
+ Tầng 3, 4: mỗi tầng 2 phòng ngủ, wc
+ Tầng 5: phòng thờ, sân phơi.
- Sổ đỏ sẵn sàng giao dịch. Tặng lại nội thất cho khách thiện chí mua.
- LH: 0904.882258"	False	False	True	True	đường Nguyễn Văn Cừ,-phường Bồ Đề,Long Biên	Nguyễn Văn Cừ, Long Biên	đường Nguyễn Văn Cừ,-phường Bồ Đề,Long Biên
Bán nhà hẻm xe hơi thông Quang Trung P. 8 Gò Vấp - 58m2 - đúc thật BTCT - 3PN - nhỉnh 4 tỷ	7.3	58			Đường Quang Trung, Phường 8, Quận Gò Vấp, TP. HCM	"Nhà chính chủ hẻm xe hơi thông Quang Trung P. 8 Gò Vấp.

+ Diện tích 3.75 x 16m, nở hậu nhẹ.
Nhà trệt lầu BTCT với 3 phòng ngủ, 2 WC, có ban công, sân xe rộng.

+ Đường trước nhà 5m thông, xe hơi ngủ trong nhà. Cách mặt tiền Quang Trung tầm 50m.

+ Vị trí: Đối diện Mercedes Quang Trung, gần chợ Hạnh Thông Tây, CV Làng Hoa, gần các trường điểm của quận như Nguyễn Công Trứ, Vàng Anh, Lương Thế Vinh,... Ngân hàng, siêu thị, khu vui chơi,... Chỉ vài bước chân."	False	False	True	False	hẻm xe hơi thông Quang Trung, Phường 8, Quận Gò Vấp	Đường Quang Trung, Phường 8, Quận Gò Vấp, TP. HCM	hẻm xe hơi thông Quang Trung, Phường 8, Quận Gò Vấp
