Title	Price	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description	Chỗ để xe hơi	Đang cho thuê	CSVC xung quanh	Vấn đề pháp lý, sổ đỏ	ExtractedTitle	Address1	Address2
Nhà Mới Vào Ở Ngay - Ngang To 8m - 3pn	5.2	52	3.0	3.0		"???? NGANG KHỦNG 8M - NHÀ MỚI VÀO Ở NGAY
⛺️ Bán nhà Phan Văn Trị Phường 11 Quận Bình Thạnh
⛺️ Diện tích 8 x 7. CN 52m2
⛺️ Kết cấu 1 trệt 1 lầu (3pn 3wc)
⛺️ Ưu điểm nhà mới vào ở ngay. Cách HXH 30m. Phù hợp ở gia đình. Cách Chợ Bà Chiểu 500m. Gần Trục đường Phạm Văn Đồng 300m.
???????? Giá 5,2 tỷ TL
☎️☎️ Liên hệ Thanh Long 0938201000

( ⭐️ Chuyên dịch vụ Giấy tờ pháp lý thừa kế - hoàn công - đổi sổ - uy tín - nhanh gọn - hỗ trợ nhận làm hồ sơ khó quận Bình Thạnh - Phú Nhuận ⭐️)"	False	False	True	False	đường Phan Văn Trị, Phường 11, Quận Bình Thạnh	đường Phan Văn Trị, Phường 11, Quận Bình Thạnh	đường Phan Văn Trị, Phường 11, Quận Bình Thạnh
NHÀ BÀ ĐIỂM , HÓC MÔN CỰC THƠM, CỰC SỐC NHÀ ĐẸP, GIÁ CŨNG ĐẸP NHANH TAY KẺO MẤT	5.2	97	3.0	3.0	22.1B ấp Bắc Lân	"GIÁ RẺ , ĐƯỜNG NHỰA 12M = – Giá 5.8 tỷ
+ Với DT = 96,6m2 , Nhà 3 Tầng BTCT , Thiết Kế Hiện Đại , ĐC ; 22/1 Bắc Lân
+ Địa chỉ tuy là 1/ nhưng thực tế là mặt tiền đường Bắc Lân rộng 12m
+ Có vỉa hè, kinh doanh hay làm văn phòng công ty đề phù hợp.
+ Thông ra Nguyễn Thị Sóc, Phan Văn Hớn, Nguyễn Ảnh Thủ .... đi đâu cũng tiện.
+ Tiện ích xung quanh đầy đủ: Chợ Bà Điểm, chợ Đầu Mối , UBND xã Bà Điểm, Trường học các cấp....
+ Nhà 1 trệt 2 lầu, đầy đủ công năng cho gia đình đông người.
+ Khu vực an ninh, yên tĩnh, dân trí cao, hàng xóm thân thiện.
+ Sổ sách pháp lý đầy đủ. Công chứng trong ngày
+ Giá 5.8 tỷ thương lượng cho khách thiện chí. ( Xin không tiếp Môi Giới )
+ Mọi chi tiết xin Inbox @ Lê Phát Đạt hoặc liên hệ qua điện thoại
+ ĐẠT : 0903 041 732 hoặc Zalo : 0384 595 755"	False	False	True	False	đường Bắc Lân, thôn 22, xã Bà Điểm	22.1B ấp Bắc Lân	đường Bắc Lân, thôn 22, xã Bà Điểm
Bán nhà Văn Quán, Chủ đã thiện chí hơn, giảm chào 4 tỷ 5 còn 3 tỷ 6, nhà đẹp dân xây, 45m2	5.8	45			Đường 19/5, Phường Văn Quán, Quận Hà Đông, Hà Nội	"Nhà bán Văn Quán, Vị trí đắc địa, Không gian sống tuyệt với.
Nhà 45m2 xây 4 tầng, mặt tiền rộng. Cách nhà 30m ra đường ô Tô tránh, gần bãi gửi xe ô tô.
- Tầng 1: phòng khách, bếp, Wc.,
- Tầng 2,3: 4 ngủ rộng, Wc.,
- Tầng 4: Phòng thờ, sân phơi.,
Bãi đỗ ô tô cách nhà 30m.
* Giá: 3.6 tỷ (có thương lượng với khách thiện chí).
+ Liên hệ em Việt nhiệt tình, tận tâm để đi xem nhà ngay 0866408286"	False	False	True	False	Văn Quán	Đường 19/5, Phường Văn Quán, Quận Hà Đông, Hà Nội	Văn Quán
Nhà Tăng Nhơn Phú B,110m2, ô tô tận cửa, nhà MT tương lai,BĐS dòng tiền	3.6	110	5.0	5.0	Đình Phong Phú , Tăng Nhơn Phú B, Tp. Thủ Đức	"Nhà Tăng Nhơn Phú B,110m2, ô tô tận cửa, nhà MT tương lai,BĐS dòng tiền
Chủ cô Ngân cần bán gấp đi định cư , căn nhà thu nhập dòng tiền 8 tr tháng
Tăng Nhơn Phú B, Tp. Thủ Đức
Diện tích 5x 22m, gồm 5 phòng đang cho thuê nhà trọ
Đường tương lai mở rông 8m thông ra Lê Văn Việt
Chỉ 100m ra MT Dương Đình Hội , tiện ích đầy đủ
Nhà cao ráo, không ngập , khu dân cư văn minh , yên tĩnh
Pháp lý hợp lệ , công chứng trong ngày"	True	True	True	False	Tăng Nhơn Phú B, TP. Thủ Đức	Đình Phong Phú , Tăng Nhơn Phú B, Tp. Thủ Đức	Tăng Nhơn Phú B, TP. Thủ Đức
HIẾM Bán Nhà rẻ 70m2 gần Bàu Cát Phường 10 Tân Bình, 3 Tầng giá 5 tỷ x	3.9	70			Thành phố Hồ Chí Minh	"- Gần Bàu Cát - 70m2 - 5 tỷ x - 3 Tầng - Vào ở ngay
- DT cực to 70m2 Xây 3 Tầng ở lâu dài
- Hẻm 6m thông kinh doanh đỉnh
- Hàng xóm Bàu Cát, Giáp Q10
- Sổ nở hậu, hoàn công, chỉ 5 tỷ x
- Giá chào cho chủ vui còn thương lượng mạnh, không lỗi phong thủy, không qui hoạch"	False	False	True	False	Bàu Cát, phường 10, Quận Tân Bình	Thành phố Hồ Chí Minh	Bàu Cát, phường 10, Quận Tân Bình
Nhà MT khu Phước Bình ,78m, ngang 6m , hẻm XT,gần Đại học Cao Đẳng	5.99	78	3.0	3.0	Phước Bình , Tp. Thủ Đức	"Nhà MT khu Phước Bình ,78m, ngang 6m , hẻm XT,gần Đại học Cao Đẳng
Khu vip Phước Bình - Ngay trường Đại Học , Cao Đẳng , hẻm xe tải , phù hợp kinh doanh , buôn bán
Diện tích 6 x13 , 2 tầng đúc kiên cố, ban công , sân rông để xe
Đường 8m ô tô quay đầu , khu vực an ninh , dân trí cao
Vị trí đắc địa gần Cao Đẳng Kinh Tế Đối Ngoại , Trung cấp nghề Suleco , Trường THCS Phước Bình, Chợ Phước Bình
Sổ hoàn công , pháp lý sạch , chủ thiện chí bán gấp
Giá chỉ 5,4 tỷ thương lượng chính chủ"	False	False	True	False	khu Phước Bình, gần Đại học Cao Đẳng	Phước Bình , Tp. Thủ Đức	khu Phước Bình, gần Đại học Cao Đẳng
Nhà MT khu Phước Bình ,78m, ngang 6m , hẻm XT,gần Đại học Cao Đẳng	5.4	78	3.0	3.0	Phước Bình , Tp. Thủ Đức	"Nhà MT khu Phước Bình ,78m, ngang 6m , hẻm XT,gần Đại học Cao Đẳng
Khu vip Phước Bình - Ngay trường Đại Học , Cao Đẳng , hẻm xe tải , phù hợp kinh doanh , buôn bán
Diện tích 6 x13 , 2 tầng đúc kiên cố, ban công , sân rông để xe
Đường 8m ô tô quay đầu , khu vực an ninh , dân trí cao
Vị trí đắc địa gần Cao Đẳng Kinh Tế Đối Ngoại , Trung cấp nghề Suleco , Trường THCS Phước Bình, Chợ Phước Bình
Sổ hoàn công , pháp lý sạch , chủ thiện chí bán gấp
Giá chỉ 5,4 tỷ thương lượng chính chủ"	False	False	True	False	Khu Phước Bình	Phước Bình , Tp. Thủ Đức	Khu Phước Bình
BÁN NHÀ MỚI 4 TẦNG GẦN MẶT TIỀN TÔN ĐẢN, P.15, QUẬN 4, NHỈNH 3 TỶ	5.4	24	3.0	3.0		"Kết cấu: 1 trệt, 2 lầu, sân thượng, 3PN, 3WC
Vị trí: Nhà nằm ngay gần trường học các cấp, khu xóm an ninh yên tĩnh. Gần chợ, siêu thị, công an phường, công viên khu vui chơi giải trí.
Vị trí đắc địa ngay trung tâm hành chính Q4 ... Ngay trục đường chính rất thuận tiện giao thông.
Giá 3 tỷ 400 triệu (còn thương lượng)
Pháp lý sổ hồng, công chứng ngay
Liên hệ xem nhà 0937616141/ 0909979870- Vũ"	False	False	True	False	P.15, Quận 4	P.15, Quận 4	P.15, Quận 4
BÁN NHÀ MẶT TIỀN NGUYỄN VĂN QUỲ, QUẬN 7, DTSD 84M2 - NHỈNH 3TỶ	3.4	28	3.0	2.0		"Kết cấu: 1 trệt, 2 lầu, 3 PN, 2WC
Vỉa hè trước nhà: 8M
Mặt tiền kinh doanh đa ngành nghề
Khu vực tập trung nhiều toà nhà Chung cư dự án cao cấp hứa hẹn căn nhà sẽ tăng mạnh trong thời gần nhất.
Giá 3 tỷ 550 triệu (còn thương lượng)
Ngân hàng cho vay: 2tỷ5
Sổ Hồng riêng. Pháp lý chuẩn, công chứng ngay
Liên hệ xem nhà 0937616141/0909979870 - Vũ"	True	False	True	False	Nguyễn Văn Quy, Quận 7	Nguyễn Văn Quy, Quận 7	Nguyễn Văn Quy, Quận 7
BÁN NHÀ MỚI 4 TẦNG GẦN MẶT TIỀN TÔN ĐẢN, P.15, QUẬN 4, NHỈNH 3 TỶ	3.19	72	3.0	3.0		"Kết cấu: 1 trệt, 2 lầu, sân thượng, 3PN, 3WC
Cách mặt tiền Tôn Đản vài bước chân
Vị trí: Nhà nằm gần trường học các cấp. Gần chợ, siêu thị, công an phường, công viên khu vui chơi giải trí.
Giá 3.4 tỷ (bớt lộc)
Pháp lý sổ hồng, công chứng ngay
Liên hệ xem nhà 0937616141/ 0909979870- Vũ"	True	False	True	False	đường Tôn Đản, Phường 15, Quận 4	đường Tôn Đản, Phường 15, Quận 4	đường Tôn Đản, Phường 15, Quận 4
