Title	Price	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description	Chỗ để xe hơi	Đang cho thuê	CSVC xung quanh	ExtractedTitle	Address1	Address2
Mua nhà cho sinh viên 25m2x3 tầng, 3PN gần Đại Học Thủy Lợi giá 2,3 Tỷ	3	25.0			Hà Nội	"+ Vị trí nhà đẹp, giao thông thuận tiện cho việc đi học : gần đường lớn như: Chùa Bộc, Tây Sơn, Khương Thượng, Trường Chinh, Thái Hà,.
+ Ngoài đi học ra còn nhiều chỗ giải trí như: Sân Bóng Thủy Lợi, Sân Đại Học Y, Rạp CGV Quốc Gia, Sân tennis, bể bơi, quán ăn, cùng nhiều shop thời trang mỹ phẩm khác.

+ Nhà thiết kế thoáng mát ở sướng. wc khép kín 3 phòng.
+ Ít xe qua lại tạo một không gian yên tĩnh cho việc học hành.

+ Dân trí cao, hàng xóm thân thiện.
+ Sổ đỏ đẹp đang cất két, Chủ thiện chí bán.

Liên Hệ Ngay/zalo : 0373022620 (Văn Anh) Hỗ trợ 24/7."	False	False	True	Chùa Bộc, Tây Sơn, Khương Thượng, Trường Chinh, Thái Hà	Hà Nội	Chùa Bộc, Tây Sơn, Khương Thượng, Trường Chinh, Thái Hà
NHÀ LIỀN KỀ PHÂN LÔ THƯỢNG THANH, 90M X 4, MT 6M, Ô TÔ, VỈA HÈ, 12 TỶ HƠN	2.3	90.0	4.0	5.0	Long Biên	"- Bán nhà liền kề khu phân lô đấu giá Thượng Thanh, Long Biên. Diện tích 90m, mặt tiền rộng 6m, đường rộng 13m phân lô bàn cờ có vỉa hè.
- Nhà thuộc khu phân lô đấu giá đầu tiên của phường Thượng Thanh, Long Biên. Toàn bộ các dãy nhà đều được chia xây dựng liền kề với diện tích thửa đất 90m, rộng 6m, hệ thống giao thông xung quanh đồng bộ đường rộng, vỉa hè, không gian thoáng mát, tiện ích đầy đủ. Trường học các cấp và chợ Thượng Thanh ngay cạnh nhà, cách BigC Long Biên chỉ 10 phút đi xe. Giao thông thuận tiện ô tô đi các hướng vào đến khu nhà ở từ Lý Sơn, Ngô Gia Tự, Đức Giang ...
- Hiện trạng chủ nhà đã chuyển đi nơi khác, nhà đang để không để đón chủ mới. Nhà được thiết kế 4 tầng liền kề: t1 thông sàn để xe, tổng 3 phòng ngủ, các phòng chức năng được bố trí từ tầng 2 lên tầng 4.
- Gia đình đang cần bán nhanh cho người thiện chí mua nhà liền kề để ở cùng cư dân văn minh, khu vực an sinh tốt. Giá cả thương lượng trực tiếp.
- Sổ đỏ sẵn sàng sang tên ngay.
LH: 0904.882258"	True	False	True	Khu phân lô Thượng Thanh, Long Biên	Long Biên	Khu phân lô Thượng Thanh, Long Biên
BÁN NHÀ THÔNG SỐ CỰC ĐẸP DT 58M2 TẠI KHƯƠNG ĐÌNH GIÁ CHỈ 6,3 TỶ!!!	12.8	58.0	5.0	3.0	Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội	"Bán nhà cực đẹp ở luôn tại Khương Đình Thanh Xuân. Vị trí gần trung tâm, giao thông đi lại cực kỳ thuận tiện, 20m ra đường Khương Đình.

Nhà có diện tích sử dụng 58m2 cực rộng với mặt tiền 4,5m được thiết kế lệch 5 tầng. Phòng nào cũng có ánh sáng nên rất đẹp và thoáng. Nội thất mới cứng khách mua nhà chỉ việc vào ở.

Xung quanh nhiều tiện ích tiện lợi, nhiều cửa hàng, quán ăn, di chuyển thuận lợi ra ngã tư Khuất Duy Tiến và các đường Khương Đình, Kim Giang,…

Sổ đỏ chính chủ, sẵn sàng giao dịch

Liên hệ: 0921084215"	False	False	True	Khu phố Khương Đình, Thanh Xuân	Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội	Khu phố Khương Đình, Thanh Xuân
???? BIỆT THỰ GIÁ SỐC, HIỆP BÌNH CHÁNH THỦ ĐỨC, VIEW SÔNG , 3 TẦNG, 270M2, CHỈ 10 TỶ 500	6.3	270.0				"???? BIỆT THỰ GIÁ SỐC, HIỆP BÌNH CHÁNH THỦ ĐỨC, VIEW SÔNG , 3 TẦNG, 270M2, CHỈ 10 TỶ 500
???? Vị trí khu biệt thự ven sông Hiệp Bình Chánh, Khu đô thị Vạn Phúc City, di chuyển 5 phút GIGAMALL, Phạm Văn Đồng , Sân bay Tân Sơn Nhất
???? Kết cấu 1 trệt 2 lầu, được thiết kế theo kiểu biệt thự, với 6PN, có ban công riêng từng phòng, khu vực nấu nướng trên và dưới , sân phơi, giếng trời sáng thoáng, sân đậu xe rộng rãi.
???? Đường trước nhà rộng 20m xe tải, ô tô đậu ngày đêm, khu an ninh văn minh, trí thức toàn giới nhà giàu, xung quanh toàn Biệt thự, view sông rất đẹp
???? Giá chỉ 10 tỷ 500 ( 50 triệu/m2) rẻ hơn 50% giá thị trường .
✍ Sổ hồng riêng, vuông vức, công nhận đủ, công chứng trong ngày.
???? 0905238089 Mr Ảnh ( Nguồn nhà tốt)"	False	False	True	Khu đô thị Vạn Phúc City, Hiệp Bình Chánh, Thị trường Thủ Đức	Khu đô thị Vạn Phúc City, Hiệp Bình Chánh, Thị trường Thủ Đức	Khu đô thị Vạn Phúc City, Hiệp Bình Chánh, Thị trường Thủ Đức
Nhà phố gần KDL Bửu Long, ngay Ngã tư bến cá chir 950tr	3650000	96.0	3.0	2.0	Nhà phố gần KDL Bửu Long, ngay Ngã tư bến cá chir 950tr	"Nhà phố gần KDL Bửu Long, ngay Ngã tư bến cá
- Chỉ còn 2 căn giá 950tr ( Thương lượng )
- Dân ở đông kín, điện nước riêng từng nhà
- Diện tích sử dụng 96m2, 2pngu, 2 ptho, sân phơi
- 200m đầy đủ tiện ích xung qoanh trường học, chợ
Hỗ trợ trả góp 0365 71 71 77nhà chính chủ ( có zalo )"	False	False	True	near KDL Bửu Long, Ngã tư bến cá	Nhà phố gần KDL Bửu Long, ngay Ngã tư bến cá chir 950tr	near KDL Bửu Long, Ngã tư bến cá
Bán nhà 1Trệt 1lửng đường 10, P. Linh Trung. Tp Thủ Đức.dt 58m2 giá 4,2 tỷ	950	58.0	3.0	2.0	Đường Số 10, Phường Linh Trung, Quận Thủ Đức, TP HCM	"Bán nhà 1Trệt 1lửng đường 10, P. Linh Trung. Tp Thủ Đức.dt 58m2 giá 4,2 tỷ
Nhà mới. Hẻm thông ba gác, ngay chợ Linh Trung, tiện ích xung quanh đầy đủ………..
Hẻm 3m cách mặt tiền HXH chỉ 50m, gần tất cả trường học các cấp, mầm non, Cao Đẳng, Đại học……
Kết cấu: 1 sân đậu xe thoải mái, 1PK, 1 nhà bếp, 3 PN(có 1PN dưới cho người lớn tuổi), 2 toilet. Tất cả sử dụng thiết bị cao cấp…..
Pháp lý: SHR, hoàn công đầy đủ, sang tên ngay.
Diện tích: 58 m² (4.06m x 14.2 m).
Hướng: Đông Bắc.
Giá bán: 4,2 tỷ. ( thương lượng )
Liên hệ : 0898 408 677 xem nhà, làm việc chính chủ"	False	False	True	đường 10, Phường Linh Trung, Quận Thủ Đức	Đường Số 10, Phường Linh Trung, Quận Thủ Đức, TP HCM	đường 10, Phường Linh Trung, Quận Thủ Đức
Bán nhà Gò Vấp dưới 5 tỷ, HXH, Phan Huy Ích P12, 57m2, 2 tầng, 4.98 tỷ	4.2	57.0	3.0	2.0	Phan Huy Ích	"MS 15723
* Bán nhà Gò Vấp dưới 5 tỷ, đường Phan Huy Ích Phường 12.
* Diện tích 57m2, ngang 4m dài 14.25m, 2 tầng với 3 phòng ngủ, 2 WC.
* Nhà mới ở ngay, tặng lại hết nội thất.
* Đường trước nhà 4m, thông.
* Sổ hồng, công chứng ngay."	False	False	True	đường Phan Huy Ích, Phường 12, Quận Gò Vấp	Phan Huy Ích	đường Phan Huy Ích, Phường 12, Quận Gò Vấp
Bán nhà ngay UBND, Thủ Đức, 5x11.8 gần vòng xoay Bình Lợi, 4.x Tỷ.	4.98	59.0			Thủ Đức	"Bán nhà ngay UBND, Thủ Đức, 5x11.8 gần vòng xoay Bình Lợi, 4.x Tỷ.
Đường Quốc lộ 13, Kha Vạn Cân, Phạm Văn Đồng, Nơ Trang Long, Đinh Bộ Lĩnh,... v.v.
Liên hệ: 0356.238.242 gặp ngay e Phi."	False	False	True	 Quốc lộ 13, Kha Vạn Cân, Phạm Văn Đồng, Nơ Trang Long, Đinh Bộ Lĩnh	Thủ Đức	 Quốc lộ 13, Kha Vạn Cân, Phạm Văn Đồng, Nơ Trang Long, Đinh Bộ Lĩnh
Bán nhà Biệt Thự cực đẹp, Phan Xích Long, P7, PN. 120m2 (6x20m), full nội thất cao cấp. chỉ 15,5 tỷ	4400000	120.0	1.0	2.0	Nhiêu Tứ, Phường 7, Phú Nhuận	"Nhà mới xây hoàn thiện, nội thất nhập khẩu: Hermès, Dior ... Có hồ cá coi. Vô ở ngay phù hợp gia đình 2 vợ chồng 2 con
- DT: 120m2 (6x20m)
- GPXD mới: 6 tầng
- Nhà cách mặt tiền chỉ 30m, gần Co.op Mart, sát bên phố Ẩm thực
- Sản phẩm tốt nhất thị trường, không có căn thứ 2 so sánh, 3 năm mới xuất hiện 1 lần
- Chỉ 15,5 tỷ (thương lượng khách hàng thiện chí)
- Làm việc trực tiếp chính chủ, công chứng ngay

Liên hệ ngay: 0933406680 THÁI ANH LUÂN (Luân Đô-La)"	False	True	True	Phan Xích Long, Phường 7	Nhiêu Tứ, Phường 7, Phú Nhuận	Phan Xích Long, Phường 7
Bán nhà Biệt Thự cực đẹp, Phan Xích Long, P7, PN. 120m2 (6x20m), full nội thất cao cấp. chỉ 15,5 tỷ	15.5	120.0	1.0	2.0	Nhiêu Tứ, Phường 7, Phú Nhuận	"Nhà mới xây hoàn thiện, nội thất nhập khẩu: Hermès, Dior ... Có hồ cá coi. Vô ở ngay phù hợp gia đình 2 vợ chồng 2 con
- DT: 120m2 (6x20m)
- GPXD mới: 6 tầng
- Nhà cách mặt tiền chỉ 30m, gần Co.op Mart, sát bên phố Ẩm thực
- Sản phẩm tốt nhất thị trường, không có căn thứ 2 so sánh, 3 năm mới xuất hiện 1 lần
- Chỉ 15,5 tỷ (thương lượng khách hàng thiện chí)
- Làm việc trực tiếp chính chủ, công chứng ngay

Liên hệ ngay: 0933406680 THÁI ANH LUÂN (Luân Đô-La)"	False	False	True	Phan Xích Long, Phường 7	Nhiêu Tứ, Phường 7, Phú Nhuận	Phan Xích Long, Phường 7
