Title	Price	Links	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description	Chỗ để xe hơi	Đang cho thuê	CSVC xung quanh	Mặt tiền	index	Số tầng	ExtractedTitle	Address1	Address2
Bán nhà Ngô Quyền, Hà Đông, OTO Lô góc 40mx4T, giá 4,5 tỷ	4.5	https://batdongsan.vn/ban-nha-ngo-quyen-ha-dong-oto-lo-goc-40mx4t-gia-45-ty-r283458	40	4.0	3.0	La Khê, Hà Đông	"- vị trí đắc địa, 30m ra phố ngô quyền, ngay cạnh kđt văn khê, thuận tiện di chuyển ra các phố lớn lê trọng tấn, tố hữu, quang trung, trần phú, nguyễn trãi vv. khu vực nhiều tiện ích, đầy đủ trường mầm non, trường trung học các cấp, chợ, tttm, nhà hàng, các khu vui chơi giải trí…
- nhà 4 tầng, thiết kế hiện đại, chủ tự xây tâm huyết, ở được vài năm, nay muốn bán chuyển ra khu liền kề ở nhà to hơn. căn nhà được thiết kế 4 phòng ngủ, phòng khách, bếp- ăn, wc…, đáp ứng đủ nhu cầu gia đình.
- sổ đỏ đẹp cất két, sẵn sàng sang tên luôn.
- liên hệ xem nhà mr bình 0945936168."	False	False	True	False	0	4.0	 Ngô Quyền, Hà Đông	La Khê, Hà Đông	 Ngô Quyền, Hà Đông
Bán nhà Kiến Hưng, Hà Đông, Lô góc 45mx4t, OTO 10m, về ở ngay, giá 4,25 tỷ	4.25	https://batdongsan.vn/ban-nha-kien-hung-ha-dong-lo-goc-45mx4t-oto-10m-ve-o-ngay-gia-425-ty-r283455	45	4.0	3.0	Kiến Hưng, Hà Đông	"- vị trí trung tâm đa sỹ, chỉ vài bước ra phố kiến hưng, dễ dàng kết nối với các tuyến phố lớn quang trung, lê trọng tấn, trần phú, tố hữu vv. quanh nhà nhiều tiện ích, đầy đủ trường học, bệnh viện, chợ, siêu thị, nhà hàng, quán ăn và các tiện ích khác.
- nhà 4 tầng hiện đại, tiện nghi, tổng 4 phòng ngủ, phòng khách, bếp- ăn, wc…, đầy đủ công năng sử dụng.
- sổ đỏ vuông nét, sẵn sàng giao dịch.
- liên hệ xem nhà mr bình 0945936168."	False	False	True	False	1	4.0	phố Kiến Hưng, Hà Đông	Kiến Hưng, Hà Đông	phố Kiến Hưng, Hà Đông
Bán nhà đường Lê Thúc Hoạch Phú Thọ Hòa Tân Phú	7.5	https://batdongsan.vn/ban-nha-duong-le-thuc-hoach-phu-tho-hoa-tan-phu-r283453	67	5.0	6.0	Lê Thúc Hoạch Phú Thọ Hòa Tân Phú	"diện tích 5.7 x 12, sổ a4, pháp lý chuẩn.

+ nhà kế cấu 1 trệt 2 lầu sân thượng, 6 wc, 5 pn, ban công thoáng mát,

+ vị trí gần mặt tiền lê thúc hoạch, thuận tiện di chuyển phú thọ hoà, nguyễn sơn, chợ tân hương, aeon tân phú...

+ giá còn thương lượng"	False	False	True	True	2	3.0	đường Lê Thúc Hoạch, Phường Phú Thọ Hòa, Quận Tân Phú	Lê Thúc Hoạch Phú Thọ Hòa Tân Phú	đường Lê Thúc Hoạch, Phường Phú Thọ Hòa, Quận Tân Phú
SÁT ĐƯỜNG ÔTÔ 6M PHAN ĐĂNG LƯU, PHƯỜNG 1, PHÚ NHUẬN, 4 TẦNG BTCT, 60M2, 4.x TỶ	4.2	https://batdongsan.vn/sat-duong-oto-6m-phan-dang-luu-phuong-1-phu-nhuan-4-tang-btct-60m2-4x-ty-r283449	60	4.0	4.0		"- diện tích: 4 x 15m
- kết cấu: 1 trệt 2 lầu 1 sân thượng btct; 4 pn, 4 wc
- đường đi an ninh, yên tĩnh. khu vực phan xích long, phan đăng lưu, phan đình phùng
- gần coopmart, bv hoàn mỹ, phố ẩm thực, ca phường; tiện ích ngập tràn
- sổ hồng chính chủ, hoàn công đủ, pháp lý chuẩn, công chứng mua bán ngay"	False	False	True	False	3	4.0	phan đăng lưu, phan xích long, phan đình phùng, phước 1, quận phú nhuận	phan đăng lưu, phan xích long, phan đình phùng, phước 1, quận phú nhuận	phan đăng lưu, phan xích long, phan đình phùng, phước 1, quận phú nhuận
Bán nhà Xuân Đỉnh 43m 6 tầng THANG MÁY - KINH DOANH CHỈ 8 tỷ	8.0	https://batdongsan.vn/ban-nha-xuan-dinh-43m-6-tang-thang-may-kinh-doanh-chi-8-ty-r283443	43	4.0	5.0	Xuân Đỉnh - Bắc Từ Liêm - Hà Nội	"bán nhà xuân đỉnh 43m 6 tầng thang máy - kinh doanh chỉ 8 tỷ
* nhà mới tinh khu xuân đỉnh - bắc từ liêm, thông khu ngoại giao đoàn.
* diện tích 43m, chiều ngang 10m với thiết kế mỗi tầng 1 phòng, nhà đẹp đón tết, mặt tiền rộng kinh doanh siêu đỉnh, cho thuê hay làm văn phòng đều tuyệt.
* vị trí cách phố chỉ 1 nhà, ngõ thông, nhà gần chợ, trường cấp 1,2,3 xuân đỉnh. giao thông thuận lợi kết nối nhiều tuyến phố lớn như xuân la, võ chí công, nguyễn xuân khoát.
* sổ đỏ chính chủ sẵn sàng giao dịch.
* liên hệ em ánh thổ cư 0865775442 xem nhà và biết thêm chi tiết."	False	False	True	True	4	6.0	Xuân Đỉnh, Bắc Từ Liêm	Xuân Đỉnh - Bắc Từ Liêm - Hà Nội	Xuân Đỉnh, Bắc Từ Liêm
Ngợp chủ cần bán gấp CHDV, thu nhập 70tr/th, 50m2, 9.5 tỷ Q2, Bình An	9.5	https://batdongsan.vn/ngop-chu-can-ban-gap-chdv-thu-nhap-70trth-50m2-95-ty-q2-binh-an-r283437	51	6.0	7.0	Quận 2, Hồ Chí Minh	"***ngợp lắm rồi
- cần bán gấp chdv thu nhập hàng tháng 70 triệu
- vị trí gần trần não, bình an, q2
- dt 5.43mx10m
- kết cấu: hầm, 4lầu. nội thất full, có 1 mặt bằng và 6 phòng
- khu vực an ninh, tập trung nhiều sinh viên
- vị trí đẹp khu vực chuyên về chdv, biệt thự dân trí cao văn minh. sân thượng ngắm view landmark 81.
- lh tâm 0815813400 để xem nhà"	True	False	False	False	5	5.0	Trần Não, Bình An, Quận 2	Quận 2, Hồ Chí Minh	Trần Não, Bình An, Quận 2
Bán nhà 5m x 20m. MT Nguyễn Thị Nhung KDC Vạn Phúc, P. Hiệp Bình Phước	23.0	https://batdongsan.vn/ban-nha-5m-x-20m-mt-nguyen-thi-nhung-kdc-van-phuc-p-hiep-binh-phuoc-r283435	100			Đường Nguyễn Thị Nhung, Phường Hiệp Bình Phước, Quận Thủ Đức, TP HCM	"bán nhà 5m x 20m. mt nguyễn thị nhung kdc vạn phúc, p. hiệp bình phước
kết cấu; trệt + lửng + 4 lầu đúc + thang máy.
nhà mới đẹp, nội thất cao cấp.
vị trí đẹp, khu vực sầm uất, mặt tiền đường nhựa trục chính thuộc khu vip, thích hợp kinh doanh mua bán, làm văn phòng cty hoặc cho thuê …..……
sổ hồng chính chủ, hoàn công đầy đủ
diện tích: 5m x 20 = 100m². diện tích sàn 386m2.
giá bán : 23tỷ ( thương lượng chính chủ )
liên hệ em long 0898 408 677 để được xem và mua nhanh nhất!! mong tiếp khách thiện chí"	False	False	True	True	6	4.4	đường Nguyễn Thị Nhung, Khu đô thị Vạn Phúc, Phường Hiệp Bình Phước	Đường Nguyễn Thị Nhung, Phường Hiệp Bình Phước, Quận Thủ Đức, TP HCM	đường Nguyễn Thị Nhung, Khu đô thị Vạn Phúc, Phường Hiệp Bình Phước
BÁN NHÀ THANH XUÂN- 25M X 3 NGỦ- FULL NỘI THẤT- NGÕ THÔNG- 20M RA Ô TÔ TRÁNH	3.5	https://batdongsan.vn/ban-nha-thanh-xuan-25m-x-3-ngu-full-noi-that-ngo-thong-20m-ra-o-to-tranh-r283432	25	3.0		Thanh Xuân, Hà Nội,	"bán nhà thanh xuân- 25m x 3 ngủ- full nội thất- ngõ thông- 20m ra ô tô tránh
- ngõ nông, rộng, bagac đỗ cửa, gần trường, chợ
- sổ chính chủ
liên hệ: 0375851091(zalo)/0934220220"	True	False	True	False	7	1.8	Thanh Xuân	Thanh Xuân, Hà Nội,	Thanh Xuân
Bán nhà mặt đường Văn Cao, Ngô Quyền, Hải Phòng. 90m2 Giá 14,9 tỷ. Vị trí vàng	14.9	https://batdongsan.vn/ban-nha-mat-duong-van-cao-ngo-quyen-hai-phong-90m2-gia-149-ty-vi-tri-vang-r283429	90	3.0	3.0	Văn Cao, Ngô Quyền, Hải Phòng	"bán nhà mặt đường văn cao, ngô quyền, hải phòng , vị trí đẹp nhất tuyến đường.
✅ thông số:
- diện tích: 90m2
- ngang: 4.5m
- giá: 14,9 tỷ( tt)
- hướng: tây
- đường rộng: 30m
mô tả:
nhà có hướng tây và mặt đường rộng 30m, tạo điều kiện thuận lợi cho việc di chuyển và kinh doanh. nhà hiện tại đã cũ, nhưng có hè rộng 5m, tạo điều kiện cho thuê kinh doanh tốt. vị trí của nhà là đẹp nhất tuyến đường, ngay gần khách sạn sunflower.

liên hệ với mrs. tâm: 0796-336-866 cdt group sàn bán nhà hải phòng để biết thêm thông tin chi tiết và thỏa thuận giá cả."	False	False	False	True	8	0.2	đường Văn Cao, Ngô Quyền, Hải Phòng	Văn Cao, Ngô Quyền, Hải Phòng	đường Văn Cao, Ngô Quyền, Hải Phòng
Bán nhà mặt đường Văn Cao, Ngô Quyền, Hải Phòng. 90m2 Giá 14,9 tỷ. Vị trí vàng	14.9	https://batdongsan.vn/ban-nha-mat-duong-van-cao-ngo-quyen-hai-phong-90m2-gia-149-ty-vi-tri-vang-r283428	90	3.0	3.0	Văn Cao, Ngô Quyền, Hải Phòng	"bán nhà mặt đường văn cao, ngô quyền, hải phòng , vị trí đẹp nhất tuyến đường.
✅ thông số:
- diện tích: 90m2
- ngang: 4.5m
- giá: 14,9 tỷ( tt)
- hướng: tây
- đường rộng: 30m
mô tả:
nhà có hướng tây và mặt đường rộng 30m, tạo điều kiện thuận lợi cho việc di chuyển và kinh doanh. nhà hiện tại đã cũ, nhưng có hè rộng 5m, tạo điều kiện cho thuê kinh doanh tốt. vị trí của nhà là đẹp nhất tuyến đường, ngay gần khách sạn sunflower.

liên hệ với mrs. tâm: 0796-336-866 cdt group sàn bán nhà hải phòng để biết thêm thông tin chi tiết và thỏa thuận giá cả."	False	False	False	True	9	0.6	đường Văn Cao, Ngô Quyền, Hải Phòng	Văn Cao, Ngô Quyền, Hải Phòng	đường Văn Cao, Ngô Quyền, Hải Phòng
