Title	Price	Links	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description	Chỗ để xe hơi	Đang cho thuê	CSVC xung quanh	Mặt tiền	index	Số tầng	ExtractedTitle	Address1	Address2
bán gấp nhà 2 tầng mới đẹp đường hùng vương, giá chỉ 2,8 tỷ. call/zalo 0912753489	2.8	https://batdongsan.vn/ban-gap-nha-2-tang-moi-dep-duong-hung-vuong-gia-chi-28-ty-callzalo-0912753489-r262398	42.0	3.0	2.0	Hùng Vương, Vĩnh Trung, Thanh Khê, Đà Nẵng	"nhà mới 2022 full nội thất - trung tâm quận thanh khê – đường hùng vương – tập trung khu dân cư đông đúc

mô tả:
bán gấp nhà đường hùng vương, nhà 2 tầng đẹp mới
dtd 42m2 (mặt tiền 6m)
vị trí nằm trên kiệt đường hùng vương, gần chợ cồn, big c, trung tâm quận hải châu.
đường xe máy tránh nhau 3 làn
nhà 2 tầng mới, xây chắc chắn, nội thất xịn xò.
rất phù hợp cho cán bộ, công nhân viên, hay dân kinh doanh ở khu trung tâm thành phố.
gần trường học, siêu thị, công viên, chợ, khu công nghiệp… bao la tiện ích.
giá: 2,8 tỷ.
rất mong muốn bán nhanh gọn lẹ.
địa chỉ: hùng vương,vĩnh trung, thanh khê, đà nẵng.
sinh: 0912753489"	False	False	True	True	0	2.0	đường Hùng Vương, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng	Hùng Vương, Vĩnh Trung, Thanh Khê, Đà Nẵng	đường Hùng Vương, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng
nhỉnh 5 tỷ - oto vào nhà - 16 đội cấn - ba đình - 35m2 - hiếm có	5.5	https://batdongsan.vn/nhinh-5-ty-oto-vao-nha-16-doi-can-ba-dinh-35m2-hiem-co-r262392	35.0	5.0	5.0	16 Đội Cấn	"phân lô oto vào nhà - vị trí điểm - nhà cực hiếm - thoáng trước sau

- vị trí điểm quận ba đình, nhà 2 mặt ngõ, cực thông thoáng, khu vực vip
- ngõ to rộng, oto đỗ cửa, vào nhà. ba gác tránh ba gác, đường rộng hơn 3m
- ngõ nông, vài bước ra phố, tiền ích ngập tràn, an sinh tuyệt vời

thiết kế: 35m2 x 7 tầng. 5 phòng to rộng thông sàn
sổ đỏ đẹp đẽ, pháp lý sạch sẽ. sẵn sàng công chứng"	True	False	False	False	1	5.0	đường 16 Đội Cấn, Phường Nguyễn Trung Trực, Quận Ba Đình	16 Đội Cấn	đường 16 Đội Cấn, Phường Nguyễn Trung Trực, Quận Ba Đình
bán nhà mặt tiền tô ngọc vân, dtsd 200m2, có sổ hồng pháp lý	6.5	https://batdongsan.vn/ban-nha-mat-tien-to-ngoc-van-dtsd-200m2-co-so-hong-phap-ly-r262389	50.0	4.0	5.0	Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12	"vị trí: tô ngọc vân, phường thạnh xuân, quận 12, tp.hồ chí minh
nhà phố xây sẵn: 1 trệt + 1 lửng + 2 lầu + 1 tầng thượng
diện tích sàn xây dựng: 200 - 360m2
pháp lý: hoàn công + sổ hồng riêng
bàn giao: hoàn thiện mặt ngoài, thô bên trong

tiện lợi trong việc di chuyển đến các quận/ huyện như bình chánh, bình tân, hóc môn, tân phú, tân bình, bình dương. nằm ngay mặt tiền đường tô ngọc vân quận 12, là các khu chợ đầu mối, trường học, bệnh viện, trung tâm hành chính, khu tiện ích giải trí.

chính sách bán hàng
hỗ trợ thanh toán giãn (6/9 tháng)
thanh toán 50% nhận nhà ở liền
tặng 18 chỉ vàng pnj khi mua nhà

đặc biệt : sáng thứ 7 ngày 18/03 (9h-12h) the sol tổ chức event
tham dự event nhận ngay quà tặng -100% khách hàng tham dự event nhận phong bao may mắn từ 100.000đ - 1.000.000đ
- khách hàng đã đi xem mua trong event nhận ""tranh mạ vàng"" trị giá 15 triệu.
- khách hàng lần đầu xem và mua trong event nhận ""máy lạnh"" trị giá 12 triệu.

liên hệ :
zalo/viber: 0911.585.114 (gặp trân)"	False	False	True	True	2	4.0	đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, TP. Hồ Chí Minh	Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12	đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, TP. Hồ Chí Minh
bán nhà mặt phố quận 12, đường hà huy giáp, view sông vàm thuật, đã có sổ hồng	4.85	https://batdongsan.vn/ban-nha-mat-pho-quan-12-duong-ha-huy-giap-view-song-vam-thuat-da-co-so-hong-r262385	50.0	4.0	5.0	Thạnh Xuân 38, Phường Thạnh Xuân, Quận 12	"vị trí: đường thạnh xuân 38, phường thạnh xuân, quận 12, tp hcm
quy mô diện tích: 1 ha
nhà phố xây sẵn: 106 căn xây dựng 1 trệt – 3 lầu – 1sân thượng
diện tích xây dựng từ: 50-90m2
diện tích sàn: 200 m2 – 360 m2
pháp lý: sổ hồng hoàn công – sở hữu lâu dài.
tiện ích: compound khép kín, chốt bảo vệ, miễn phí 1 năm đầu phí quản lý 300k/tháng…
pháp lý: sổ hồng hoàn công – sở hữu lâu dài.
3 ngân hàng hỗ trợ vay: ocb, tp, vib

vị trí tiện lợi
nhà phố the sol residence nằm liền kề trục đường ven kênh sông vàm thuật, nằm giữa khu dân cư sầm uất. bên cạnh đó, từ the sol residence ta dễ dàng đến ngay ubnd phường thạnh xuân chỉ với 3 phút di chuyển, thuận tiện kết nối với các khu vực sản xuất – công nghiệp lân cận với quận 12. giáp với quận tân bình, gò vấp (5 phút), hóc môn, thủ đức, bình dương, thông qua các trục đường như lê văn khương, hà huy giáp (chỉ 3 phút), quốc lộ 1a (10 phút), quốc lộ 13,…
• cách trường mầm non: 3 phút
• cách chợ thạnh xuân, cao đẳng điện lực: 5 phút
• cách sân bay tân sơn nhất, bệnh viện quân y 175, vincom quang trung: 20 phút
• cách bến xe an sương, lotte mart bình dương: 15 phút

tiện ích dự án
tiện ích the sol residence được phát triển theo mô hình khu compound với an ninh khép kín và đầy đủ tiện ích hiện đại phục vụ cư dân. theo đó, bao bọc dự án là các điểm chốt chặn ra vào với lực lượng bảo vệ giám sát. bên trong khuôn viên dự án luôn có nhân sự tuần tra và bố trí camera giám sát 24/7.
đường giao thông trải nhựa, hệ thống cấp nước ngầm, cáp điện ngầm, thoát nước mưa, thoát nước thải, hệ thống đèn chiếu sáng, hệ thống chống sét, công viên, cây xanh, vỉa hè,…

chính sách bán hàng
hỗ trợ thanh toán giãn tiến độ (3-6 tháng) .chỉ cần thanh toán 50% nhận ngay nhà ở

sáng thứ 7 ngày 18/03 the sol tổ chức event với thông điệp ""thanh toán 50% nhận nhà ở liền""
thời gian 9h-12h
✍✍✍chương trình ưu đãi trong ngày event:

tham dự event nhận ngay quà tặng - 100% khách hàng tham dự event nhận phong bao may mắn từ 100.000đ - 1.000.000đ
- khách hàng đã đi xem, trong ngày event mua nhận ngay ""tranh mạ vàng"" trị giá 25 triệu.
- khách hàng lần đầu tới xem và mua trong event nhận ngay ""sofa"" trị giá 15 triệu.
- khách hàng mua rồi giới thiệu bạn mua nhận : 2 chỉ vàng pnj.
- 5 căn hoàn thiện được áp dụng thanh toán đặc biệt trong 9 tháng.
???? khi phát sinh 2 giao dịch đặt cọc the sol sẽ bốc thăm 1 ip14.
❌❌❌lưu ý: từ ngày 2/4 the sol tăng giá từ 3%-5% (tối thiểu 3%)
________________________________________
liên hệ:
zalo/viber: 0911.585.114 (gặp trân)"	False	False	True	False	3	106.0	đường Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, TP HCM	Thạnh Xuân 38, Phường Thạnh Xuân, Quận 12	đường Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, TP HCM
nhà mặt phố 6 tầng nổi, 1 tầng hầm, kinh doanh ngay	6.89	https://batdongsan.vn/nha-mat-pho-6-tang-noi-1-tang-ham-kinh-doanh-ngay-r262384	130.0	10.0	10.0	Phúc La, Văn Phú, Hà Đông	nhà phố thiết kế có tầng hầm, mặt đường liên tỉnh, diện tích sàn sử dụng 631m2, đã có sổ đỏ lâu dài	True	False	False	True	4	6.0		Phúc La, Văn Phú, Hà Đông	
độc nhất nhà cấp 4 dt 7.6x21m=162m2 6 phòng trọ cho thuê giá chỉ 42tr/m2	6.9	https://batdongsan.vn/doc-nhat-nha-cap-4-dt-76x21m162m2-6-phong-tro-cho-thue-gia-chi-42trm2-r262383	162.0	6.0		Thành phố Hồ Chí Minh	"diện tích ngang 7.6m dài 21m , diện tích 162m2
nhà cấp 4 gồm 6 phòng trọ cho thuê , thích hợp xây sửa cải tạo chdv, phòng trọ cho thuê.
giá bán cực rẻ 42tr/m2 , kế bên nhà mới bán được giá 78tr/m2 (204)
liên hệ bội dư 089.930.68.23 , hỗ trợ pháp lý, vay vốn ngân hàng, sửa chửa xây dựng nhà."	False	False	False	False	5	0.0		Thành phố Hồ Chí Minh	
bán 16 căn nhà phố xây dựng sẵn, sổ hồng trao tay. chiếc khấu lên tới 4%, nhận nhà ngay	2.58	https://batdongsan.vn/ban-16-can-nha-pho-xay-dung-san-so-hong-trao-tay-chiec-khau-len-toi-4-nhan-nha-ngay-r262380	105.0	3.0	2.0	tân phước khánh 32	"bán 16 căn nhà phố xây dựng sẵn, sổ hồng trao tay. chiếc khấu lên tới 4%, nhận nhà ngay
mặt tiền đường tân phước khánh 32, phường tân phước khánh, thành phố tân uyên, tỉnh bình dương. liền kề khu công nghiệp nên dễ dàng cho các chuyên gia nước ngoài thuê.
- diện tích : 60-120m2
- thiết kế theo kiến trúc châu âu: 1 trệt 1 lầu & 1 trệt 2 lầu.
- bàn giao nhà hoàn thiện bên ngoài, bên trong thô.
- hiện tại đã xây xong và có sổ hồng riêng từng căn nên mình mua là vào nhận nhà ở hoặc cho thuê luôn. khu compound nên an ninh 24/7.
- giá bán 2tỷ 580 triệu/căn. thanh toán linh hoạt và ưu đãi cao.
liên hệ: 0947464497 xem nhà mẫu trực tiếp"	False	False	False	True	6	2.0	đường Tân Phước Khánh 32, Phường Tân Phước Khánh, Thành phố Tân Uyên, Tỉnh Bình Dương	tân phước khánh 32	đường Tân Phước Khánh 32, Phường Tân Phước Khánh, Thành phố Tân Uyên, Tỉnh Bình Dương
nhà phố phước điền citizen,tặng ngay 10 chỉ vàng, ck lên đến 4%	2.58	https://batdongsan.vn/nha-pho-phuoc-dien-citizentang-ngay-10-chi-vang-ck-len-den-4-r262378	105.0	3.0	2.0		"nhà phố phước điền citizen,tặng ngay 10 chỉ vàng, ck lên đến 4%
bán nhà phố khu compound phước điền citizen, tp. tân uyên, tỉnh bình dương
sổ hồng trao tay, nhận nhà ngay
- vị trí: nằm trên mt đường tân phước khánh 32, phường tân phước khánh, thành phố tân uyên bình dương. cách tuyến đường dt 745( lg 40m) khoảng 50m.
- diện tích đất: 62m - 120m².
- diện tích sàn: từ 108m - 300m², xây dựng 1 trệt 1 lầu và 1 trệt 2 lầu.
- đường trước nhà 15m có vỉa hè, cây xanh, điện nước âm.
- pháp lý: sổ hồng riêng đã hoàn công.
- khu dân cư hiện hữu, cư dân đã vào ở và sinh sống.
- ngân hàng hỗ trợ vay đến 70% với lãi suất ưu đãi.
- tiện ích xung quanh:
+ gần chợ khánh long, chợ vĩnh hiệp, chợ vĩ hảo, chợ tân phước khánh, gần vincom.
+ gần ubnd tân phước khánh, bệnh viện vạn phúc.
+ gần các trường cấp 1,2,3, và mẫu giáo.
+ gần rất nhiều khu công nghiệp.
+ về trung tâm tp mới chỉ 15p đi xe, về biên hòa và hcm chỉ mất khoảng 15 - 20.
có thể đầu tư cho thuê (giá thuê từ 8-15tr/ tháng) hoặc định cư lâu dài
liên hệ ngay pkd cđt: 0947464497 để biết thêm chi tiết"	False	False	True	False	7	2.0	đường Tân Phước Khánh 32, Phường Tân Phước Khánh, Thành phố Tân Uyên, Tỉnh Bình Dương	đường Tân Phước Khánh 32, Phường Tân Phước Khánh, Thành phố Tân Uyên, Tỉnh Bình Dương	đường Tân Phước Khánh 32, Phường Tân Phước Khánh, Thành phố Tân Uyên, Tỉnh Bình Dương
bán nhà phố khu compound phước điền citizen bình dương 2tỷ 580 triệu/ căn, sổ hồng đã hoàn công.	2.58	https://batdongsan.vn/ban-nha-pho-khu-compound-phuoc-dien-citizen-binh-duong-2ty-580-trieu-can-so-hong-da-hoan-cong-r262375	105.0	3.0	2.0		"bán nhà phố khu compound phước điền citizen bình dương 2tỷ 580 triệu/ căn, sổ hồng đã hoàn công.
- vị trí: nằm trên mt đường tân phước khánh 32, phường tân phước khánh, thị xã tân uyên bình dương.
- diện tích đất: 62m² - 120m².
- diện tích sàn: từ 108m² - 300m², xây dựng 1 trệt 1 lầu và 1 trệt 2 lầu.
- đường trước nhà 15m có vỉa hè, cây xanh, điện nước âm.
- pháp lý: sổ hồng riêng đã hoàn công.
- ngân hàng hỗ trợ vay đến 70% với lãi suất ưu đãi.
- tiện ích xung quanh:
+ gần chợ khánh long, chợ vĩnh hiệp, chợ vĩ hảo, chợ tân phước khánh, gần vincom.
+ gần ubnd tân phước khánh, bệnh viện vạn phúc.
+ gần các trường cấp 1,2,3, và mẫu giáo.
+ gần rất nhiều khu công nghiệp.
+ về trung tâm tp mới chỉ 15p đi xe, về biên hòa và hcm chỉ mất khoảng 15 - 20p.
liên hệ: 0947 464 497đi xem nhà mẫu thực tế."	False	False	True	False	8	2.0	đường Tân Phước Khánh 32, Phường Tân Phước Khánh, Thị xã Tân Uyên, Bình Dương	đường Tân Phước Khánh 32, Phường Tân Phước Khánh, Thị xã Tân Uyên, Bình Dương	đường Tân Phước Khánh 32, Phường Tân Phước Khánh, Thị xã Tân Uyên, Bình Dương
bán nhà bồ đề quận long biên hà nội	9.5	https://batdongsan.vn/ban-nha-bo-de-quan-long-bien-ha-noi-r262374	58.0	5.0	5.6		"180m ra vườn hoa bồ đề, ngay gần hồ bồ đề , nhà văn hóa, ubnd phường bồ đề, khu dân cư văn hóa.
ngay trường quốc tế wellspring.
nhà có thể mở cửa hàng kinh doanh tại tầng 1.

+ nhà mới, đẹp, chủ xây cực chắc chắn, tâm huyết, toàn bộ hệ thống cửa, cầu thang máy nhập khẩu, êm ru.

tầng 1: để xe rộng, có thể làm cửa hàng kinh doanh, hoặc đỗ 2 xe ô tô +wc.
tầng 2: phòng khách + bếp.
tầng 3, 4, : mỗi tầng 1 phòng ngủ rộng + wc.
tầng 5: 2 phòng ngủ rộng +wc.
tầng 6: phòng thờ.
tầng 7: khu giặt, sân phơi rộng.
+ sổ đỏ cất két sẵn sàng giao dịch."	True	False	True	False	9	7.0	Bồ Đề, Quận Long Biên, Hà Nội	Bồ Đề, Quận Long Biên, Hà Nội	Bồ Đề, Quận Long Biên, Hà Nội
